,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
MICA,-0.07699544778504144,-0.010293930105266993,-0.0405858664129068,0.015247647152736857,0.026601724406060307,-0.031018378594760844,0.06532156197659163,-0.1696072878322151,-0.013418701713564284,0.002510406772614895,-0.06597413245093087,-0.02379109523539689,-0.13680382389579743,-0.03130179618795022,-0.06563081357956017,-0.024335164871653783,0.07279138222360845
TG,0.004775942686400471,-0.0058378469171871976,-0.015418660868583907,,-0.02166767645917752,-0.02956268935120128,-0.021880452530028113,-0.02544815085232889,-0.005620076222142108,0.033408714426750884,,-0.0024342225863614444,-0.047590047863118864,,-0.020977844161595777,0.05214321675391758,
ADA,-0.014251525666823766,-0.08997317554458803,0.04190188009675873,0.08527222732086072,0.0940323931774047,0.0317755561846381,-0.023065495742698165,-0.31009649289592506,-0.012100461048852285,-0.000459169584597848,-0.2578176554618142,0.054492306329449854,-0.1217560245366375,-0.05070921625832844,-0.011161514005664987,-0.04970111344216602,0.15327041942639688
LAMC3,0.059480391315973144,-0.07570277319884959,0.009723538139509358,0.09364055926070818,0.03599674474928321,0.047936300068635376,0.012227479725456415,-0.22673767577131643,-0.08376424926295258,-0.00620149819273918,-0.09997100085026485,0.01720957320421553,-0.020027322159101076,0.013324329884206327,-0.10890689606535951,0.07807209757531122,-0.008481188705587632
CCL7,,0.029701302688808592,,,0.0013588420923201575,-0.07232838976087354,,,,,,,,,,0.014422702799591711,
NGF,-0.037380930891747745,-0.015982120063599826,,,-0.017887992087158064,0.030556315117588505,-0.020879820423502754,,,,0.07270787227794294,0.006481691024527561,,,-0.04375905435466735,0.05444812837894096,
TNFSF15,-0.046244876780598604,,,,-0.037830820671522,0.01099106387176927,0.00398133516845536,,,,,-0.03857673717249373,,,-0.015828235544766346,0.007924764548329676,
HMGB1,0.1711931004167079,-0.03926059943920283,-0.026953238786849226,0.07177502225236297,0.04065156595027575,0.04717483533687663,0.027550065767774794,-0.43003488112431437,0.12188990181581025,-0.07761799076106021,-0.18863796392549922,0.014090755228266175,-0.005257694142996703,0.03963089443038562,-0.060155238319866994,-0.014872829282558488,-0.06767190302239552
ITGB3BP,-0.21080927332592064,0.013710970284989264,0.015270652558082808,-0.013149056544052212,0.048560641556884096,-0.024686746674581164,7.57032045013492e-05,-0.31490670280513383,-0.016269662769154616,-0.012561214310162943,0.02611946612407617,-0.017561455617800117,-0.13772159944140935,-0.01736985732418426,-0.07089499151043344,-0.004533630447208443,0.044829452928003555
AANAT,-0.002810514976732355,0.08113183483589162,,,-0.025055890859653925,-0.03260149383632287,,-0.03433249528845795,-0.0025270257286702826,0.0020410783135631745,0.001771630718123419,,-0.017378357763575904,-0.025900087055457738,,0.005360779317865593,
RELN,0.11145210024174992,-0.0011954596662429018,0.06241308507740478,-0.032785713394549575,0.08720909172600762,0.05908749730815208,-0.0011113428658678845,0.2286562981213704,0.06645934070558425,-0.05911454110000592,0.05034116017710886,,0.020800167193013613,-0.008559344741145785,0.021265619706347737,0.08682629654346324,0.058175095489306654
IL15,-0.01705016435980064,-0.004332131007722227,-0.019643138054815698,,0.03755763776812546,-0.052486929758495435,-0.018039938692808462,-0.1149595851712039,0.06703781883007452,-0.01964093302079594,-0.05982835198965516,0.01622049126403921,-0.03061343451672451,-0.014884964001400412,0.02622141667057651,-0.0717571518545199,
UTS2,,,,,,,,-0.1402726217502887,,,,,,,,,
BSG,-0.15077346093562827,0.04523139161948445,0.031361296736374805,0.049829725145518575,-0.017109670892531473,-0.13074676760233012,0.004559851979831599,0.19209374257929754,-0.0624969468772413,-0.01836525365074185,0.3720485892572991,-0.10946004875845679,-0.21576781346039284,-0.09283415407377911,-0.04827497117868625,0.014954665888034659,0.23475458263570495
ADAMTS3,-0.06318353479816123,-0.00212522108267284,0.046869167744509284,,0.012458647401419382,0.01044997934468054,-0.003636004571814285,-0.381022591799471,-0.025956977660675975,-0.02082507620395373,0.018020809467194903,-0.01160509684743327,-0.01851456069372882,-0.00011109404026936977,-0.05595304512157643,-0.008276604730669747,
