,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
GNAS,0.0002547345835897459,0.048994638812812366,-0.14040294794367963,0.0613484401737701,-0.002233012229919851,0.08362163142471168,0.03505682686136789,-0.2050280404889111,-0.01069002358750368,0.022282341168101093,0.18526637605683616,-0.10011314666272876,-0.13054806380219083,0.0822888563102257,-0.1295886724221771,0.016354888393279688,0.02114542860547893,-0.08108017186858296,-0.03559896854683437,-0.04104275275723549,-0.0860915681301574,-0.09538101585818662,0.056531293900273366,0.11456688755251045
C4B,,-0.03570455795081359,,-0.026755716357530216,-0.00818027221605301,,,,0.08862601150915497,,,0.01423047025872731,-0.029323386099961872,-0.04416711488421996,0.17220936948549256,,,,,-0.04337156669487263,0.14866305907506572,0.013091085481017119,,
COL2A1,0.005986284052560198,0.05724371770623373,-0.02817805943731646,,,-0.003429762396632476,0.033690089225268595,0.008387271842474934,,,,,0.015031480849450178,,,,,0.1150464465673542,0.0320424476217523,,0.08756351558954686,0.032404569961225135,-0.002853750102917579,
GSTM2,0.03294188875037494,0.002528457987886633,0.014278287216087369,-0.03029518634994053,-0.04039582002692475,-0.012727591345259604,-0.033142205180133104,0.055426299665443574,0.009458249273258596,0.041987110651001976,-0.07239357975988647,0.062462601859989496,-0.003389336267978894,0.018296637698209092,-0.028094419324766095,-0.08885984115453138,0.022201209251061737,0.07372459636722609,0.012875404065263005,-0.016630259214612197,0.02524238176076356,-0.020776277828680467,0.04103939064501925,
NLGN1,0.051290941228282656,-0.042238446188871466,0.04234849768790646,-0.01704759357782849,-0.008938768678502523,-0.003525064552568565,-0.09043483340507308,0.13006132524237513,0.0034496384721538534,0.010925287504490747,0.07783394869904948,0.06122100710785081,-0.0105536763421055,-0.008525832573345823,0.011335919014472437,-0.07796365800249623,0.05069239728090635,0.007099761475417549,0.020042034643322205,-0.03184077656610191,-0.049663409641561344,0.013674203783076166,0.014984557555405736,0.025037606886260395
SCGB3A2,,,0.026860942925071248,,,,,,,,,,-0.04189596801977514,0.0394649527173693,,,,-0.003963312646197954,0.0027833996445367553,,0.026965882944205377,0.07871092238816452,0.02129389803386394,
LEFTY2,0.0021971839083756153,-0.016543466477942276,0.21865667476047662,-0.025549822223266006,-0.007788564616104136,0.039807810595843665,0.03868455218217881,0.2666916596442327,-0.02067509285282089,0.07481280857508339,0.01466568085062926,0.06402612271750455,-0.010398540129805317,0.1006106001804035,0.12156428289234479,,0.038728683639106816,-0.03039727589103527,-0.014680698033818187,0.06466848845460699,-0.04319530047361778,0.16047093571480636,0.09342571264559435,
ACE,-0.02521980523944277,0.024721801324897597,0.15787708594721475,0.04682541639873511,-0.013354752245667659,0.06689378684226972,0.06809746521287498,0.20354875899575584,0.05246775392992399,0.04181528653247919,0.13418307232412863,0.02108906001622605,0.05090577114187864,0.192307149861067,0.20147454306954296,0.17080459897647,0.10669001826213255,0.12480531728007588,0.14798470422906784,0.05636184560493492,0.09869071692111558,0.286167459086993,0.04582072266688981,0.050640171201603267
RPH3A,0.005811041683674144,0.12483061919962113,-0.04383896254130806,-0.039483352532089455,-0.034350667699592434,0.141134896065804,0.07865668803907912,-0.07111914784991791,0.02070306415199681,0.01818285941994001,0.21507753419554718,,0.09160299379411029,0.02023588750903542,0.11383807054482349,,0.03233091620406184,0.050634549265379296,-0.011525412487033745,-0.01801532053065092,-0.05316188306848936,0.06519049749961515,-0.01047279896435359,0.13011347080846206
NCAM1,0.050768075033230324,-0.024828217430194012,-0.11701846913177612,-0.027716904454601336,-0.08419088639760329,0.014675280506285355,-0.03809405381377979,-0.1497160230342519,0.014437149117168917,0.022250457071608134,-0.06576775619231498,0.036141193953739714,-0.04282163968424894,-0.11674919576387888,0.12021448653887716,-0.0691443106710708,-0.06555611357875968,-0.037527040267023797,-0.02159943016887969,0.024788273233791343,-0.09313371452411262,-0.1849571003645142,-0.10395973476776603,-0.017401976173915288
GIP,,,,,,,,,,,,0.0026718601783338276,,,,,,,,,,,,
EFNB2,-0.029332647984364343,-0.07769653220290881,0.060295491240908404,-0.0066848522352165865,0.03094980837921549,0.14206849154429446,0.016006778306828427,0.12180593460339426,-0.031926995600644714,-0.006083620607780988,0.0773010154954383,0.08654239199743577,0.056298205313842005,0.10387642703478493,-0.07414718567710164,-0.00048482652629246517,0.06818666442939225,0.03372453446685628,0.040384696253241335,0.08429231341604766,0.03407596935489179,0.14137598012024724,0.07282161457403297,0.11128236213467603
ICAM5,,0.12082219446644425,0.02239549407952996,0.009567469918191709,-0.017359836140686376,0.10868597217028644,0.03796126575310846,-0.09026789979491011,-0.014779675984073351,-0.04624741149277932,0.10177538285753107,0.012258738725811742,0.11843852650798982,,,,,-0.06463057297532165,-0.021921362002909454,,-0.011033662731109175,0.05166626294144373,0.02055100916640915,0.11484027814268555
CCL5,-0.0382834412234332,-0.03455638819458389,0.10577429995937258,-0.01153056539192683,0.03239764793537967,0.027203372817121273,0.047318660339954625,0.12417015119206673,0.006307958095840657,0.013927882623352874,-0.04033455672305486,0.06163826023073362,-0.03461296032655099,0.08089424435488912,-0.004942138000679932,0.02755832316511347,0.10257830683191876,0.11621938631574343,0.045935078432454673,-0.007882859568968146,0.056952916623131525,0.298133418919495,0.01873276265233649,
