,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
MICA,0.044854359094770174,0.07898783598350646,0.18142634315402592,0.03833236728839577,-0.05085208362292222,-0.01869566144351273,-1.0363795357347634e-05,0.03876355537950509,0.1286557196699295,0.010780708200500696,-0.015935956521136295,0.0027872410982902923,0.05310217056365759,-0.001053515356876193,0.10464645959176747,-0.06901198648251133,0.12394664043960921,0.12308313841857298,0.11663130965132364,0.07172193305982529,0.10569847817191699,0.11052360218475413,0.15919664820985016,0.06777591932591702
TG,-0.01727288691162431,0.07105989107059123,-0.04710871195209506,-0.035725519890685106,,-0.00725510389700635,-0.009759496758462754,0.03483772865698278,0.09110377029513278,-0.03775166847921855,-0.0212669476953679,,0.05333889838369887,0.017761911196896407,-0.015946892344104572,0.006167669151861759,-0.010173390722398574,0.011310178369516241,0.11148261366594917,0.0036908390222794877,,-0.0021689218744000496,0.06081191773718355,0.004807157234857011
ADA,0.034108099016146594,-0.003547209402628091,0.2647409770040865,0.00381995265713855,-0.04286563872516621,-0.004510087307571207,0.06187863689667843,0.021399821514693572,0.11456226787553227,0.02640616483453607,0.05277355537705793,0.009286444564904519,0.21620244290823143,0.03815163997129536,0.04418428576752294,-0.02995084975813191,0.09607611186663087,0.11709418490719696,0.1228146878079952,0.11125425741291435,0.05123292536111128,0.18883930109931554,0.3362601820566779,0.17504815892005743
LAMC3,0.07389453320694689,0.050055885908280695,0.3797044773421589,-0.05550669613264665,-0.04055263654432854,0.08592704215030363,0.09394037055477696,0.06902999062142551,0.233029661707782,0.08400032294817668,0.04471484107687454,0.020599622364005813,0.13390325518998106,0.11996847641616189,0.24797003129170941,0.16082903005003676,0.09503038117372567,0.2903158810586508,0.19751139833255593,0.15640414384046236,0.20938084733466567,0.29351365142136093,0.3690720524195527,0.2959650984908794
CCL7,,,-0.004608878780451149,,,-0.005016628559235639,0.023495733195569836,,,,,,,,,,,,-0.006417805485472819,,,,-0.026384099181167485,-0.08005768515456083
NGF,,-0.028029632729375253,0.09509986885074895,,,0.003441028413566004,-0.02829386780627878,-0.03897380512885088,,,,0.04102272318327938,0.2802319793274292,,,,-0.04421306610725899,-0.04517187196215395,-0.013920120548524808,0.01826440712919911,,0.07263570802298708,0.15700373713540652,0.033267718739172565
TNFSF15,,0.030534559162373406,,,,-0.00853347847652811,-0.015506359532223258,0.0015626214631698724,,,,,0.028100088596426834,,0.08961748511946108,,-0.01068092150195762,0.08421300797282234,0.05174221317431281,,,-0.02033444503569507,0.12094598250009378,0.09468931776308857
HMGB1,0.06063056702441902,0.0021147453031140095,0.048405540506845715,0.05427347793775489,0.006187928845274736,-0.029217930601614008,0.03999380491428719,0.004692298592044258,0.15257815989599133,-0.011572071722595193,0.02909241088307734,0.02714360654890774,0.26224232318082,0.018032836693846973,-0.02258034660521756,-0.04727729495309678,-0.07650979876843919,0.008774553569489765,-0.07166361509193798,-0.04875486281394942,-0.04049787502817103,0.025788527322805257,-0.14251371708466185,0.02152054851767228
ITGB3BP,0.039476734490368176,-0.044597854206193256,-0.024764644360481657,0.09536438784955109,-0.0319907062875375,-0.03378896978007172,-0.011857849430437124,0.02218057141807666,0.1762535342192536,0.05170704474235642,-0.03026758366785609,0.012213178861594514,0.06471907622076366,-0.028719178866057522,0.07514724286976401,0.0764616323283273,0.11033347857772902,0.1294941753149424,-0.010819060263470945,-0.01989067770231057,0.07309695542367474,-0.029210520673650237,0.08221471048973623,0.003722281695895795
AANAT,,-0.025759225556606737,-0.0658455198226796,,,-0.021203133931582088,0.07698641210092966,,-0.00880406361283958,-0.02498311229143613,0.023991257453856805,-0.016299794249304694,,0.011061063885100041,,-0.04183027406431101,,0.026095306536258873,0.008421814474485501,0.00393217641208286,-0.004221422556942802,,-0.0012498503339011175,-0.013955616322029171
RELN,-0.02356732898816702,0.030954313862995665,-0.03629510957694742,-0.024485383203054253,-0.02446552202234388,0.012265068998940575,0.03190342684201024,-0.01013747339424312,-0.036578038189038674,-0.044624995181644464,-0.033705127819277696,-0.013468009420699083,,-0.004713820742588443,,,-0.05409967113870486,,,,0.02308308822489938,-0.033985123858706244,,0.022726139369561284
IL15,0.048175390969261905,0.03483173370189694,-0.005489995316692626,-0.025893355304904882,,0.01894042800700608,-0.03313557170592186,0.010839989895941921,0.07745974199779262,-0.019321538013956606,0.02905942447708977,0.02409658508392974,0.031523086923999806,0.00853230692038983,0.09168371607364353,0.010264150679617723,0.013460869855951088,0.14049705864506923,-0.007235684378508298,0.04038923625789639,0.01142487113084947,-0.014352132941535076,0.1557162433237588,0.04082511024885882
UTS2,,,,,,,,,0.04676098334614309,,,,,,0.0840035349449211,-0.06212783291705477,,,0.027263742667662377,,,,,
BSG,0.12143213266880488,-0.021908808490333904,0.0759262359412682,0.0028951642794775656,-0.04168736128876945,-0.05618451241171983,-0.011693107651080035,0.03897990594484877,0.0980011424471884,0.02448312710285864,0.022325881355845636,0.050006348089414315,-0.056449769130366735,-0.08565814753725211,0.02386196512053837,0.07065235105389563,0.17022568252483875,0.1695847643600492,0.031435994284992344,0.007649797869379137,0.1753667636541987,-0.047343794362452604,0.1272868701390959,0.02333023696921488
ADAMTS3,0.032290829745465086,-0.030782124369082748,0.12729651873619427,0.008684146796653719,,0.011817231629902196,0.08072754910547716,-0.006761649082912217,0.19795715163077168,0.032773437405831676,0.010399911818824839,-0.03004709054384209,-0.006634914778539185,0.07223423632760523,0.1189602635011927,0.03391372329269907,,0.07573628020097078,0.004070584611396857,0.06941463715102325,0.1118560209535955,0.04696273520176196,0.13043930116216082,0.043324425894373166
CD34,0.061603148954380293,0.2314534171673346,0.3187690534472451,0.039257211746227545,-0.01959733944357494,0.043083171457660024,0.0510576696143254,0.14072669800721418,0.1425660752787848,0.0318448096107183,0.07646770779768278,0.06485611332265313,0.20373723990153836,0.08470118064749164,0.13579718750756395,0.15088005161258775,0.30697154592033193,0.2793722655688262,0.12632047897639065,0.011286847238506951,0.2073178272963475,0.19378658663244952,0.32786675142250055,0.15600217459991927
CCL23,,,,,,,,,0.04533655919515844,,,,,,0.10431247272065802,,,,,,,,,
PLAT,0.019667163787446738,0.06096491709962684,0.241277250897369,0.08320429284398538,-0.10134826992483141,0.055550019534401876,0.017852615371090143,0.004381313446266577,0.2211258840642894,0.07010183813721524,0.01566681794428431,0.15252677184133723,0.04411359579315819,0.07817501750967376,0.17039878399512234,0.14059910884744928,0.19635823438992936,0.21013321117832928,0.044392370372189634,0.03527507448211816,0.12435945978310449,0.03439544290378306,0.24577905225620336,0.16340772151589697
NTF3,,,,,,,,,,,-0.024622326499183434,,0.09458206267046919,,,,,,0.036419872162660266,0.021653711832659524,,-0.01614539390806014,,
LTA,,,,-0.0007753863235303856,,-0.020507985576911667,,,,-0.0055516602313222625,,,,-0.037260849951246414,,,,,,,,,0.05370678814684991,
CKLF,-0.03881300367076036,0.07170238073432289,0.10667866514974875,0.04604874793216344,-0.06685659363173764,0.014318271919499085,0.041391812115190635,-0.034169421875102926,0.20051066063146877,0.00232620250420192,-0.016441772167215915,0.08370316985811183,0.15348089872400753,-0.008840655224048276,0.11065386465184558,0.061186144763983916,0.05875504235095532,0.10783644608345566,0.10380359561467431,0.09815495681448777,-0.010421164059335193,0.08933346921293794,0.016465787983918078,-0.007725357539011124
APELA,,,,,,,,,,,,,-0.005433497818995225,,,,,,,,,,,
CD24,0.026418927814179555,-0.05990215739807888,0.026097770321233803,0.029617963963989365,0.015755195406340666,0.05462700205224321,0.011482722516386809,-0.006399418443864579,0.009007874001176683,-0.002829385260505047,-0.04514010643567271,0.10778473347913134,0.20822148959747588,-0.004251533101930875,0.04302614700240848,0.05010870314111124,-0.13550453962737122,0.07503297936907811,0.024358474505975742,0.03864414683974016,-0.043600394370537865,0.01723012775504981,-0.142820104229563,-0.0028898989488321974
HSP90AA1,-0.05753615945119579,0.010369166171472105,-0.1675023277468534,0.02331644912821138,0.11732223085999244,-0.05196206209786538,-0.031163412550544663,0.023117084101529663,-0.2094882517473952,0.04979012560115721,-0.013145491897112097,-0.046743109571645736,-0.03409727139703786,0.04286964178847249,0.031379896063586224,-0.060318026688041496,-0.052639942128386935,-0.18820891228003525,-0.2289895283745613,-0.19050620591593423,-0.10264734721196501,-0.10629849400309177,-0.2295060336964809,-0.09394314073711786
BMP4,-0.027806807889168405,0.010359277164796081,0.1537182330260408,0.056375032327972315,-0.03594192602205245,0.037309428845265426,0.0872920679072987,0.03334510073808414,0.010088702808014572,0.03393458707468791,0.030435774103703076,-0.04203074869796442,-0.06064204478092321,0.056409112302654704,0.18694303150345068,0.1998775916727986,-0.003563870228298765,0.0753718376744492,0.05215261710703689,0.1667679494381252,0.1291105560046489,0.14200164555501796,0.20450089557725937,0.02645621503421485
SCGB3A1,,,0.12065957786410816,,0.09412845589626813,,0.043713935855066686,0.011712483238355057,,,0.035943463535273286,0.11707781178707513,0.0795121866976333,0.024807657784521014,0.0072365377910278365,0.02637787843958935,-0.01935195382610058,,0.015244463546831542,0.022983075546104827,,0.02933128810648558,0.17882185204728,0.11439411723080241
IGFBP4,0.0907840694467997,0.06332258045285448,0.35021648344010264,0.03427787269883205,0.007599446777944998,0.02152858395314241,0.05449034789480378,0.022797196562140264,0.22248799126969107,0.017291058793937518,0.06806116112660354,0.08851538015456784,0.2009686251417019,0.11719697623897415,0.2695768480367445,0.183726486175088,0.20803298178519908,0.2478931749478335,0.14906567206027466,0.05230764144595351,0.24541532094765842,0.18051301812510162,0.43659092282289835,0.23922072256774932
RSPO4,,-0.0342410700826909,,0.026753051265811303,,-0.010630855808096244,0.06906737767268786,,,-0.02997608733515183,0.0083738037578972,,,0.03661785394430463,,,-0.012473276299612963,,,,,0.08114972139497832,0.040725084438808325,0.08651062372876343
LEFTY2,-0.009389373374608712,-0.05735401388278732,0.22627734533749613,0.007502277364697231,-0.019845045472821534,-0.009939100128604583,0.025753162885370197,0.06712811834212894,0.23571242076993135,0.030871129682851363,0.016413419925584812,-0.018927576084688855,0.009370795503515182,0.04551521659319962,0.029503945047005434,0.11274838804896462,,0.08467723290462835,0.08675713615677576,0.07035012135462775,0.14404486796747645,0.026053411149182616,0.177670095492938,0.08049079769636854
PF4,,,0.04563770797150571,0.014575878536774613,,-0.012047128475533582,,,,,,,,,,,,,,-0.03954990934227269,,,0.05922532538420337,0.011647690166877115
ANGPTL2,0.04742386342300896,0.071629978745462,0.15481827102526666,0.11190030942871956,-0.04838373822682164,0.010235516403754778,0.039499100896318085,0.023392566271603722,0.16911424450718726,-0.0034683296000900176,0.04633647790871726,0.048649468115274014,-0.08347745233467857,-0.06098396190487203,0.17604823810720782,-0.038673626265121525,0.1028441974279548,0.07437547978431537,0.13485183573818119,0.13138447089494062,0.025930730632468355,0.08405346193521213,0.29098563781218467,0.14007924625245874
LRIG2,0.07398364070314485,-0.02578844921639668,-0.005265520223376681,0.038063850113518934,-0.0764335906873607,-0.026341197242679526,-0.0019762210858139686,-0.04271806268619674,0.10558269856887288,0.015884871215857462,0.023700841696497135,0.00969628387201472,0.06987048807407684,0.0036404361604001007,0.02757410813539297,0.04101306171795452,-0.028900511055813784,0.14732678888062908,0.0846152136884315,0.08369243759699733,0.008460782024061256,0.06046038117324401,0.12211496375431392,0.029197007626244487
ICOSLG,-0.015839289041285023,0.03078159044132486,0.09255672721736874,0.05257080715428482,-0.04160367286626418,0.03128862527440501,0.04833900620081344,0.03099962162253573,0.059690420905818296,0.04672388522554691,0.012370171912844894,0.05047070073037217,0.06208075583261282,0.0357882716603007,-0.021641990097031594,0.02851077448768433,0.11448256558403422,0.07396170703957504,0.09635689695104684,0.10200793214018448,0.0485849107837343,0.02157630421392026,0.2485005413927448,0.11713654572651547
WIF1,,0.09794763021018682,-0.08460903736764204,,0.057756969815760596,,0.03036156550606095,0.022859244991745853,-0.10484133976420593,0.008295062833291475,-0.016053153284710922,-0.008013889421270397,,0.04440780019284872,,,,,,,,0.029684369392285866,,-0.044590674204409264
NPPC,0.03903254072710734,0.06599031747913943,-0.05929519642006909,,-0.029133590904614693,-0.031745960972511145,0.06283925546319084,0.08369720198715314,-0.0156261681409824,0.0013949200643636208,0.06550836464495859,-0.05519339592426879,,-0.07442977886454116,0.017387925285033967,-0.05975571061583664,-0.002916048882376367,0.0331821560759451,0.02305214318992175,-0.040792835118492146,0.003718022466279191,-0.01572276253827178,,0.04773194856524796
LYZ,-0.04887037569609713,0.033599713745401334,0.1174425488877141,0.04236997396641901,0.03040240743082045,0.015404422524719009,0.03565414875144172,0.017680219674637083,0.1270253843022492,0.028199578325751297,0.02752430026023497,0.08346302952818041,0.11922750346002285,-0.0021074454004233363,0.10845319394298841,0.09937129647878473,0.058495469068820465,0.1449149161790434,0.10576875876842344,0.07145741903617765,0.08176597812612901,0.031764507086289126,0.14546394602799415,0.04130999679048281
EREG,,,,,-0.02928352372394313,,0.03970153594627449,,,,,-0.03581643050408315,-0.006754163769988086,,,,,,0.039934679660109926,-0.029849271733547646,,-0.0036717865011923587,-0.00530963674993421,0.049266593644179825
SPTAN1,0.05067219158250208,0.10675073262792927,0.08573616704763305,-0.04121026635452039,-0.010291506299228415,0.01091763336657047,0.016827965431721704,0.025169000959960094,-0.031053720873311857,-0.04468751669278395,0.011909750049414447,-0.07747736721965498,0.09642760521919061,0.01272652679018317,0.04123890186180873,0.029334245298354933,0.005572947042331636,0.09561627735390027,-0.017009540241198322,0.03878745609065026,0.12478163674794684,0.03078401390539877,-0.01680894673116621,0.07386706434871274
PTH2,,,,,,,,,,,,,,,,,,,,,,-0.041731976418843714,,
LIPC,0.06129846091099585,0.0031945366637346367,-0.009496706234654278,-0.0294228736755662,,-0.024346461967975068,-0.012951179843259723,-0.05221810427527382,0.06642947449168128,-0.005416413896434339,,-0.0004660986153498991,0.02738791467073409,-0.04036057100911982,-0.015186498888488309,0.06124674217698109,0.0850939914267856,0.03565706221169772,,,-0.042135131851389764,,0.11768258231356338,-0.0046070347780283365
COL8A1,-0.002158835705816534,-0.042327895746914784,0.1583132900265051,0.01979407271285013,-0.02712389557809351,-0.03771347023688748,0.04265947572387276,0.000983312464848223,0.08816422464287539,-0.012672372443569502,0.008783276701233127,-0.002027960794812892,-0.2219415496837953,0.053755666593167516,-0.01635738127278576,0.09362307932963829,0.08925914756104866,0.07030303021370127,0.0950116693627141,0.09224252610722805,0.15761582669163585,-0.01908930401041159,0.07362739827412741,0.05702717920018436
GSTM2,0.026514756416296335,0.0025877148451258552,0.008728205541757432,-0.021547129461537664,-0.036149819357240855,-0.020320989075114867,-0.02636397957060477,-0.028475009569463455,0.061149982556672505,-0.0369933119288792,0.023391323622720745,-0.015754230228568037,0.0772213222010723,-0.06199595904555111,0.046021950759890566,-0.00011458761539460895,0.04183352118285578,0.049062233085643836,0.04230417156055687,-0.012023949680171071,-0.019622890070013062,0.020184744782106297,-0.01853050097605995,0.03487080357751861
IL4,,,,,,,,,,,,,,,,0.10372100773674059,,,,,,,,
