,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334
DLL1,0.019905538111920997,-0.08668138266234035,-0.05408362536911292,-0.0006918191581883787,-0.0062118327114150124,0.01804587103739884,-0.0702042255283509
TLN1,0.02341210248068816,-0.10570135058990719,-0.12272449120390112,-0.009823014414900426,0.019109872332574013,-0.16874762460952886,-0.11461757278401301
COL2A1,0.022434023966159674,-0.04157527311663145,-0.019582178898802545,,,,-0.016490863342690617
SHH,,0.050690084283789245,-0.015393971973623742,-0.013794077159922884,-0.009390059043338525,,0.006093420821183031
PON2,0.04587437523874579,-0.05643736619899495,-0.12430690285518294,-0.013083553506536706,-0.0975399025968449,-0.058970146683691466,-0.05862131504604321
ICAM5,-0.042525215032165394,0.031102699868959797,0.11572817166421974,0.04133509070459132,0.08829810304793331,0.13301080188558959,0.10620716976971695
HPX,-0.02066720174798373,0.009266044906473881,-0.01431425721812857,-0.004349369442294242,0.011312271220409441,,-0.0400047855634
SFRP2,-0.020977001912860636,-0.053416835804377436,0.08278310458062796,-0.021241464046765114,-0.019828357119163174,-0.07261072195068777,0.01335562884985577
CFC1,,0.010607137417684449,,-0.016344568992341716,,-0.027527432926135235,
CD70,-0.03832446325246526,,,-0.03048834393127227,,,
