,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
CCL7,,-0.03945516410971953,,0.07943503467095475,-0.028341937384740345,,,,,,,,,,,-0.0355938042872561,,,,,-0.027763616534923055,-0.05959136171816718
NGF,,0.036679909149621236,,-0.032923241999479415,-0.018370726559109353,-0.026001499119219857,,,,0.05490504398903644,0.041589275862229665,,,-0.028027744580686645,-0.016535013565203406,0.07976979239213682,0.05159184711264478,,0.04393903555705343,,0.11372306947961773,0.0371657412923668
TNFSF15,,,,0.029268458817226194,-0.020984274263491205,-0.01962431082252892,,,,,-0.032552082984823295,0.010465998982409368,,-0.027858645501384973,0.02823159300901378,-0.022469486580481843,,,-0.006718515777412853,,0.11310143010039338,0.062127765419476594
HMGB1,0.006045417000818493,-0.006439661296439125,-0.0027617295872222345,0.0005959462254517781,-0.047779626260488164,0.040244921163026075,0.08844249682160367,-0.0639633288004289,0.0661336819260666,0.02362431622364283,0.17117554694990209,-0.05171594026105158,0.06602239445430334,-0.055992619108512366,-0.03441300807303726,-0.008403432437760018,0.051905041051417904,0.005947158678325368,0.093305600998351,0.0002931328745362485,-0.17127067581613964,0.08423257718124298
ITGB3BP,0.043101574970726864,-0.04451008418053145,-0.021646855015307324,0.027272537867123133,-0.013457404544045946,0.08091775981040324,0.03172206376677102,0.0628953017448794,0.02857715043306404,0.007943311921847966,0.08283740505012673,0.057387480132260596,0.013120396448937609,0.037095924736723,0.030252321455746307,0.030542127898271636,-0.010619147064324562,-0.04520790757134218,0.04054741724007754,0.008978961226283631,0.04883842054985546,-0.018525703077017033
AANAT,,-0.01198010056038749,,-0.020272634973604972,0.0001002857475034495,,-0.02289796288300421,-0.02214456636071507,0.033181845884992525,-0.02503773220337355,,,-0.0011353888156965678,,-0.04864545690107356,-0.016270161156661214,0.023649495729499075,0.08879266929588955,,,0.030844558461179908,-0.02655174636035102
RELN,0.06616724925513154,-0.017861206210746345,0.04370516970153106,0.05861540949926577,0.05526964836968868,0.02914743151015134,-0.060866425618826867,0.029072813572926993,0.03202019737286395,0.09965288943303287,,,,0.03042784663627141,,,,-0.002619655149987387,0.014887543430293429,-0.0207941323559206,,0.07650610542625857
IL15,-0.019531356985518764,0.07657487534684732,-0.03220625083977136,0.02028575760673693,-0.0364190167173642,0.07893404361899432,0.07921374604777888,0.026926818044983092,0.017055914970167733,-0.05130790585604412,0.05576911682906365,0.14113815826424592,0.07304085162861566,0.013217180677359615,0.02498953356373048,0.01001048552702115,-0.016269681235627886,0.05488360046137606,0.028386331665649966,-0.03375940490585795,0.16155826686702904,-0.07105766679776473
UTS2,,,,,,,-0.012156390600338579,,,,,0.1255936216436656,-0.05458961361220418,,,0.006042090005752809,,,,,,
BSG,0.03315287427818347,0.08936199176356915,-0.026305505716932468,-0.0369772414079231,0.04529593930842217,-0.023349068746385197,0.039159439417292344,-0.03220589170847343,0.027325351226512216,0.05453040067507266,0.08172074613755845,0.07647859657837142,-0.061722721705289356,0.0021205648595086857,0.06978614159290351,-0.013375703655095895,0.020088499321709485,0.15817763343113073,0.09822302611589026,-0.01405138765644613,0.042942759795862824,0.017667503087272506
ADAMTS3,0.04700980820030938,0.018922811159611405,-0.028201364076625903,-0.0013184061151309894,0.02262597081575177,0.00401978356369194,0.05769049136657778,-0.012242323988542615,0.019837187264284795,0.04394747617799952,0.07885872171615346,0.09780338246960221,0.08369351179936493,,0.08686186032432003,0.0650262020671778,0.04661837744282037,0.03581206676882855,0.013129931648641154,-0.038813440494552265,0.08132688738196756,-0.019402657486787808
CD34,0.024723253986801575,0.2922912125322734,-0.022313987666579285,0.060847924327519655,0.08833259116969285,0.06175554859975442,0.11420181600717683,-0.031563917094705414,0.030982064219406018,0.08924169072294816,0.1031727470422211,0.19669300937720471,0.3215805153599673,0.07540841848436623,0.24044079087908224,0.14417929336221555,0.13326372994526603,0.11011799406234205,0.19322880577503715,0.12973841827688473,0.31586540101223975,0.07638154833003391
CCL23,,,,,,,0.06317594405913539,,,,,0.04563152850826453,,,,,,,,,,
PLAT,0.0929716370286013,0.16448798866889525,0.011394866230291808,0.02712218058631899,0.017257694995837864,0.05684584592150928,0.06634906389017788,-0.034184701271020634,-0.014063550509947793,-0.03464908582080491,0.04264655846701634,0.10768734457575393,0.10969898884321252,0.15001279765573033,0.09823010339780612,0.06474128592805681,0.040796830716462076,0.0811152595395405,0.16344482125960794,0.020696280082301073,0.1703659381364751,0.07930947141322643
NTF3,,,,,,,,,0.07114869571672074,,-0.046571974451721836,,,,,-0.003185783525463454,0.05286596261597818,,-0.0028916941849991937,,,
LTA,,,-0.018590943896760487,-0.025643996576995783,,,,-0.021327525230108835,,,,,,,,,,,,,0.031726105316376714,
CKLF,-0.022184780209864495,0.13874319958730738,0.03786916592779803,0.011758267479480163,-0.016368701678164697,0.07300679590188519,0.0788332527823054,0.02153728184498393,0.012155355113239806,-0.024642690407394023,0.10789100309210552,0.03971244119675844,0.08874461178317546,0.11481436717463574,0.03918803679524415,0.08709573809436835,0.050678692494296705,-0.005751959540108258,0.10418735724531665,0.0018633364050181305,-0.029134751391216775,-0.03439096618972631
APELA,,,,,,,,,,,0.14106024895746436,,,,,,,,,,,
CD24,0.09933489341324402,-0.025599034967393543,-0.038924139834835975,0.026166667786069915,0.07694916175056442,-0.021505452101371933,0.02581333571150077,0.032258300052437426,0.06273708132997197,-0.02557066264100098,-0.036252430231665696,0.038085239905844934,0.10950821902212791,-0.044624904212238935,0.04540649341806976,0.05438598735673152,0.02312717884502527,-0.012189500753023962,-0.10317026236389273,-0.04030081048965394,-0.0952409628498472,-0.012684237024267055
HSP90AA1,-0.0463314165059597,-0.12433393889051338,-0.0020930596218247453,-0.015816511414784018,0.025621258559104094,-0.06997375199767335,-0.06750700510691639,0.03208236002395567,-0.0445113101914956,0.03266868698250694,-0.1238691471028677,-0.009601811717833343,-0.0011488870714022542,-0.058406827912564324,-0.06947954085912478,-0.14680064930203124,-0.08382577489861599,-0.011766066512570079,-0.0731200527453035,0.07039026416107602,-0.20235962157927082,0.08961500641196594
