,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
GRN,-0.1035817871473657,0.012160088690665273,0.034778488370317995,-0.01648198492496411,-0.03464753001486554,0.05297908147993723,-0.011401477673955138,-0.015205697608654421,-0.017074501480454054,0.0511926736079189,-0.05898118681323382,0.007915305663855484,0.02765941152077266,-0.05374028780940113,0.06689727230241131,-0.11404368364606918
MIA,0.03263671814011506,-0.015133282391560345,0.023967394831430858,-0.02508059654931004,0.05745690853836944,0.026506158700816795,0.015608381780329458,-0.02109421340957023,,-0.007207025384102819,0.08501479772855984,-0.022473902187267986,0.030025014148586382,0.028285985724581027,-0.022144867904780034,-0.01349089725813209
COL4A4,0.010500395270483808,-0.011704222707583853,-0.028516583982753828,-0.019208463147289138,-0.010556599853636156,-0.01883181605635086,0.029741088056947917,0.0555550366472759,,-0.02143334995719784,,0.006048629061930715,-0.00993293339528236,-0.03231603307061273,0.03772355106736396,-0.004534093900450503
TAC1,-0.045955276456038655,-0.04047085727749218,0.0003828968045054636,0.09513347013856441,0.02491399862846699,-0.015320483265552142,0.0387217817175818,-0.031141902378732253,-0.05387358656278597,0.04128407464315989,,,,0.025117384440343622,0.04579554251214823,-0.02832863825865351
RARRES2,0.04186204946286848,0.02532208080712741,0.006426444585628078,-0.04469879181526311,-0.048099330560864254,0.03454776407435603,0.04527433805864773,-0.007129180988114936,0.015149945823189823,-0.003695336789975644,0.005666333293433254,0.034343036303898074,0.017815297127619725,0.028158818246300208,0.05035841794484146,0.11260326529714752
FGF7,0.004154475430247667,-0.019206263313527348,-0.005569080393875184,0.03906535887353154,-0.017323366527563146,0.06720021922875935,-0.016421266740860616,-0.0398534608963392,-0.05975507811320855,0.0015534736033729934,-0.052100887685750254,-0.020077844733467767,-0.03692212855628031,0.0336857487275659,0.05223121877612658,-0.05466390209456778
HBEGF,-0.05561490297445199,0.019223354120644746,0.020130938063697413,-0.08710837738476765,0.00988748225908273,-0.015468951203486138,0.018644389160312053,0.0035785564773432583,0.08530630491803715,-0.0173072972289972,0.02451703370090329,-0.0335916019843946,-0.030205538315480236,0.00985739048767297,0.024652396390928633,0.013925260303677732
CSF3,-0.05758598122470918,,0.04527104724515785,-0.0003826851821310685,,0.05715269849386329,,,,,,,,0.009385452246792715,-0.033928330257574836,-0.06452619313810291
PI3,0.07480098140209085,,0.024363495797497112,0.03650832587758786,,-0.022434347948474105,,,,,,,0.0732061418545482,0.051443924921753786,0.013790217689090702,0.09028948651278182
PCSK1N,-0.05544224637241056,0.039781385543210666,0.030683997143863464,0.013011871934858863,0.04076655713638142,0.00971689232926406,0.05714396402138311,-0.023838792056665413,-0.01168383228145567,0.004181145012864801,0.00613921642558342,0.044980318653997375,-0.026871877271208586,0.006731326080125479,-0.015795070509826512,-0.030879364996709454
NTS,,,,0.03265922987376282,0.21664320709218465,-0.008588215384355597,-0.0018688719414291343,-0.030297919431605137,-0.02317331742520486,,,,,-0.004528424531502557,0.012749717028987086,
SFRP1,-0.013724475518881446,0.006447488846025154,0.07565825093558443,0.048783034001122126,0.01215519797696602,0.02613383984641361,-0.013395296406479152,-0.013614546148189388,-0.029158036906081118,0.02782564210718255,0.007457269709285696,0.01270955514754088,0.0876636933030875,-0.007589212634744755,-0.030147726950121887,0.006575906840399978
CXCL13,,0.05427795358844401,,0.07128233957970351,,,,,,,,,,-0.016270113525294116,,-0.0036797562070781504
MICA,0.03127683533166259,0.06540197100310427,0.015301733927319129,-0.013198113261696471,-0.012425964434169877,0.028753219863528613,-0.008739765769830883,-0.0346570801697309,0.020437770163085216,0.03152551948527947,0.050280204691204346,-0.020118558166599236,0.03849046550512587,-0.03536410088690203,0.04605020290020239,0.10105846912309348
TG,0.02002826658651617,-0.016155147306263197,-0.01433967678409954,0.03067439843048299,-0.014875237435895902,-0.0240461220636413,-0.020608107108148362,0.04388944739042395,,0.00776102329420955,-0.038084755325277074,-0.058542022463421134,,0.11599487568886258,-0.027506395220965364,0.03615106590159927
ADA,-0.014905009344661716,0.11342556169979831,0.046859682747177896,-0.042017451500870905,-0.015755235246543643,0.006494085452098652,-0.04147383661039268,-0.020252775669057838,0.023491139085094672,-0.026669312197203685,0.03388172050072415,0.005256834627387367,0.049114848499111075,-0.02929106030849904,0.092365940750221,-0.013790088848781338
