,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
NCAM1,0.027264449430553592,0.09758556270446231,0.003901731443977085,0.028040240821783923,0.018323223239671303,-0.005829965508413981,0.018888432240624028,-0.019115810606190598,-0.027608987702774868,-0.07517752884975117,0.028219918603476266,-0.10621078444290849,-0.024850599338348975,0.0129039962765636,0.07175282094158307,0.009193293496721017,-0.03446905310654279
GIP,,,,,,,,,0.0785482005944109,,,,,,,,
EFNB2,-0.0145704802644691,0.031497249028505384,-0.022266683271269187,0.002809193160677452,-0.040782286865823095,0.05946749230122458,0.025478977590844904,-0.009236915331924646,-0.0053938260065308444,-0.02446706761456656,-0.02073600112801658,0.03225836655635721,0.06339584274906214,-0.010268835853163618,-0.030461522805866302,0.03979620947529224,0.02208949858877117
ICAM5,0.07438990656659811,0.018235988314383802,-0.01428594109266357,0.06171017088571197,0.006364706678423309,-0.029882911700888873,0.0679873703147809,-0.05401322895030797,-0.011788192265440412,-0.010369074592591263,,,,0.02047290461596037,-0.042761867159292775,0.022741030366245363,-0.020718050642461988
CCL5,-0.045699420899687,-0.010480451871573674,0.012597557478676231,-0.044003027427180354,-0.021623778188731676,0.1542870583576649,0.049285572241054655,0.0256127240848087,-0.016430415634087144,0.02102011507103727,-0.04032017811694222,-0.049737011242426174,0.03710975322511955,0.03217929897533629,-0.008974403947751055,-0.04237806024317711,0.07441763020075824
PSPN,0.021829761117849088,0.06790612786710781,-0.022716494184932205,-0.027780055983426453,-0.006099133975346967,-0.02309498640271183,-0.025642413063044104,0.0045975399272999646,-0.010938760162764538,0.014356552245442829,0.02637319320090195,0.010845220350594376,-0.02364981538429615,0.07423755816124294,-0.012804385492493277,-0.033370986953790475,0.06350071689968592
PENK,0.03801565768838873,0.017133538886349546,-0.018661811835922824,0.01272293057132393,0.10435387694449777,-0.009064552362727636,-0.0250549160090447,-0.0510582042783023,,0.010858725467033368,,,,,,-0.032575773428795814,0.04746163980666045
EGF,0.06430924032618965,-0.0222516311458854,-0.02988276760179823,0.05393563799970898,-0.021490772970644664,0.0012323740389028363,-0.001955397352816232,0.01462495880714245,-0.01602732833285862,-0.03770613108291849,0.031248019182455965,-0.08023937058876345,-0.010005918722817088,0.003703276056093457,-0.021442924927171248,0.026870422054933507,-0.019796048750522873
SERPINC1,,,,,,,0.012340010493750124,,,,,,,,-0.0026869791488615988,0.006560410769814464,
UTS2B,-0.013443276104510257,-0.023994538128263035,-0.012000745610802627,-0.017536848625112674,-0.013428622534080371,,-0.017273291550567622,0.027155494574601646,,,,-0.06220105450354705,,,,,0.040656576156018524
F10,,,-0.014391370121524362,,0.034059696144135496,0.01895103391885629,-0.0013190704044204317,0.005334707785570839,0.028219607636566935,,,0.04791227379307214,,,-0.016256874838996443,-0.008098238677501668,0.005409148469744176
FN1,-0.14386752028569916,-0.08105587671813466,0.00087655857236065,-0.041267437534661916,0.01563269255049321,0.10628585060955188,0.007164350499447775,0.008688130431798596,0.07490367961086038,0.0439669011053655,-0.09138316510460656,0.03835880905566862,0.050714762964283365,-0.057689524652851015,-0.09303664249925195,-0.002688255241165031,0.01071181014892903
FGF2,0.008807524265006559,-0.021470675106858128,-0.02025241744315337,-0.04475301067674379,0.01319706439235965,0.041837731911803726,0.030462882918757764,-0.024127363946674748,-0.027146469571812392,0.026775320066527185,0.07759893884833241,0.06977332732042374,0.07752756790734032,-0.021078700363781736,-0.00881942373128466,-0.00951804599807441,0.052187154199174926
GDF9,0.011029702933139129,-0.011849778335737155,0.02806886590133751,0.03255078187577516,-0.01294104764180507,0.08288654155363755,0.0062913868183008545,-0.0070485011436318724,0.07526808966238059,-0.00018164594553006394,-0.03862010627522525,-0.06508979985365618,0.10104416014854874,0.013522422662778961,0.09696682959212714,0.1278618194889249,-0.01947547925050869
CSF1,-0.10341477274854054,-0.06728390939053705,0.03740527565161983,-0.03453897803185302,-0.0355354522065556,0.035317592852208375,0.034217310173726236,0.09391828928708368,-0.001305654121699689,0.0622928524496535,-0.1071473526618018,-0.03512004046792718,0.12083711825484743,0.01165433955038642,0.014552632152553799,-0.026181440056890985,-0.012732405580053315
GZMB,,0.043145344989227584,-0.010120081881215362,-0.00043403699450945596,-0.004368675760526769,,0.013014713255903025,-0.03152083740256969,0.02943503963043909,,,,,0.017423783708140152,-0.02721820158660745,0.005245459955256048,0.09034870297326149
WNT11,,0.024765322507900027,,-0.023702159076587546,,-0.017357890120717742,,-0.013537401841952514,0.036288619520895134,,,,,0.04330692625812511,0.05383755668373628,0.07683136213617094,0.08751600394732553
GDNF,,-0.025400425974168812,,-0.017215971448861153,-0.02214876205187359,,,,0.05838492224106445,0.059738920453443034,,-0.012285280485454776,0.10817810652070568,0.0006375955460492849,0.023742259093799217,-0.035994979974699255,
FASLG,,,,,,,,,,,,,,,,,-0.01879144655533197
SHBG,0.024585606852738837,-0.024497475501238892,-0.016740558335047583,-0.028060866812323768,0.007735799885970935,0.0702527722383533,-0.013679093562186405,-0.01856543131830394,,-0.019798891259299536,0.08554971090077397,-0.015679451187802586,0.0041830679955178725,0.024124941988068166,0.019242684207680678,0.09243830211700395,-0.006450865711083238
EFNA5,0.09334987493728499,-0.020004932929582827,0.04558819175200318,-0.03337855913185466,0.038214004512006676,-0.02346103879948643,-0.018944795826389377,-0.03394365019287134,0.04636751661014543,-0.0026305738609803684,0.02876728183803681,0.008277117229171323,0.09260846059772984,1.9439565830061788e-06,-0.019265962228318292,-0.04829166534264729,0.06762244195544871
THBS1,0.0067670172774219346,-0.06464528647448048,-0.020656869864678008,-0.04392681366341384,0.041111266668527144,0.015082304327756806,0.028297935875536355,0.027354887895746496,-0.04228913496396434,0.06282388600683114,-0.035794671046431914,-0.020540784866010305,0.04814573814421754,-0.015162099474559355,-0.024797683294038256,0.018379591549247645,-0.010318020557429355
