,UKF269,UKF296,ZH8811Bbulk
SPINT1,0.08149714279776951,0.008273410414172169,0.014999115343550473
CTHRC1,0.014819452616096662,0.006647936588924424,-0.043390970563138356
PODXL,0.08913184313943531,0.02067887120841762,-0.017242403787242077
JAM3,0.03849243871470311,-0.0063756809841511,-0.007991679679256384
TGFB2,0.08429331657317748,-0.026118577953826324,0.04260182129903212
COL18A1,0.05029048094555439,0.018090328090501838,-0.05849589229056829
NODAL,0.02252457136849817,,-0.016069001056376982
INHBB,0.011504908534666701,0.00023288296815722194,0.008825956226449851
LCN1,-0.014337205094468234,,-0.015175139034053799
ARF4,0.015310743008659354,0.0365511740578935,0.028795410926915052
CXCL14,-0.0613028591395577,0.019926024526065806,-0.05001771088303487
LIF,-0.043980247895353125,0.05623793108501234,-0.08285390565061278
IL17B,-0.02367810720796481,,-0.024297771796490373
MMP1,,,-0.025012435871327055
MATN1,-0.015031584826941969,,0.0035383790878654167
ADAM28,0.07879193698250896,0.01762708947009448,0.022566483641020905
TCN2,0.042282584592427265,0.023626423505635874,0.001272003410486703
THPO,-0.029253432795895925,-0.007387394366902947,
CUBN,-0.01380488213010084,-0.0379948591981045,0.00534764475508577
TIMP3,0.08420249716522692,0.029180842186829724,-0.02949060074109967
PIGF,0.08973062991140265,-0.004585668934276154,0.05307539531255703
CRH,-0.022046851269836125,0.046523701438569105,-0.04256937093176299
BDNF,-0.03233888202140618,-0.02698881529519565,0.0039774713888016296
CCL5,0.05222528942188996,0.023916951788816875,-0.020915233359345347
GAD1,0.00021409466793080242,0.031037418699209205,0.0026758132259609275
COL14A1,0.0056522520665208105,-0.017439859239036428,-0.018593330690831963
HLA-A,0.11352329618268654,-0.017495264784435187,-0.06130366542220437
FGF18,,,-0.023688447160712476
ADM,0.03013685136249895,0.03390134018190183,-0.07599832391857962
CCL15,,0.0037614108325875317,
GNAI2,0.06947346495206361,-0.021306176375187925,-0.03947782012623578
HDC,-0.010210109300862753,-0.007266410962900492,
COL11A1,0.0480891537630324,-0.058225953832853,-0.002692645816154242
NUCB2,0.03873548208307468,-0.040005691281469496,-0.06601546673783157
CXCL1,-0.0260116711953669,-0.0013384315139424177,-0.033975011908804
VCAN,0.05194191285137316,-0.00284668932712197,0.07785174593267996
MMP7,-0.010464977337858443,0.021031888329523612,-0.0063078456890748955
PTPN6,0.06268714754356326,-0.04407579221625215,0.033964979123328194
PTGS2,-0.052833848629117594,-0.01813267970343464,-0.043293599082842964
CD58,0.11737772004317139,-0.02655667940481159,0.0159362901407172
TNFSF14,0.12038831328550464,-0.014602135849775095,-0.009869280633020235
CNTN4,-0.037158973107754,0.024005437538731245,0.05539463033468527
INSL3,,,-0.01499040968503302
BTLA,,0.018070110386718304,
MFNG,0.055772321078927344,-0.012508238859620758,0.041416188709537276
ICAM1,0.06121647465737268,0.0005756541469424519,-0.06009213793492167
PROS1,0.043027249699646816,0.039220066431798685,-0.04213048042135146
