,ZH8811Bbulk,ZH881T1
EFEMP2,-0.026501917428601217,-0.05319185052685491
SELPLG,0.03407819938807126,-0.05695211482393982
GDF6,-0.02442751235764948,0.05302405062628822
HLA-E,-0.08577489464113604,-0.12106431947384895
PTN,-0.06434395610289169,-0.006446689322571403
CD274,-0.03230120027236022,0.004075200972269312
CD14,-0.033698538300310256,-0.05247118106331562
SFTPD,-0.03992765872964885,0.04216946933267535
SLIT1,0.040060153942364965,0.05053400319641654
CNTF,,0.028208280479525668
BST1,4.6912402380293874e-05,-0.03282663607518201
AGTRAP,-0.04279115902988115,0.003875690613724354
LAMC1,-0.065882482672506,-0.06146845920456988
COL6A3,-0.06291436182532044,-0.040468039240945795
FN1,-0.10769929111893281,-0.026349524796742293
MIF,-0.03348819277031297,0.07312576620287185
JAG1,-0.004592437735059527,-0.03326252765755799
NID2,0.009733415656382895,0.002377286378731083
EFNB1,0.020525729457458078,0.026496018623088393
COL4A2,-0.048613934469498604,-0.04025230303817359
SPP1,-0.0754296329887377,-0.044241067858456766
PODXL2,0.04518802672927555,0.1211467818421816
FGF9,0.08230102893213695,0.054222889019317155
ITIH2,0.08018179941967031,-0.046632141053181544
ADAM10,-0.00941445734099716,-0.011885857007232005
CFH,-0.04326259378315344,-0.013555319461800186
COL4A5,0.06197623913142169,0.02879580885021766
LTBP3,-0.0016885304191631885,-0.0490216880456777
GNB3,0.022771655820350314,0.050101338309147425
COL6A2,-0.09786250935102794,-0.0767137351681379
GDF9,0.02528881249525702,-0.020530450457851554
NCAM1,0.08835945015047172,0.09907898281412947
APOC2,0.03085295935723523,0.03372972503868711
BST2,0.03353661885687666,0.0003195463876207439
COL5A1,-0.07035435139953396,-0.04416876947824143
CALM3,0.078199574301386,0.09938467930237119
THBS2,-0.009751955709688008,-0.07089290242340508
SERPINE2,-0.02379928190429486,-0.1171302881635912
EFNB2,-0.0027729135076042504,0.022076844465333013
PROK1,-0.016500687703531157,0.03809941344336171
MMP9,-0.008546329809087845,-0.03747796741437717
NPPA,0.003416092069818343,0.03479823855124268
C4B,,-0.030687892359838837
NTNG2,-0.0230792177009713,0.019855216745594977
LAMA1,-0.005464866246493512,-0.04665126041277787
UCN,0.0017489372004965936,0.0532645122418575
ARTN,-0.02599711029736797,0.007434061700770277
PDGFD,0.10336429324089495,-0.0014678895602566922
EDN1,0.015946542122493794,-0.0030862465400593904
ARPC5,-0.015814816591788648,0.04397318306327572
GSTO1,-0.0015957699670555016,-0.03187532000430544
PROK2,-0.016827818654797832,
SYK,-0.006571136163231845,-0.010164184263230595
ST6GAL1,0.08391970662077736,-0.01706677552754668
WNT3,0.05555253143165057,0.03558450350113465
HSP90B1,-0.056359335288268045,-0.08624055816681116
ZP3,-0.023814014830576238,0.010699568843768503
NRG2,0.07478644216860045,-0.001701335755378586
MELTF,0.007343181199120341,0.00562127544445327
NLGN1,0.07317231841141669,-0.024330159322203955
SLIT3,0.07084857297912683,-0.047488800627420044
CCL8,-0.013891746287626808,-0.038528201189578504
S100A4,-0.06173964714921839,0.01567645011270654
TNFSF13B,0.049182894436937095,-0.01661233920673293
HSPG2,-0.056801387712060156,-0.0848135998249707
FAM3C,0.033409925721836584,0.018178894243673083
FLT3LG,0.00390375965338092,0.037540119153570445
A2M,-0.025934431716077018,-0.05494290681150628
VCL,-0.05468521717591978,-0.0566628781499682
