,UKF248,UKF251,UKF259,UKF260,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
SEMA6A,-0.008823082515856635,0.013834766618405474,-0.007369507852796188,-0.03328017440973109,0.012827506033825176,0.03991213841798081,-0.031928669406295324,-0.012947654065623674,-0.015060328547746674,0.034717137620608185
IRAK4,0.03274967645269965,-0.019665515649724272,0.020274989039339775,0.037632997859226046,-0.015293555753061627,0.014115160189540111,0.011194094738320861,0.02304584559348466,-0.023942483674299873,0.09903171326349469
GSTP1,0.0027960147037025375,0.03586482488956392,0.04922420775805092,-0.012498447909225772,-0.06050282390655149,0.024880010336474915,0.09223563843040232,0.04158643636195578,0.020207951833067388,0.013753494892818205
VCAM1,-0.01326552040581654,0.01941033795700816,-0.026207500142313767,0.03425327093372021,-0.03278399656982862,0.10145118768158068,0.0052058328356043414,0.051811515354523704,0.013019169590341302,0.004103267680992966
NXPH3,0.055040716415454,-0.04971831895052188,-0.007778531158235874,-0.00490387449787356,0.04503886360731743,-0.00039774235803400205,0.023239131701413084,0.04273415593358286,0.042285770197051764,0.043803423572711914
MTMR4,-0.000540085044911305,0.022080459494459127,0.07100908381402736,-0.06297957322927145,0.031163195031074616,0.008002315414701642,0.09463177511367009,0.0193283019947869,0.07747305068923593,0.040971824880383534
LAMC2,-0.018846666279917122,,-0.02342577682593351,,,,-0.02404548564482848,-0.025405826105375836,0.05193310572520095,0.04014826886757894
IL10,-0.012870818754522909,-0.02136363418362226,-0.003915583212973664,0.01723235272487484,-0.05631269462304833,-0.01238085536509594,-0.02461335144335553,0.06643844400503723,-0.03079826989113374,-0.047953549317617174
SEMA4D,-0.05483657304724287,-0.05537958998360125,0.010349124798201277,-0.04426997516979191,-0.0839087322793911,0.005397027090407362,-0.02553982503705149,0.0699897306694858,0.1068229647634104,0.02079266781644645
TRH,0.021661192976593253,,-0.03439965214554874,-0.011839640469903039,-0.010757729888404685,0.044418042003645485,0.01368125307899414,-0.020457482471536705,-0.014849895339243899,-0.019995962909360312
SEMA6D,-0.04985166042976708,0.012049767673264626,-0.025301826050766415,-0.02478090668098232,-0.0145378961280642,0.054163357962482485,0.05407341928011621,0.048835262302249445,0.037406396387567764,0.07051241415361725
CEL,,,,-0.02335837735143887,,,-0.014047873367879788,-0.018636723555321803,-0.015971353844636667,-0.011305773133804244
PDCD1LG2,0.11954046588500865,0.019321697438279748,-0.016978533461175498,-0.026324414376726796,-0.04139371208703595,-0.02117892369579506,0.007190187217827769,-0.05625062715230312,0.027069550741199672,-0.023499324456140232
SPINT1,-0.03258786056842286,0.007719364241555938,0.04266775181751867,0.03051360417967527,-0.028080090614036272,-0.018172430306701026,0.09255803668266081,0.03611060684033011,-0.05588098219835122,-0.03253560395563903
CTHRC1,-0.02301012161704047,-0.022374765665841068,-0.015495265125085684,0.0007197802946763029,0.0003116851069208565,0.022554378400518514,0.02637879714814541,-0.0066645157520832925,-0.009959932570043059,0.023481246492761926
PODXL,-0.0031007625680195706,0.06970840370610454,-0.0455883780248994,0.0330920589430515,-0.006338840563116962,0.04847640285219528,-0.028543534301413525,0.02377697742516101,-0.02379364844656859,0.04363408394376037
JAM3,0.010427481171685401,-0.02123092037833583,-0.015064261615803319,-0.02018670019878166,-0.081867068145421,0.025221666255803438,0.08596638682917412,0.06572276350185946,-0.043774793820786584,-0.011188712749978975
TGFB2,0.011298959917057101,-0.006638056961000366,0.031422567602921836,0.014958588095961076,-0.03521331567788266,-0.00866334648540072,-0.035557290656208246,-0.016703545880271998,0.07904673452752582,-0.06397243712809475
COL18A1,-0.006025532191567852,-0.010716730959984285,-0.0011932602729660265,0.020615176536302553,-0.07494161788941311,0.03369220585490537,0.07402594221183557,-0.028819658773196203,-0.12695168807658655,0.010212485498489582
NODAL,-0.020101796389481685,-0.014366019686168565,0.011632636953580017,-0.028515712842215823,,-0.019014715607539222,-0.02923812062513887,-0.02389602041785499,-0.02454594900073645,-0.02736629366407684
INHBB,0.08113508759998808,-0.026353874284529434,0.01388299897645175,-0.03636726274429369,-0.01853672092924353,0.012808277762602172,0.06770537530932214,0.027341687344765202,-0.12129978638764516,0.049787325317742374
LCN1,-0.0011161816404204733,,,,,,-0.01676688602699649,-0.022566768832069366,,-0.00026757865795527184
ARF4,0.08785125218074252,-0.02617084113429929,0.037015486557507436,0.04276867812380096,-0.027656422088930887,0.00366531135620308,0.02742739193843314,0.0416222173291355,0.042829821358248574,0.04249610360375415
CXCL14,0.021832789402621372,0.002622197619581449,-0.00040858165167717434,0.016429682822838278,0.11012187984910411,0.0022470224402503015,-0.06903350902418492,-0.014001929238871415,-0.09332333046868542,0.07540628189368333
LIF,0.04130166033916307,-0.01817937380629052,0.03481254237370651,0.03163899655681236,-0.02526102953009111,-0.022906061200392954,-0.04043900896376049,-0.04110666964979987,0.020589084267591096,0.043757879546051225
IL17B,,,,,,,-0.011411078043577688,0.02148557655335319,-0.030537441416178732,0.1070140471382486
MMP1,0.027947648895533878,,,-0.01183963788711962,,,-0.02236002552525473,-0.02607792773672862,-0.022113108995574848,0.07289475789616456
MATN1,0.03137239934076474,,,,,-0.011261552158072754,0.028653328935299465,0.03788742384121141,-0.008151346635829585,0.13171984655397304
ADAM28,0.034326632302727034,0.03870924466807044,-0.02878142123616619,0.06149381264340816,0.027278826432477195,-0.0009493364146730628,0.0629828031306208,0.0006534034510790389,0.005881757286534469,0.017684791599377414
TCN2,0.016564377370792284,-0.0035128264122755277,-0.012665056068917192,-0.054833539669604095,-0.015133135666362539,0.006609624412942182,-0.0030336541635262206,-0.01869714636455609,-0.09233260920571437,0.013123193710544873
THPO,0.025613854679153288,,0.05239150555038991,,-0.004202100594499192,0.04744494356946274,,,-0.027300599204374266,-0.026326546773907535
CUBN,0.041072473616134975,0.012286846381550174,0.004986992783049001,0.018477435462454676,0.008234351816329259,-0.022636844362486745,0.01449501673313043,0.0401581968019498,0.03327760446474296,0.07780507467495881
TIMP3,-0.038306253877129305,-0.0069565991797519745,0.011465894618265726,0.009399061792127532,0.0620712220436741,-0.0012343388179813842,0.0010605926057677343,0.041085807273452034,-0.09084239852962235,-0.022099763673990202
PIGF,-0.027861067054307184,0.017303192465741093,-0.031085920508096575,0.019838015330975255,-0.05915627017093671,0.038511495520710766,0.006023731625830172,0.0280211466741,0.015800147376031855,0.06654897954123115
CRH,0.010507803277465567,-0.018029316825313585,-0.01636818376273535,-0.012031230160001629,-0.02151157445873709,-0.015402904535634414,-0.0341002473105604,-0.024605731786362436,-0.011841451520808578,-0.0016514088022925285
