,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFBP4,0.024391623144705877,0.10583316051243474,0.04671205338721266,0.012010840555192564,0.010304369347437163,0.012222671312360956,0.014382487387688294,0.056810868424581586,0.0934542314563995,0.02411334031551596,-0.01478300662934378,-0.025981150289777797,0.10420289583670371,-0.030203817801066405,0.0046845132511183435,0.05822412645332664,-0.018635547738819837,0.06314492128018667,0.11311870626315004,0.018901476004874098,0.18131757414722957,0.11771244540528622
RSPO4,,-0.03505029634052015,,0.0315350028370729,,0.011680808384738114,-0.0320066575892323,,,-0.025674151308405686,-0.0005278097036895704,0.01085392561490844,,,0.009901470513336843,,,,,0.06131238080736609,0.000146825805193514,0.06285067226169057
LEFTY2,0.018625935750059403,0.047640447793982514,0.017783609169577257,-0.01447188445088894,0.014389807240505802,-0.020089162566238272,0.01927574607715508,0.061518136778569724,0.13315035900617336,0.028276332926278815,-0.019060555722023864,-0.022038489578815365,0.053823678043964214,-0.05890639859591654,,0.006161037453278115,-0.013738162985768384,-0.016763583543794796,0.08960601416512276,-0.03664358020693841,0.11767998932850414,0.12307238878863853
PF4,,,0.04664882766408393,0.0355687067195277,,-0.016731583241294364,,,,,,,,,,,,0.022204967288440118,,,0.08407941977804516,-0.02884918200501931
ANGPTL2,-0.02317007269413903,0.00366231998499356,0.033974133261068386,0.03860939147750894,0.02039244903674235,0.06075442064884349,-0.02007129550021061,0.11937754063144415,0.08387139411228296,0.027990327928056422,-0.03854277768038357,0.06933727834424536,0.051200760545939576,-0.13539679891809783,-0.047191174119298865,0.011316446402197946,0.08439710797486842,0.09264858899441099,-0.018550676866177004,-0.04171869244241909,0.12833541841491386,0.12916905469767662
LRIG2,-0.022204397553539267,-0.10030838792012231,-0.04662334795309167,-0.04529560249479753,-0.04972564687452807,0.006670899490543389,0.006888432948993646,0.08700906776200586,0.012532188777192857,0.0301869600485208,0.0215751784879176,0.06871079999888356,0.03159161483466915,0.006698020950042858,0.004417257326131982,0.06846004983441524,0.09645209947336221,0.08264141177427226,0.07006251176454961,0.025930719660443604,0.015673447397006657,0.08035814822565786
ICOSLG,-0.006047430955539393,0.05563177205878276,-0.024571001008328784,0.0006418867265606138,0.05086032930391856,-0.030068345610783503,0.034960424274934954,0.06280953066598448,-0.043184853444088206,0.018610451382478972,-0.023645392227787315,0.045188031150101116,0.012534451966289904,0.04687025231171566,0.007838994267280292,0.05759866402308249,0.015615271269283942,0.08612936004329018,0.06977239386731678,0.05712833903124773,0.06253976902476634,0.027753497646388268
WIF1,,-0.04014843906925872,-0.011675440303845274,,-0.05655684515391257,,0.049079723346832485,-0.06200049733214908,-0.05424353845794741,-0.005435827627838953,-0.023445956926451548,-0.032653756706759914,,,,,,,,-0.02976983306678922,,-0.013769704292116491
NPPC,0.06545358885286379,0.04755310679532352,-0.011815421902899866,,0.01816174560854531,-0.02595481172318348,-0.04901184141565697,-0.0041006700869133566,-0.003816318869296952,-0.00028609530660503817,0.02336166801902705,0.11081762954283879,-0.022987940262160396,-0.042846272234199304,-0.0022156089131018164,-0.011008863319496761,0.004414352794347867,0.04634101103665445,0.06046347085569285,0.03338099085040933,,-0.0313250501766465
LYZ,0.02097164319216459,0.014402044082254975,0.0189488459761716,-0.01905535186272902,-0.052915822579886855,-0.024145125666591313,-0.05656780403474091,-0.031538613902236314,0.04161544201011372,-0.012570171242610602,0.01596121799775329,0.04269728507566313,0.07265499642784518,-0.02399208529382412,0.05891749724967219,-0.04221481512411539,0.06824234476873545,0.03555948741000945,0.11541245293527923,0.05285334121083986,0.05652022203214909,0.014243400777696789
EREG,,,,,-0.05708340038831188,,-0.00038002172283275386,,,,,,,,,,0.023795791899450962,-0.01689663755665675,,-0.04391974409308173,-0.004369819709246807,0.028393988066376427
SPTAN1,0.0577539763305285,-0.003064618098814282,-0.003825879371405231,0.01622577086068026,-0.008830167251566703,-0.021229625117648445,0.00552411624536148,-0.038674094758854576,-0.010732674847617961,-0.005058327537994226,-0.03330438849492021,-0.029465253461009085,0.005951685954378593,-0.07449588985154121,-0.0016937289684849687,0.025122348386801448,0.014732961874787485,0.03837790612854147,0.013199087328210247,-0.0317702001823875,0.0715308538895526,-0.05550296106373401
PTH2,,,,,,,,,,,,,,,,,,,,0.04808962775895606,,
LIPC,-0.029893728387457946,-0.05793482498674263,-0.03056374808848192,-0.019572364629250293,,-0.030067901208632307,0.06741062388140678,-0.01583038125624252,0.011453934635052933,0.03263420556894704,,-0.01556640301408873,0.006517710941187204,-0.04514819541745535,-0.0771044936015691,0.04476316571311888,,,-0.020494785685665384,,0.07725735555323429,-0.021809103653639052
COL8A1,-0.027420707216247606,0.09781087904559307,0.036283884311308176,-0.015583266219819378,-0.008585906291142361,-0.02318555050550807,-0.036129020184485765,-0.03721336651348508,0.0677966526922289,0.014132664161326351,-0.0019899638868733547,0.050450918124408085,-0.031857435845156386,-0.005679161630749254,0.0033499177115518045,0.017082855481078265,0.03828841672877909,0.04218702996234009,0.06346713728117362,0.0063916869074002285,0.002468919137615445,0.01877415669156172
GSTM2,-0.010497029655591824,0.04463926905471451,0.019453866704494633,-0.028496068505570314,0.025890781983731983,-0.03863334344870692,0.04269440126153862,-0.015751038941574834,0.006661375515707416,-0.030953507991665307,-0.022437998805219156,0.045563283709090394,0.01898423497723608,-0.030362699990476257,0.0400386541830447,0.10725114482278852,0.03620096983595582,0.023226006153569227,0.03822179898653044,-0.022582488069415048,0.033178532015278386,0.08606645830847669
IL4,,,,,,,,,,,,,,0.006968068882834998,,,,,,,,
SPX,0.014978542306268853,-0.03365222723424957,-0.04250985000898901,-0.02159205910392504,,-0.0036400046328511626,0.003147401166234957,-0.02605188660964619,-0.02447719446283977,-0.020622705463197888,-0.020544677765669303,-0.06275763694051764,-0.03047492453280769,,,0.02173799873959379,0.026397231906533626,-0.038656575671574135,-0.055145994381990235,0.01031348278505837,0.0230575665472751,-0.010678283192135929
MFGE8,0.09718866386053565,0.09672045285921523,0.032711932020728404,0.006095381689871776,-0.0231040925596037,-0.01875080324519953,0.03702080908128794,0.0434106179264743,0.07574370673387044,0.04717477184109695,0.09372309478384623,-0.029036381517863617,0.020170491591813267,-0.021713801038277053,0.05233628401765086,0.04572993707036392,-0.03579404001182906,0.010501722497558583,0.05440514444774933,-0.019563260493416328,0.18271901606888957,0.11870466910031609
