,UKF275,ZH1007inf,ZH1019T1,ZH916T1
BMP8B,-0.02920309909792816,0.008960370401884646,-0.0037123946971018957,0.07206898240687418
LIPH,-0.009065562799080747,,,0.015130452182439929
CCL28,-0.013959475332400205,,,-0.01654970359734079
PTPN11,0.03660693187833366,-0.06608382287682336,0.10107798388695227,0.010616174995455474
ADAM12,0.062190813839796515,0.031231769030040386,-0.04959557750946225,-0.017341464511751708
EPO,0.1931595192134351,,-0.034769668755574634,0.03046629917709565
EDN3,0.004048585018728155,,,-0.018436570927130008
CCL22,-0.019097899243024262,,,0.005307394828859587
CCL2,0.023081171574008522,-0.030592466606571805,0.009431358648374303,0.04652199964844445
DSCAM,0.0757660058719111,0.04990730186966902,-0.11477135250427682,0.0932150173623031
ANG,0.003312104534210194,0.045126896879365254,-0.09270300304828794,0.011752052695689933
FBLN2,-0.033189217325229094,-0.029213410365598793,,0.010012511921575457
VTN,-0.015582501247763775,-0.02259346272987003,-0.011511767352942225,0.029503121478665295
VEGFA,0.061349095175869395,0.05625950636175546,0.05309166497323604,0.0037684013804716882
F10,-0.010399904904055344,-0.024507812717655102,-0.04364427183168163,-0.031071355587501546
SERPINA1,-0.009703743633548026,-0.059962601130388656,-0.04041415375819697,0.0042940023984790535
