,UKF266,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1
CD58,-0.060690501354624705,-0.034270260069711726,-0.012839942762761417,0.0010667301612510515,0.06211216565759437,-0.02618866498913009
TNFSF14,,-0.013625871440032529,-0.03295605438034394,,-0.019204152539650302,-0.02026662963732873
CNTN4,0.04721758433558202,0.04912396434327985,0.18435574820908768,0.02647797518352779,0.005872572973112475,0.02966665495056383
INSL3,,,,,-0.021357412737103877,0.08986529908026564
BTLA,,-0.017400703868339907,,,,
MFNG,0.0314660445858789,0.07748621852338926,-0.009126003275041341,0.0012763423000704147,0.06988085816854184,-0.02059692506387237
ICAM1,-0.03821390182715083,0.037421303259478615,-0.09707916641738804,0.037719679494417374,0.06551474954975503,-0.011545747900606165
PROS1,0.02695481493652682,-0.040177742834671716,-0.04839595748323147,-0.008015711398897023,0.024628964486036527,-0.033034920260383814
CLCF1,-0.01691492520629356,0.0057753869124345,-0.00971002895862312,-0.038214844252861105,0.013296577258412658,-0.00137679262300516
PSAP,0.031896771897563,-0.006029320845280544,-0.03696334808220199,0.09218838151395523,0.04887050175445337,-0.05721609123407248
EFEMP1,-0.05774271676065692,-0.01456745345654839,-0.11647384898483996,-0.061600370010431726,0.070003993287557,-0.0294541445098553
C1QTNF1,0.07196666548051363,-0.030238835373506603,-0.01195270024526346,0.03328346225535492,0.03879115457714025,-0.042667761197695456
ALB,-0.01740547792176582,0.05672435406205491,-0.0014204109363880311,-0.01446828751734074,-0.031658917722564725,0.015126354233353926
CCL13,,,,,-0.014255837631866176,-0.0227332342683898
EFNA3,0.040930138257769595,0.11843087094737616,0.11548542407441739,-0.003937525330066218,-0.0344370455818921,0.048611118732787506
DRAXIN,-0.009167720997305144,-0.012426558552644233,-0.031257963650172464,-0.026198441382936193,0.031026428559912073,0.025828900583532006
RAET1L,,0.023363432555229366,,,,0.034599145325762685
NPTX2,0.01566810541988867,0.00739183768409912,-0.023712782098456304,0.0428188306479476,-0.02103553527456353,0.003016289202839901
FGF11,-0.046706309094763115,0.013015377867410548,0.028752175789318494,-0.034729375767946845,0.0043291215997998105,0.005600931545212117
CD59,0.06511428433473097,-0.0007242017914170714,-0.050927689815098695,0.05969843233304904,0.010407645749325742,-0.037462333737834086
COL9A2,0.02245071765470808,0.0270869406658216,-0.09963372507440613,-0.03213243591693304,0.02344528233808399,-0.01605719865701031
DLL3,-0.043442920928368205,0.03876486174911832,0.10733512194864751,0.007405747596053855,0.015726057897724067,-0.033058899492392914
FGF5,,,0.10175956162100842,,,
LIN7C,-0.01844207198657046,-0.031590916146740394,0.024248474765877905,0.011326106387076129,0.05103265241058252,0.03619499056388934
GDF7,0.0941065567680685,-0.013625870910531142,0.2521522711287944,,,-0.01647558535066472
PSPN,0.0019867903745334745,-0.020166949080427786,0.0207122910778495,0.06727448170341103,-0.04225247411205829,-0.05114717376910181
ANGPT1,-0.005173894181124052,-0.019294552159392082,-0.08701029148787315,-0.020336617310203003,0.02849886340626303,0.05347769587924417
PNOC,0.0013004182182240135,0.02215601353351839,0.10629267550522327,0.05425454231248051,,-0.019532479349019943
L1CAM,0.030903855314044753,0.079426332591897,0.17727662764468152,0.13792570923373065,-0.003943418329225422,0.006905130470537244
APOA1,0.018891997258009736,-0.022052163845393997,0.03319836742867336,-0.0032659996484589223,0.08448835705237388,-0.0378350868765293
PSEN1,0.0056570408076195705,-0.07240274704736284,-0.10405177828776115,0.003701320470189841,0.01654770131979329,-0.022511905483588286
CALM2,0.04070479884804424,0.10501739701859322,0.21456409028752174,0.0871051699591184,0.053279005720307034,0.027010350671936325
CLEC2B,0.042462831609344207,-0.02905533306419029,0.024892852891366096,0.0075950470677939984,-0.009944687307846523,-0.02926297096739845
NTNG1,0.0040621666416530075,-0.010587402115066927,0.02148103476514303,0.024892272552580173,-0.023085936223000324,-0.006373283360386037
LRIG1,0.004406153134482019,-0.032204572258984356,-0.06701303731001802,-0.06552256517796755,0.039478023535287635,0.002292641738866647
CPAMD8,-0.0007132165488128816,0.02085884519053314,-0.006960751892249785,0.09419701251780252,,
GHRL,-0.018503410023705216,-0.012426558552644233,-0.024491355040304523,-0.016377294937456828,,-0.017821544312888397
NPY,0.0068706278495575795,0.012802140302296861,0.009129031279851705,0.019531659305036243,0.03021434944001565,0.016882117909615205
MMP2,-0.018026927107040937,0.016837336400357433,-0.011966412708674854,-0.07269939499207453,0.036368326157307396,0.013843922624128388
PPY,,,,,0.0668432374729631,0.0046146509034968326
ALKAL2,-0.03889270140256537,-0.024020304945391813,-0.04471080666113762,-0.004284062602217544,0.009760018466149179,-0.004108084579554647
CSF1,0.06363248363108813,0.0024521889523695523,-0.09317465331626892,-0.04406334119101998,0.01023632148839125,-0.018433082358837255
SEMA4C,0.005020762497849034,-0.03588330355997816,0.005835570673984865,0.010703230196689154,-0.017235239856732486,-0.03429827949045228
ICAM2,0.013797181463940628,-0.019004200959950018,0.020834876508633804,0.003807596311999056,-0.021570216003639932,0.04070967327297178
SYTL3,0.007549492681817278,0.003434984755910005,-0.05406702488132055,-0.04006502091597407,-0.03255999671958318,0.0012777389520741698
IL1A,0.03335797542680434,-0.03502875065670099,-0.05416726893234565,-0.024663357870651843,0.01422694125897544,0.002879940056586163
HLA-G,-0.013428625846582967,,,,-0.03144568112512536,-0.029880844436087243
PGF,0.03667291211537951,0.06544731532875832,-0.0045307735143317075,-0.062218394162417395,-0.0430845394047139,-0.010262455475181655
LGALS8,-0.0025837959486370503,0.041471540251188904,0.08045881569941518,0.03507936286628725,-0.012521805262458743,0.03275883759659004
DKK3,0.005697678165844072,0.10163664497064773,0.19271278720759283,0.11298521476526299,0.03065051573901097,-0.032471264827119026
COL16A1,0.016060083818532273,-0.0020498432647765704,-0.01641090475505961,-0.10351492375295074,0.036691871303493044,0.012481668010502477
TPH1,-0.014229501714184908,,,0.07312032616968515,0.0683835015872651,-0.030708040890002133
TNC,-0.05468380699172859,-0.050138191905516716,-0.1344951334268345,-0.10441593634658397,0.015180733676113316,-0.07327716645105067
TNFSF9,-0.000725260174418902,0.046557955806445124,0.10734621718615746,-0.02620079163646772,0.06820583655843142,0.005901648095231961
C4A,,,0.1558844738663247,-0.013574920783769772,0.01149550993906504,-0.01664934752010749
CNTN2,0.06856662864813216,0.014122881688690619,-0.15691122136003213,-0.011730095162518677,0.062179883185593234,0.021511664970386854
F7,-0.01235836284365063,,,,0.06678473309915622,-0.016475586943813566
LUM,0.028745950174599938,-0.0042594754656549655,-0.04160239495489246,-0.019274421439524236,0.007975550192973883,0.018538254935699727
BTC,,-0.03202316667463792,-0.03220718525241519,,-0.014467024105408056,-0.01594374347931729
APOC1,-0.04191093536284143,-0.03252117747380235,-0.20045688883214324,-0.05781270035668069,-0.04622586380424684,0.011635521547590143
PKM,0.018427984277775273,0.03389187142309695,0.169599496135145,-0.04301105100464496,-0.010367324488993471,-0.005763123864450757
TNF,-0.03036103313743186,0.0932927788152762,-0.06290711494943528,-0.032246570173435365,-0.014041674758846136,
GNAS,-0.00901265730973513,-0.007835648517074316,0.22643758717574566,-0.07365615561536157,-0.03058120362876362,-0.01880577170535578
BMP8B,-0.05667606314724427,-0.012062936299436108,-0.08351991313291267,-0.02787937812559236,0.0214552328474798,-0.007436047686325764
LIPH,,,,,-0.014255842874816469,-0.02616396078184826
CCL28,0.015252606738726329,0.04466320938596643,0.00021442623009274142,-0.012246913132504103,,
PTPN11,0.05930195635720033,-0.0019243335203043283,-0.06646846047948832,-0.018789066847086956,-0.015188407243929851,-0.019653871366862138
ADAM12,0.006022580677254514,-0.013789044625604558,0.022872028035172912,-0.031006981058860714,0.0064956265586258565,-0.05241144018165977
EPO,,,,-0.015442930753870933,0.0123847930094336,0.07691117004064692
EDN3,-0.0177255398303424,-0.052237600784641465,0.06397231632789423,-0.015602278816681171,-0.011426602068748676,-0.008674482312718234
CCL22,,,,,-0.01752252648835621,0.040250363589837856
CCL2,-0.021141278421316925,-0.0399886989270185,-0.13453888564587316,-0.02076487854908812,0.0735773846176423,0.034218144941615215
DSCAM,0.023081624113313562,-0.0245957647052372,0.03506873236442232,-0.060138325117601525,0.012287806716695878,0.03831379735056632
ANG,0.03530957348908319,-0.025965709431272955,-0.01705937415126498,-0.036901210237726655,-0.002512652025679659,0.08166557784683895
FBLN2,0.03777706091452365,-0.04849270350363769,0.032992613649157086,0.048956407689566515,0.03303033143429901,0.02972702208708226
VTN,-0.014229497061125015,-0.019025788243184218,,-0.012832145692006993,-0.017697224887136386,-0.020410598058227238
VEGFA,-0.03506616466143398,0.028896307778487035,0.045280108098170756,-0.06797997361226185,-0.0347253575100935,0.007753529216437002
F10,0.037765705091581794,-0.02866598452175179,-0.03606270876645841,,,-0.02730001899595518
SERPINA1,-0.04916532906552565,-0.05226908630415606,-0.11856740870284196,-0.07209965739055674,0.023798849496513088,0.012439860287545186
VWF,0.05411317359886203,0.010648480467778111,-0.01888945157776373,0.0236375613400285,0.05092148618671558,-0.00893551511231561
GDNF,0.010546198107829268,,,-0.015442929551225016,-0.015223990886114838,-0.022072595341276962
VASP,0.05408942993851964,-0.011509635807693114,-0.06974714542893147,-0.03207773603645163,-0.0019212009149266681,0.03249185353422209
ADAM15,0.04279149624216665,-0.02804259673348557,-0.1073305240088723,-0.030204260983835652,0.04707485622566263,0.022940090629352407
WNT2,-0.02341596483044833,0.0012745266955274332,-0.03717824826665119,-0.014452292455375687,-0.01920414383655017,0.059999163827000414
CALCB,-0.01442311751314778,,-0.024889707273736995,,0.05917422276064,-0.024622058110707407
OLFM2,-0.033864836604106774,0.0077733737260872165,0.014087059325567476,0.0010538074997611174,-0.010293747859342157,0.003023503932975539
MFAP2,0.02703114113358337,-0.025436510360700642,-0.028934727290375262,0.00528077446759205,0.02680037570773432,0.020525456502484007
HLA-C,-0.03254582857854314,-0.05476481256230976,-0.16006621071309074,-0.061512947948338524,0.040190459723849034,-0.0474670536446443
THBS1,0.05342542557796474,-0.02367430862484117,-0.09785021708493843,-0.03464105106648562,0.026330157151875578,-0.027671647636714033
