,UKF296,UKF304,ZH1019T1,ZH8812bulk
ICAM2,0.023946500766362802,0.034444966198043325,0.044648290354552894,-0.0564700760742314
SYTL3,0.029074494195392868,0.13205562631065426,-0.07620970730104776,-0.07576219498757562
IL1A,0.05621600714931048,0.021270116791349703,-0.02559240673225668,0.09715928516958464
HLA-G,,,0.0605288507661245,
PGF,0.008047456425524943,0.08453926096809587,0.01248270059847972,-0.0323347085271866
LGALS8,0.0031938987131486466,-0.0045241008131738135,-0.045182179962503385,-0.011015217490971183
DKK3,-0.025180178211935734,-0.12573166163534305,0.00409890519945622,-0.0571676363661726
COL16A1,0.03713521078057228,0.05407353816980298,-0.08670537217760349,-0.047403268876010284
TPH1,,,-0.05161677569057353,0.06427322496280911
TNC,-0.03374397600062677,0.06698613211784307,-0.03915483176743882,-0.007387338909515795
TNFSF9,-0.018991379660371382,0.02573440847451134,-0.03422573471092755,0.017274676166217657
C4A,,-0.018105472564066825,,-0.03894535538168552
CNTN2,-0.008639961999855941,0.061182023105926214,0.007522322621620977,0.03469299009548604
LUM,-0.024101911367769704,-0.03931472737488333,0.01244094947697506,-0.03418337894231538
BTC,0.0447503592047754,-0.02206562003192615,-0.025960515145574594,-0.03341658470557042
APOC1,0.0005728331962239666,0.09041197941374783,-0.07195124788612747,0.00715471223619761
PKM,-0.050718812384964604,-0.06177063642344907,-0.0056482246780937126,-0.011356124308946702
TNF,0.050227923519577285,0.009699718361671406,0.07568268324151485,
GNAS,-0.01917644285266739,-0.14381473057037727,0.03973346931087975,0.021812799091562116
BMP8B,-0.01103732114425404,0.09550400115148387,0.03420939528547027,-0.023421017729754908
CCL28,-0.013054820300530075,-0.02248980802664492,,0.04716938812983732
PTPN11,-0.011657848204282253,0.011257284029181688,0.022002769430465807,0.06433787538098121
ADAM12,-0.012616672261824195,0.11718049653591832,-0.0004233087115900109,-0.016841390288310863
EPO,,,-0.011548648976803903,
EDN3,0.02452726165304574,-0.026943759140485274,,-0.040733411475987864
CCL22,,,,-0.018031706365502147
CCL2,0.0035064605077215214,0.07566027454262042,0.005818252132604214,0.07281724247259803
DSCAM,-0.011504976946879327,-0.031899076528992404,0.03410730187942349,0.014714397243335123
ANG,0.05810780754145838,0.06505665448290522,0.0018903580337602116,-0.061864019736473694
FBLN2,0.02789224988001605,-0.02650662738525484,,0.010397071424780403
VTN,-0.01740817738318103,,-0.0048816289302899005,
VEGFA,-0.01040239731258549,0.059306891138241453,-0.0529483988630247,0.059135953936879794
F10,0.023623577572853525,-0.024707096342826515,-0.025751728053138027,-0.028911640225447666
SERPINA1,0.012390428155861458,0.0925697213595156,0.07395300131146612,-0.00624113074921237
VWF,-0.012288395863251304,0.06720308517745717,0.03303835398755613,-0.016462860568030927
GDNF,,,-0.04086255939750772,
VASP,-0.016978051761869964,0.060089247305526595,0.017413796146164142,-0.0727891363608153
ADAM15,0.0039848728086704505,0.03296847194895524,0.008275396504884583,0.002509198191183429
WNT2,-0.014811672717861924,-0.0049216266676211495,,
CALCB,,-0.01705230739985154,,
OLFM2,0.07848599779588145,-0.015318583670885596,-0.04881832074023673,0.0409192988562729
MFAP2,-0.00207282924355566,0.03260580124833341,0.03340532289638774,-0.0025889315704608383
HLA-C,0.02591304339227508,0.1090459794851672,0.04705917278153064,-0.019065718984978205
THBS1,0.002167932649018488,0.14361145122057933,0.03654169817014309,-0.0034728382548534914
HSPA4,0.007956238948938685,-0.026214010706455612,0.07352746512586822,-0.0292683815473543
LMAN1,0.008767807153076979,0.03861235583613744,-0.044247741490362875,-0.0008070410917354117
LYPD3,0.051139397469189614,-0.020519469006733345,0.005832380370321889,
APOE,-0.026830919870141287,0.02919182676341147,-0.013511962880320581,-0.013828641954013317
SOSTDC1,0.019698056927319702,-0.07519682172085071,,
ANXA1,0.06481256907296862,0.1500816423267325,-0.0014411232535854624,0.06352222342804628
WNT2B,0.025082834115593367,-0.00868039382479592,-0.07361392718473278,0.04620844603135254
AMH,-0.014683569351384644,,-0.01917537061273562,0.12660157333637084
GDF10,0.01168594816758267,-0.050717598522858405,0.18041334471129433,0.05931909439339958
EFNB3,-0.05717016279314528,-0.08997930349980911,0.04347916018397295,-0.03786644258024329
LTB,-0.02946655498876386,-0.005139723938982154,0.01774583054542756,-0.005351939940708038
ANGPT2,0.049494615127569704,0.0009023515231507723,-0.000997041597432762,0.023971503056004043
NRTN,,,,0.05763972408245696
