,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IL15,-0.03030229464969958,-0.01598033860113836,0.03898452738053206,,0.030360311812733486,-0.04269668814331199,0.15471890714642555,-0.03644688355834253,-0.013049558467100368,-0.014458999742543882,-0.01171789474755472,-0.03159124506916586,0.02918777205969811,-0.01558146503072358,0.02076990672966539,0.008350942609118393,-0.009900522721823294,0.04375873288146042,0.018696515919414618,0.06519421104598327
UTS2,,,,,,0.06929023160822127,,,,,0.0867461524355169,0.00259765517204965,,,0.04034361945520998,,,,,
BSG,0.20319341550770123,0.05142901311708014,0.048150976218457216,0.00912911887110623,0.043462235433439605,0.004009294976954693,0.03262456212184945,-0.04238681855282178,-0.07560189066436811,0.02892776110247154,-0.07982918317281432,0.15430549902077736,-0.043799710062957305,0.1360761162680405,0.024778252086963486,-0.034508686864399535,-0.004989586811546145,-0.06584267176717958,-0.013357836904855577,0.09068732328729949
ADAMTS3,0.051865519989836996,0.09092911854166616,-0.008368125331066286,,-0.016482106186194577,0.12868305886943468,0.013668368788209673,0.028665506638704638,0.08707940014010435,-0.024026191040658614,0.07990779456692759,-0.10809698100882634,,-0.024898953485709825,0.07074984145647358,0.06713403533778303,-0.0015113459103878817,0.06917166866877845,-0.023327391524247724,0.06133150058255266
CD34,-0.039794987891487804,0.08511186325922229,-0.03045955928891274,-0.024203229821273497,0.01608837499620189,0.11312915933841072,0.007732635462289891,-0.01638977674320135,0.15024391940280277,0.010036927092660896,0.11072161082766416,-0.03655239586519813,0.036999853652942824,0.15072003597813652,-0.06631762444009211,0.06612905089105317,0.0011704781388695864,0.04096827067114334,0.23772986861690237,0.03082977336124469
CCL23,,,,,,0.08641201058838746,,,,,0.18833384104352413,,,,,,,,,
PLAT,0.0696703903804025,0.11356388334474053,0.02293667817251758,-0.021503068399955107,0.01040585282706206,0.12906587167303857,0.03484190490111764,0.004073327346572979,0.01439996332984719,-0.0007087726652040728,0.06080074549195371,-0.015706298055747452,0.13267750660843436,0.04209297488553562,0.033210766547065125,0.13317072020848184,0.06551792865821905,-0.025152943856802282,0.09150639430394716,0.004295350972425834
NTF3,,,,,,,,,0.056713244180626426,,,,,,-0.014320054589885852,0.15434064748999463,,0.09043611754726068,,
LTA,,,-0.02069498539498958,,0.003473034051884841,,0.01102249241454197,,,0.031461258974441395,,,,,,,,,0.048864712335917174,
CKLF,0.08692606567619933,0.05816473158840202,-0.006911812017947407,-0.07646059283250434,-0.008540548827574343,0.11478584103773613,0.04635206423383084,0.04953933880564485,0.08229911388595706,0.020403511444985846,0.090406072496326,0.0007161086017279457,0.07061451953048462,-0.012351486975525587,0.013165706870037186,0.024810537827689123,0.02180733327315642,-0.03265220187535244,-0.10088329670950309,0.09633960502696907
APELA,,,,,,,,,-0.03981260192186355,,,,,,,,,,,
