,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
SORBS1,0.006536160424334566,-0.010204192082040656,-0.01941122269413061,-0.04174385178342636,-0.008685016931311944,0.0023123990669809908,-0.043754492194271834,-0.00496746580187564,0.018323590933860708,-0.0035282240385925575,-0.028202673562286937,0.021932604720372218,0.032284516990198076
DLL1,0.013608825846127503,0.035273382461337835,0.011676438013038646,-0.01321857488985005,-0.03603370409420207,0.07650829379862559,0.04787221301947648,0.03939535313214947,0.024726945580599798,0.10531497313527505,0.043313245730002635,0.06425973451809068,-0.03026498115893431
TLN1,-0.06852811273488545,-0.04162380596309054,0.027722360943016583,-0.02870334674248515,-0.047136691138922424,0.12553695475484272,-0.009067496501504924,-0.040422276100172856,0.0005353216862448401,-0.021098222395922083,-0.002781531695881434,0.043351397553832084,-0.0018044161261178975
COL2A1,-0.023246348838263094,0.015771466453534316,,,-0.011497893573899541,0.03977220355407659,,,0.051694277420822325,-0.005801963009633181,-0.026564979755798794,0.014117925648407482,-0.01963158367737445
SHH,,,,0.048425227936900996,-0.029147938135424767,0.12159295283287247,0.0515504335491539,0.03680981069976074,-0.033025955099230536,0.058268282036001214,0.05396931919031909,0.03167371490348655,-0.0020177716789243592
PON2,0.06819598793363531,0.02553890927120149,0.045181737382519384,-0.05263098764338466,0.001553549910484926,0.10429492632547165,0.031604946700901,-0.053497768142614546,0.09115729561254843,0.08380601065952037,-0.01532231344878213,0.04346332845849019,0.06772210652332089
ICAM5,-0.0541685619915101,-0.05345160374097494,0.07839460237349134,-0.015495657268046758,0.05730984425091362,-0.03134198257452193,0.026727104467529513,-0.012645359701052227,0.009776234206710996,0.0181681577289102,0.07162738384185188,-0.013436363340245621,-0.028869114275652627
HPX,0.027308989997332108,-0.004558709283687672,,0.006760758092069257,-0.03261865715635542,-0.024881322706961743,0.008270659406676555,-0.010074170784213105,-0.01382465934955515,0.03122588959391177,-0.011834378253693987,0.058116324457917014,0.04020639772728405
SFRP2,-0.0302654010867235,-0.026366813032498514,,0.04007844455599077,,0.11630152339045872,-0.01651211980932301,-0.028328065502192724,0.004941969535961864,0.072687134917801,0.04598618601566446,0.024375692836768645,0.019548251694179213
CFC1,,,,,,,-0.012705502824057613,,,,,,-0.0192806854075779
CD70,,-0.02593123329659401,,0.07525864291787128,,,-0.023700211373032985,,0.13808285166567474,-0.02543115008840369,-0.03189415024243208,0.05319693331158238,-0.012111773561537616
HP,0.051486937001831455,-0.024722988584307957,,0.01752913170389458,-0.016281492117382647,0.0628450592688648,-0.02490432889269048,-0.03388432866282684,0.03330275661090357,0.03537684494050104,-0.026107802692748566,-0.029684071473043885,-0.00022545285468901594
CXCL2,-0.07674743242019794,0.025622485518939052,0.0017751060561888377,0.03413759668426694,-0.05950026068907696,0.03636230727073238,0.05244469082209142,-0.014000630310194204,0.07376977185463696,-0.05840858497026447,-0.015525571824917622,0.021158488838549573,0.009133354972081566
