,UKF248,UKF269,UKF296,ZH8811Bbulk,ZH916bulk
MMP2,0.012155213853124673,0.08051281973078428,-0.035049283194355255,0.027467541544730936,-0.01862799468379044
PPY,0.013016200989434694,,,0.02964596256149418,0.04224627280956307
ALKAL2,0.03578724152697899,0.18212162384658742,-0.027149387365972763,-0.026775891389867256,0.01856220462490652
CSF1,-0.04914743438432996,0.07299981115734068,-0.02247517397687989,0.018238065453160212,0.05317500235994119
SEMA4C,-0.058054684767497575,0.03106925686064022,-0.03696580746639076,0.041106984355858585,0.03990464763955542
ICAM2,0.013188112039127535,0.07142745894360394,-0.01474243909079605,0.07599775953981813,-0.0250476784022686
SYTL3,0.02147059943018042,0.032670902559239684,0.08787918202393094,-0.020560435983340918,0.11182641519311926
IL1A,-0.03176926377914102,0.02662192192647571,-0.018928528711409903,0.00037511445622390925,0.03429637291374768
HLA-G,-0.019206605253504944,,,-0.002083914523813467,
PGF,-0.019609572191932646,0.06362384818938738,-0.01846295938590408,0.06486213728287857,0.008098764304877699
LGALS8,0.013480413699347518,0.01991913496406118,0.05686534166352508,0.017468287466126754,-0.022662598910669393
DKK3,0.0705709573673532,-0.03987622922429251,-0.043434998760553505,0.02601517161368881,-0.08174343151959092
COL16A1,0.05277283961468322,0.045173781572037275,-0.017248746682686847,0.0675530291925302,0.0328899512251558
TPH1,-0.014102526091081835,-0.014135983807437946,,-0.01805401067589385,0.031458004934347326
TNC,-0.04222533285323083,0.0919274953856971,0.006456846720611509,-0.023089511955302493,-0.01067169495682434
TNFSF9,0.0031405308986548457,-0.03191063718149134,-0.017055156192465237,0.05802983704840992,-0.04723272020786277
CNTN2,0.022216013419174015,-0.02819712623921713,-0.00950121124206991,0.000689942255451955,-0.007933329631996701
F7,-0.013758077061263602,-0.011891485052353665,,,0.000821273281347043
LUM,0.00246457740168928,0.0805844442559431,0.02307158118848595,0.09249308734635422,-0.023209977222717854
BTC,-0.012481856852328648,,-0.010689712705559464,0.006153372737684137,0.1871011109961261
APOC1,-0.009659899585647648,0.13298654668665508,-0.056390871411382514,0.058442062086295564,-0.010898342981585124
PKM,-0.03379930875382771,0.0596066371804683,-0.011986087420984705,-0.011827784986806662,0.04377046637580574
TNF,-0.03210399941895362,0.09096824059196963,-0.014927995921569213,0.07453102821499293,0.017406924122875783
GNAS,0.003319577095576039,-0.04698569543873232,-0.03861055373862531,-0.03422491316399491,-0.08427795786986793
BMP8B,-0.016498659591024933,0.01433854443207759,0.01883620073248643,-0.006367348530040794,0.017460997150740558
LIPH,-0.014102522619150171,,,-0.019943716255535034,0.07500711596118147
CCL28,-0.019836952317053257,,-0.01172384541154249,,-0.03746682657330773
PTPN11,0.036724681712515805,0.03284124971517551,-0.013677047262541339,0.006486937421472382,-0.01706553583321736
ADAM12,-0.009643306724982953,0.06618570967562833,-0.011330367772256279,0.047481401484779626,0.05908712267176052
EPO,-0.018949205164026588,,,0.0183398175112881,
EDN3,-0.024565925962375487,-0.021070033508010323,0.05665739380694986,0.015513723521996146,0.0006764124485208913
CCL22,,,,-0.01894178510268759,
CCL2,-0.04353812798751076,0.015236284820371085,-0.01899505860204104,0.015821918733708706,0.059526837974754034
DSCAM,-0.018703563634551418,0.010914184117227112,0.09367148261674234,0.03252686160845226,0.0009179692328067217
GPHA2,-0.015717978045278483,,,,
ANG,-0.04295530669578197,0.0954594174016502,0.08733638902131469,-0.01886265301712364,0.08399809770642917
FBLN2,0.04043292811082636,-0.03951691351283107,0.0028558580794445956,0.058634660648645254,0.044367727918191595
VTN,-0.013687176175448835,-0.020045164168168633,-0.01563336574834644,0.04132647685121762,0.08883960922945587
VEGFA,-0.009401220518273736,0.021817474793601237,0.0087172468640785,-0.10278368639707569,0.029347823640295756
F10,,-0.0193358082882125,-0.010716862958654089,-0.02487571174808903,0.11040640431076822
SERPINA1,0.0009967029306148134,0.11129560554389223,0.03726112330399309,0.016068437331261544,-0.04919900881806219
VWF,0.030496568544261183,0.05169607941008048,0.026738419750736493,0.023775294520777503,-0.016279196383389698
GDNF,0.10351100361831685,,,0.03978478589303924,
VASP,-0.022899148635002153,0.09739149135079268,0.029227938582954475,0.013942774047042297,-0.04859704998741243
ADAM15,0.03559375456020405,0.037096134295239704,0.008409989996312872,0.05445172596145207,0.06291810598942801
WNT2,-0.024668918921483204,-0.005406382283762582,-0.013301581885698095,0.07675048534970912,0.07008489518600305
CALCB,,-0.013145077739382073,,0.00811979859337406,-0.025116916171067833
OLFM2,-0.004354159313319013,-0.013437573034602666,0.05050351196058539,0.03347237538064805,0.037524262555676036
MFAP2,-0.046271058090380124,0.023785065161365165,-0.028186102762138426,0.05942897525811213,-0.0053748750955033165
HLA-C,0.019839001263598766,0.1248197898366661,0.027411264182277045,0.041331259887927005,-0.05890089172089163
THBS1,-0.025631049746868556,0.05009415799192123,0.06361879466903989,0.04243856367612441,-0.0016670788106460373
HSPA4,-0.04374516163769374,0.004237531959533941,-0.014038143048846968,-0.003621903753311619,-0.013351142880091768
LMAN1,0.004016052711824543,0.06006603496304628,0.031859048130558995,0.001230627842575411,-0.04771916630032791
LYPD3,-0.0215139491245472,0.05442570835174071,-0.015534393588916943,-0.005069920863843866,0.06271037168587355
APOE,0.05580544340487546,0.04996962149854244,-0.014322810516441948,0.05678981993023427,-0.0361706471707159
SOSTDC1,-0.020386075486640037,0.004897701427160382,-0.02397352593312948,0.025727283725154926,0.06719409007623361
ANXA1,-0.03654715811504194,0.10609507094807931,0.06378073766082448,-0.0003146830960864309,0.05796783126823234
WNT2B,-0.01627367080946556,0.015266741814649789,-0.022071096581644235,0.08048349608520755,0.0480625327247038
