,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
FGF2,0.03362296336990989,0.024591296893667822,-0.01449330188333717,-0.006089062071258308,-0.06787089505423857,-0.03763959971079291,-0.0005151247067458613,0.022445801625058635,0.042028666134535625,0.05613161244193438,0.00134337082460929,-0.001547466773366779,0.028358989637477135,-0.007846772121048898,0.05624876826180855,0.0015787317372047253,-0.0011609358988783208
GDF9,-0.02005463078223825,-0.04423981898199273,-0.024601011728302487,0.01982108698990817,-0.04377973553945548,-0.02439989299795978,0.05326663803085826,,0.03734206128230618,-0.04694436488211631,0.01347660752479191,0.00677057051212683,0.08976854925974011,-0.031224845214627612,0.030946199784662218,-0.03791817454873587,-0.048145983825257
CSF1,-0.01399006794956605,0.021482588009793198,-0.0457808676708642,-0.06004733966227333,-0.057654186955033375,-0.06170855385402312,0.008698093347894294,0.010665004070832521,0.04127123519721868,0.04665526421563567,0.0511423168938449,0.038346161976549296,0.0011722051075877516,0.04474396870571396,0.04518323632323498,-0.005554906185951069,0.022901617357171163
GZMB,-0.01986354168976631,0.009573705647838084,-0.013196372796037971,-0.01345436265494112,0.023872373207830113,-0.02647574112158919,-0.020644838207009134,0.00021642454099064356,,,,0.03004366789866355,-0.016209611770999995,,0.0058310531148483315,0.17638987552358695,0.019483757261902202
WNT11,,-0.021123579302027407,,-0.018699924110085992,,,0.04107018966649423,,,,,0.0013865429442795393,-0.025592819395559456,,0.012970696849788254,0.06083348078384216,-0.030130299318637702
GDNF,,0.022672386655834185,,0.02827605439122299,,-0.019842018911446265,,,-0.017077203177890205,,,0.026971132284579525,0.013509537512434049,,0.005287195743694591,,
FASLG,-0.016985066048207285,,,,,,,,,,,,,,,0.0706036714161803,
SHBG,-0.0190818793672981,-0.019089378737084137,-0.02182933410975308,0.0037113030950338835,-0.02276295519369844,-0.014236770843830671,-0.031908464845100404,0.028583064661811222,-0.023302676995231177,-0.03753554180495702,-0.019416420920160698,0.015331499229035867,0.0008884044624550123,-0.038041089283687705,-0.011046504191828583,0.07387699356258273,0.040670010750368205
EFNA5,-0.0067488461264098715,-0.04886373178876583,-0.02550691295918433,-0.015229281329016428,0.056791623077221125,0.10916411382350887,0.027897816365049306,0.041206896503886974,-0.014017828940481222,0.031857979320085675,0.0045819098874273455,0.027466088851485555,-0.021266235522296187,-0.0018488212638624172,-0.021295187746032833,-0.007410817483628166,0.01215673819764583
THBS1,0.022757673530394287,0.06968002583955228,-0.014221375520341039,-0.02345091420648891,0.007937833014589871,0.006650286929775166,-0.0012153482071645943,0.08542541001752064,0.043670055823100656,0.011903528879524903,-0.02892847682049178,-0.012698180560166698,0.013727058333355928,0.06609355858136931,0.06645054467531705,0.07218729559820723,-0.09278280099650174
