,UKF243,ZH1019T1,ZH916T1
CDH1,,0.010993339382634294,-0.00172530208809429
LPL,0.05677681561660881,0.050626244875736776,0.10791711218294686
SEMA5A,0.002350457126340911,0.09584704590006027,0.04301707357690818
SEMA7A,-0.05306903731716276,0.0933450541197232,0.00891930182054483
SEMA4G,-0.0350717881376696,-0.007201099882964236,-0.014863614464593054
SEMA3B,0.022345629572843848,0.026744701834538604,0.08324988786154074
RPH3A,0.06836620682468436,,-0.010911146722513202
JAG2,-0.05185587027125478,0.07118912202681563,-0.05318724643431742
CGN,-0.04690714424878462,0.11367776419505489,0.1264360289510268
GDF15,0.02668746028804527,-0.012847200195782657,0.06694230198827676
SEMA4F,0.006215024098304523,-0.09195768584264458,0.02354341384822271
NXPH1,-0.035480590346454,0.0519977331743424,0.18274176133391576
ARF1,-0.006122085308164613,-0.03819398969727138,-0.07055188042115382
DSC3,,,-0.015054293330975983
EBI3,0.025996787161735476,-0.020560518693256195,0.06837811087526963
TIMP1,0.024307633061921474,0.08587071206955485,-0.13348304724104368
SEMA3C,-0.04280748906165739,0.03783900277529988,-0.03948729260105453
GNRH2,,,0.008704057158050239
GAS6,0.016371066910331696,-0.05167930039729704,0.00676196435137795
MEPE,-0.02421760100938,,-0.020802652717232632
SERPINE1,-0.06399971928446192,-0.027186217044371526,-0.11815237594697081
RSPO2,0.005503321811193026,,0.040654829891137015
SHBG,0.03581739920448677,-0.006873553859670861,-0.03156218290918635
LGALS3BP,-0.061494266826007754,0.09094601584104779,-0.037196409862501535
LAMB1,0.048920372980394006,0.07795265205228452,-0.09862754764588641
SPTBN2,0.0071270696738847065,-0.0483245304013552,0.04661668745825437
COL1A2,0.039826160094453326,0.08671536062577653,-0.1240304319116615
DEFB1,,,0.021769812278962273
WNT11,,,-0.01997893186808793
LGALS1,-0.007380182684203468,0.06324123049395602,-0.11943303074359356
BCAN,0.087258494355931,0.024224490839482058,0.12331539711739047
ANOS1,0.02757148421906823,0.06395727431784205,0.13748480584808637
EDA,-0.0361004418065767,-0.03242504064690642,0.0012435087681316778
FGF22,-0.036697202013156835,,0.11673430511516153
SHANK1,,,0.020860933799519952
RAET1G,,,-0.01877107827526119
TGFB1,0.01696622944120606,0.06311949251393156,-0.06038222734278474
MSTN,0.016451639860539925,-0.011514209199050907,-0.02424658381648087
WNT4,-0.026646534645489304,,0.01637214269510634
TNFSF4,0.00275801228282964,-0.00031391951618673844,0.00742747591071247
NTN1,0.08128811374702039,0.0711718532305477,0.08997151030380388
CXCL12,0.023552654248482408,0.045594713191787255,-0.04088782643859114
GNRH1,0.04771861138147038,0.011199099896414409,-0.00498311843339538
RIMS1,-0.04176440321291366,-0.07778646903604018,-0.032462773997713044
FGF14,-0.012234313358287313,-0.04604051332433894,-0.00794391857992987
IGF1,0.005891769186416007,-0.04854123838252639,0.022908661653702665
TNFSF10,0.02747414063821814,0.031685801513510456,0.044405290016259515
GDF5,0.04483677099009388,,0.015239617093316329
RGMA,0.074526595244151,0.030989924438420496,0.11810219763679376
WNT16,-0.022133064063485523,,-0.02357686443625493
CX3CL1,-0.030493315060560078,-0.006077840568151337,0.024665386951839317
FGF1,0.0651045330303146,-0.018456399866904824,0.06484103044879129
ALOX5AP,-0.018851661004055865,0.026944812715443595,0.01771348263428901
IL1RN,-0.02741269971250717,-0.06459854164571434,-0.02938251888184204
NPW,-0.058244479007315816,-0.059157225842992725,-0.0165806606167773
CXCL9,-0.0004403535301714569,-0.05987843623574361,-0.052153884955730284
ANGPTL4,-0.058947054979423506,-0.008661408077964531,-0.06774842808225931
OBP2A,,,-0.01690990648318157
COL4A3,-0.03689440258339857,,-0.02735353476161695
NRG3,-0.0374810919411324,-0.03209550450591703,0.0028699941248790687
IL23A,-0.014939182974409718,-0.013262405489282626,0.25570983080618326
COLQ,0.12452569184195672,0.05429435630544173,0.0844254162787948
TNFSF12,-0.06784161537382404,0.026934998982661048,-0.0081259712300027
DKK2,0.024361610346082238,,-0.02670086596071239
FYN,0.04244432816206905,0.010942626118256252,0.11488147582053582
ACE,0.013887409954150382,0.0590030907638468,-0.08592932006527161
IL18,0.006909554111433341,0.08023947451841255,0.08038558319293304
CCL27,-0.04241377513648832,0.05631900950266922,0.03591072881160146
SERPING1,-0.010655451972897748,-0.037941407470563446,-0.022317113781388474
AZGP1,-0.029808036260079968,,-0.002326528774536578
INHA,0.012021634590695154,0.0041985379879738,0.016552003582511066
SEMA3G,0.002953308641759798,-0.0279602693353802,-0.021263225135212394
COL6A1,-0.043521565170243415,0.0450082584738598,-0.12434800864091881
FGF17,-0.024498136201824887,,0.034555378962722906
TNFSF8,-0.018522537569372017,,0.04142263996222685
FGF20,,-0.03885467545189197,0.12686370139127304
ICAM3,-0.0017149514798815463,-0.0013231609168747895,0.0053273309413876474
LAMA4,0.023931337642153352,0.06725073177233791,-0.05733672229008146
INHBE,-0.029133674177337497,,
DLL4,-0.009806877238374576,-0.06828421125576725,0.006285779336743882
SEMA3A,0.0047175308345552185,,0.10360728820806601
RLN2,,,-0.018592694900473185
C5,0.018869785081378786,-0.009315095951513405,0.06369147722025933
COMP,,,0.10455396775292143
EDN2,-0.02505067238875354,,
C1QA,-0.0028699057974343515,0.07420007059144125,-0.024570093396874496
UTS2B,0.06573598571381653,-0.03689071447561574,-0.01981047969750516
COL9A3,0.12345919538601129,0.10706802474965879,0.0754881330313303
HGF,-0.02587091742863271,-0.05042168526676133,0.05850691984764372
P4HB,0.015545574102158432,0.05208354010534456,-0.12456870370377933
ADCYAP1,,-0.04210232363402295,0.031166094821808918
GREM1,-0.019918693653755915,0.004402210486287664,-0.056776341931461485
EGF,-0.005550261518307325,-0.015233103012705043,0.10194929428586429
VEGFB,-0.0008532659792494269,0.004373042792532327,0.03670545721217748
FARP2,-0.03572344502648145,0.009584128723586672,0.07781705329433147
LAMA2,0.038599985761417835,-0.06595897930465205,-0.0743441375575679
NRG1,-0.03446884370872292,0.049506344483522244,0.08240070095732001
SPINK1,-0.04674215458142464,,-0.02591745900197639
EFEMP2,0.037693126766290504,-0.049668096531019064,-0.05645569217639247
SELPLG,-0.003149653354608528,-0.012841760296032364,0.0020260529501633364
GDF6,-0.023357757164620498,,
HLA-E,-0.0227001654009904,0.04791036360540282,-0.029793357189159937
PTN,0.06857231821715389,0.06489193845131759,0.0830015465930778
CD274,0.06893841361439278,0.008193539300619238,0.005129532984661597
CD14,-0.014418293645406798,0.10317790023702866,0.0406276974701232
SFTPD,-0.0253228953293798,-0.03260930212862686,-0.02340573390578067
SLIT1,-0.017059676822400022,-0.06681881835200035,0.09200003153391335
BST1,0.022748132965681792,-0.006846316178877783,0.05346375415881351
AGTRAP,-0.05132037568979587,0.10257871495156701,0.02863462010370317
LAMC1,0.015966937519665186,-0.012378473086509119,-0.0755488118759105
COL6A3,-0.009709740366801264,-0.02843631594597368,-0.1087390618740069
FN1,-0.050085462140701344,0.11868280028630286,-0.1660170652005291
MIF,-0.018806795856654752,-0.05804947708943145,0.013206583190190588
JAG1,0.13575269510891666,0.09291077717527098,-0.11554673819142224
NID2,0.11909220674971334,0.11954073012852323,-0.08004214337882119
EFNB1,-0.05669663526547453,-0.019166032107264662,0.004917826330080393
COL4A2,0.036692525431157065,0.05279593360735118,-0.14042276824215746
SPP1,-0.034926451541210095,-0.09727741154831444,-0.06910376905650222
PODXL2,-0.04207426523259224,0.008328752816290594,0.0683814011942678
FGF9,-0.041405363254002514,,0.08364228942526628
ITIH2,0.10512186115224151,0.06359813789528343,0.050022926600737976
ADAM10,0.07351955965493166,0.028058611776425522,-0.005351811875843682
CFH,-0.03160819659543614,0.12647268981804244,-0.0026240339338173763
COL4A5,0.06398672170294929,0.05376776777383248,0.0815052464047418
LTBP3,0.005681404598556598,-0.05092336397155536,-0.07011518494345756
GNB3,-0.005255097500957242,0.02444300120176066,0.10452393984828096
COL6A2,-0.07371972925072186,0.09811183164961565,-0.13224835842474347
GDF9,-0.04591136687650227,-0.01697870778385537,0.006182595747539775
NCAM1,-0.01894568911919713,0.025662012463226715,0.08047225577226402
APOC2,-0.03173661429796119,-0.07712331885662391,0.04652870972750342
BST2,0.003936670155512291,0.09251762916593397,0.016795634024771623
COL5A1,-0.03167483768563687,-0.010662968287071424,-0.11479148805072888
CALM3,0.05549549042156227,0.13284317373229862,0.011205933359490989
THBS2,0.037873348733878605,-0.025799432482125045,-0.00655286710040376
SERPINE2,-0.0055513805647711386,-0.06133158215004938,0.041748423783502984
EFNB2,-0.06762274914735414,-0.05465042065074251,0.0025678830955234186
MMP9,-0.024498131701854324,0.05556284870788584,-0.13640230365084216
