,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
PI3,,-0.040346189004640376,-0.0030079127937583635,,0.000943089288117765,0.042446182937204195,-0.04273831450098294,,0.04035564556782618,,,,0.03987750631730398,,-0.018867787549094676,-0.07479022051269561,-0.013824983264183206,-0.04855176702563634,-0.038934179190902765
PCSK1N,0.04585877933151261,-0.07225670129195787,-0.1065914496172848,-0.016240842271017863,0.0478963945673306,0.005578430663569618,0.00023523841033905885,-0.051897215806488504,-0.010983718082519717,-0.005547165920393863,0.030437016007621262,-0.031291620471259766,-0.042043004569371496,0.08285464505152511,-0.005612425621634205,-0.05903357412389284,0.02312325080055759,0.042337461252811875,0.026475428207280216
NTS,,,,,,,0.010701590625059126,-0.012887209234470726,-0.0312012232656323,-0.01428816046604815,-0.03630072038616746,,,,0.055915828536557396,-0.020936417328100317,0.004420539849115554,-0.03309228726257541,
SFRP1,-0.02435254029323739,-0.0035076763035449296,-0.03501601974235947,0.0025555409951844555,,-0.011823618300238307,-0.015894204679642917,0.11551154232029093,-0.051412876722373456,-0.013559880448952306,-0.013093587270197006,-0.00889976543520688,-0.031493574362422644,0.2236256520483892,-0.06279320374862224,0.05832449841217235,-0.010198569667007077,-0.032323306343979535,0.10816433349832284
CXCL13,,,,0.016195219542639118,-0.01795968039811053,,-0.015751359815792072,,,,,,,,-0.029465003100808202,-0.04415264917468709,-0.04597010722728906,,0.15692871552585716
MICA,0.05099555493985779,0.06995175434144978,0.00011525232052935253,-0.042524487815373255,-0.01787542728692255,0.00422391545142143,-0.026084129110300485,-0.027353524308068398,0.04508426289250234,-0.03634314384614692,-0.027964265661519733,-0.00423526022171671,0.046183459911292725,-0.025882788791567572,0.015515542861406398,0.05164635561811428,0.044421438635192885,0.04127748690506007,-0.0012278637203617896
TG,-0.01938331846791179,0.05156391683481623,-0.006280758878436428,0.004161290255529175,,0.11065744022052666,0.02682265063272789,-0.014875236696009524,0.01901027944304665,0.0051117541253579805,0.020712311611810627,-0.0323689534574498,-0.05409975819244201,-0.05474098758314379,-0.01743011966729819,0.0063564567263991,0.04449236798701741,-0.006345312500734486,0.029246377197499052
ADA,0.026026331064978547,0.035941252236104684,-0.00018483391209360916,0.03145059924008014,-0.04880264256224332,0.03253546958913186,-0.030667903060269678,0.020665846155091077,0.04973313879112818,0.019080894690617307,-0.015389416016178662,0.030015043517121445,-0.05213616297842527,0.09095824790491135,-0.04364295586122375,0.012990320880815458,0.007377631049714416,-0.0034896561025881245,0.09336755398880128
LAMC3,-0.0031052616464779647,-0.03266879686797667,-0.029104152223036462,-0.028728177174160065,0.061466340518532205,-0.015184899414280324,0.015591038819890513,0.004034022784878666,0.07061262095178397,0.01998948885978076,-0.004314821959274957,0.04500588382045079,-0.09966529106521026,-0.10234381777434944,0.002449078147902231,0.01572354844139899,-0.007287032656071107,0.008035198451312757,0.09376696655122382
CCL7,,,0.02336304884321703,,,-0.01900701173113613,-0.02088339498774408,,,,,,,,-0.019660381568817897,,,-0.023417084701379303,-0.02319936327155602
NGF,,-0.025239419053970195,-0.004833362070820973,,,0.016622391375285473,-0.022290850577962894,0.06423814932491619,,,,,,0.0051846670955482295,0.09168975521484586,-0.01695380703205204,-0.008720929037881383,0.009983075362962947,-0.00531473555888637
TNFSF15,,0.00609498675993806,,,,-0.021165237183655563,-0.015461994782741423,0.0037502933569994756,,,,-0.02983598112267137,,-0.04950913387916274,0.06996967303400231,,-0.017500310016281436,0.058549806008452575,0.11314502124824674
HMGB1,-0.010889869591864266,-0.048395277288598035,-0.10610675407567789,0.05528919770704,0.06513335383314639,-0.02248619204050876,-0.03389739329990655,0.03319587417715931,0.07253955889031272,-0.03409983087529356,-0.023105649870813556,-0.02944443628467092,-0.03395110842286081,-0.040364128850403684,-0.008255429842329196,0.02302221459812079,0.020613471501603843,0.04757231871278303,-0.037244348823237475
ITGB3BP,0.001408126413961385,0.00804946663215319,0.037051765111227236,0.01884137735107479,-0.021546677699982735,0.04960475286974747,0.01376235002986366,0.06376137366435271,0.07635537095681415,-0.03722166941013756,-0.03266118692551264,-0.005970483950222546,0.06932670155227218,-0.010713370967442013,0.046716449271138084,-0.035879050996422385,-0.03499133318098676,-0.02614344132357117,0.03231475743894349
AANAT,,0.05896822401263376,-0.024532622732382353,,,0.011728147661577868,-0.013932182015528247,,0.047337726054010903,-0.019326125009679198,-0.010922874342590013,,0.13389064877357862,,0.15682419175607032,-0.005888452470354997,,-0.024776252157498357,-0.018983008272571215
RELN,-0.016069284903390536,0.03735920932387249,-0.0010523348161416302,0.0022393542594273254,-0.027854061244960756,0.009541422436395833,-0.041942426057553675,-0.018936274384513875,-0.06718980025989675,-0.03611304508600319,0.06200753995381983,,,-0.06572657612210397,,,-0.021138477950331403,,0.016033015673768553
IL15,0.056656724395153235,-0.0305651381335552,0.07893342812256479,-0.0049763155592593596,,0.021024752337146613,0.015307508758349936,-0.0122642965299165,0.008033883305930238,-0.0066500601630554235,-0.023476836602176292,-0.050929664586606874,0.09669997152559215,0.15021417137182844,-0.01680434672940948,-0.031158103081160626,0.002841022978063058,0.02067484704838411,0.030710166876724038
UTS2,,,,,,,,,0.06570359009704954,,,0.05491075040265307,0.022896012698522927,,-0.014687680660969682,,,,
BSG,0.07392950601451426,0.02660471471954991,-0.05946506068907441,0.002012099167074199,-0.0176364119041745,0.08346994251465491,6.872965126415504e-05,0.02954989431416017,-0.010976094253022187,0.004791997505969455,0.04580309599467707,0.0184192569257915,-0.03151682603011625,-0.022572931840452344,0.055823500156546656,0.04401904496244389,-0.00838613248446902,0.06087834179924157,0.051693256953829765
ADAMTS3,-0.027781579981240884,-0.022547702051209068,-0.019553171262242267,-0.02838576534156871,,0.05579038838155416,0.0016256917680421436,-0.01975423380313521,0.10071251585012429,0.0006862975326842536,-0.015153737741551045,0.07274207372928067,-0.08436661986822305,,-0.040912544936020624,-0.02384929627293231,-0.04160064152358063,0.010035428802263907,0.03109354019498253
CD34,0.08217605139425777,-0.035022786024472875,-0.05512814530909361,-0.014159449550710431,0.012930521890304369,0.006483782296967717,0.007300009242248693,0.005335348862378049,0.09853977567015254,0.003327795373983024,-0.006214991255084974,0.06862394487806381,-0.07277979790982234,-0.09292315840193804,0.020915948316468678,0.037607854275981054,0.02145962830682108,0.054038468075804265,0.10706206907126084
CCL23,,,,,,,,,0.12180187514477926,,,0.0774945627693897,,,,,,,
PLAT,0.06386675693579787,0.05052557573558622,-0.08546089945097374,0.013302072672107538,0.04621448363661947,-0.06589874120887086,-0.0024090527798935743,0.027155036264528004,0.14634330273317545,0.019537699934069733,0.016198557181289996,0.05330833378391894,-0.07598548087978522,-0.07358339747568263,0.05369643687230717,0.03598188490937933,0.049999510737123505,-0.017999368791697685,0.021363658153385225
NTF3,,,,,,,,,,,-0.01763212489001546,,,,-0.017917946512133652,0.07709583867432764,0.07235871807169746,,
LTA,,,,-0.011880546213344782,,-0.012440122005995742,,,,0.03950767773897519,,,,,,,,-0.03334510153317945,
CKLF,-0.021622259104852486,-0.016663015367094205,-0.0005531162925736212,0.015467193897399416,0.03428946050589272,0.030913567653173907,-0.009606001441419359,0.052696332997671784,0.10949949287700711,0.0355953132446026,0.033347014375210884,0.09212961024658804,-0.0369636805284172,-0.07920744905073591,0.047517596561681634,0.058692084510343176,-0.027952908353063792,0.008850026509026955,-0.032836587842091446
CD24,0.02998733587406974,-0.056989206959158586,0.01674952772114496,-0.020379193952072036,0.02116885861739166,-0.017810189621719333,-0.010710474449373893,0.0605376332823249,0.06271654626084638,-0.044422011966424986,-0.03336735515788072,0.027481083225865243,-0.02477954020838744,0.0188493985963006,-0.0129814115348355,0.029889446449942004,0.023738448880093077,-0.044672562171689856,0.09103010449257065
HSP90AA1,-0.03769339346529614,0.016027284637281713,0.058872349234102415,0.01950089396619948,-0.09419184971044932,-0.005288147371665614,-0.0790870475946329,-0.034743841819787256,-0.10774962225345801,-0.019183478707641883,0.036904216611038584,-0.0034810102375088647,0.04528389942785836,0.06802268985301997,-0.04560413569417968,-0.09450813713705254,0.008655318855424895,0.0007308102665961291,-0.01432953273026193
BMP4,-0.01994824868420641,-0.05462427672023347,0.03013445905805743,-0.012594075423832134,0.034993516588945325,-0.017853706652139235,0.044868442444471926,0.10362022584458899,0.042007777559035876,0.022086276357249898,0.010557122207008858,0.07275882601894298,-0.04630459103873521,-0.017383138872908762,0.06615966163383197,-0.017886709494768078,0.00915192883139529,0.09718259326492355,-0.02253589513379817
SCGB3A1,,,-0.016909161149835983,,0.05128846389434916,,0.07115174412994546,-0.015655591430632946,,,-0.009213551341216698,0.030777403370185703,-0.002807767810727501,-0.0472093177467718,-0.029923931888104542,0.08276683975813229,0.009300510863970607,-0.005473573516945289,-0.038146465177541014
IGFBP4,0.002167282261230658,-0.024824020355456666,-0.03521142099501756,0.013662935912725332,0.010959847742936317,0.005767768774695432,-0.07195648046611987,0.013749041732764302,0.09542560667618558,0.030960822986054938,0.041847322963150364,-0.00031034912958557005,-0.037049520143132154,0.009240326342818279,-0.04693569501592841,-0.036139680075183665,-0.004805462243564979,0.015058481127957712,0.07538780236493042
RSPO4,,0.17164765304628912,,-0.0020502275499137126,,-0.006027957968118405,0.020152314677750947,,,-0.021648136431036646,-0.009213549993526391,,,-0.043166019379464605,,,-0.024475209115593463,0.025054837291191873,-0.02393682149761592
LEFTY2,-0.019191670202714155,0.030479490189217986,-0.04315052316700256,-0.012026457396779123,0.056768044444589515,0.040791954035855935,-0.02972267099856238,0.06348113522127209,0.14660926262536766,0.019884668526143217,-0.010102770252093966,0.043310731717509855,-0.0913018746313687,,0.11397931149143413,0.02153842577833827,0.036541047982311274,-0.016735146773890062,0.07183250362112593
PF4,,,-0.01754054037556028,-0.01080697151615368,,0.07104369213101945,,,,,,,,,,-0.015751058639078608,,-0.008863846248208084,-0.0187510667366814
ANGPTL2,-0.02166044487921025,-0.008499247896077646,-0.03144715980388579,0.021009783057185566,0.030931308915205614,0.010494728789709386,0.04961182149950653,0.06194042622333548,0.10904255147151937,-0.01943711747712682,0.0038569551433968734,0.07563851177159035,-0.16747477394674518,-0.05911181988149526,0.007723722648071977,0.014642484664043578,0.06902001587875062,0.02806550986972884,0.05186967871884194
LRIG2,0.028901647402294103,0.07415545160166345,0.004486892708650432,0.007564614845141179,-0.00495719843605523,-0.03816368607777637,0.07113478877080097,0.04147174125021448,0.005232278362622475,-0.015300352627569683,-0.03993142743638981,0.004477361819095238,0.021387279221845305,0.005116704299491633,0.009977062526642976,0.022058214971857393,-0.03420382827125532,0.020131945100908193,0.007977343801043365
ICOSLG,0.022588432284034433,0.12017843873428095,-0.022180181257285724,-0.031403314053480694,-0.02377825669415439,0.026650040809564405,0.0179069599365687,0.042988305445593684,0.03021602475738002,0.023005280540390333,-0.01748559733186293,-0.0007494583550084175,0.0341106897787617,-0.05604636438116867,-0.0008928591350328509,0.0325525470066653,0.00889180661749981,0.026800512592647832,-0.006847796762446796
WIF1,,-0.022413510373269385,-0.009208674309585592,,0.033058394106349254,,0.0130952889454681,-0.028506928740133327,-0.07627864202154745,-0.016705354132943176,0.050146976463337684,,,,,,-0.022752077588350683,,-0.034407806832614816
NPPC,-0.025176930510219197,-0.020230932963369908,-0.03858276075371854,,-0.03316866995936781,0.05637250933095305,-0.033404475350025296,-0.03003519681495541,-0.01635982890260137,0.0011106084847396017,-0.01280457973963656,-0.024874597312878027,0.04853331256615016,-0.031826673596264746,-0.014732990317603108,0.02763106310517549,0.011487953712850605,,0.010145115578584406
LYZ,-0.04225727999973689,-0.017696483384902584,0.05505106974894999,-0.060581238448259786,-0.012422902118556851,-0.0008285191554632662,-0.06866856058044651,0.02700577033522178,0.07889839263378767,0.0035014650743728976,-0.012253013267348222,0.097929946349188,0.09687435963127104,0.027327378771059778,0.024104446134066718,0.01053365958415621,-0.026613001237066062,-0.033562643139013026,0.03494538065221827
EREG,,,,,-0.03333936886897579,,-0.026947606192951952,,,,,,,,-0.039907049269143846,-0.00037662364464429864,-0.030484285607222356,0.0668219713316522,-0.02158803249473521
SPTAN1,0.07219884737459004,-0.005593291904192207,-0.0920469871147919,0.04574912061541513,0.023211615512174495,-0.01812114752657216,0.029617243982736567,-0.012319046040718845,0.010443863676874809,-0.05722179778432391,-0.03422040735335627,-0.04540451306888373,-0.11238412255485823,0.039909810526711054,0.03546094070786571,0.006095926656570896,0.012123132168953749,0.01894293998712922,0.024654625309095065
PTH2,,,,,,,,,,,,,,,,,-0.020313297950893264,,
LIPC,-0.024816450016364587,0.035105407938663014,-0.021474231859369718,-0.016265069705794027,,0.03798606285816521,-0.01853967250768305,-0.019018779188197128,0.04635179259852341,0.04504212916367525,,-0.026376964184020975,-0.04565026707667842,0.0034148513514299554,,,,0.026158324621121637,0.038560442086061686
COL8A1,0.024361975577401725,0.012973221600994478,0.015185995814573253,-0.02731898389601146,0.00360614981298748,-0.06813133286295754,-0.02332186940696441,0.057840701954378355,0.06900868545368366,0.008180736122413003,-0.03741299382752883,0.1506002518325902,-0.13863825938360042,-0.012559970172866678,0.10041979094517435,0.05208945945268645,-0.04140414449490549,0.015227932159452614,0.11955924957389844
GSTM2,0.08311857677302038,0.1305199094735386,-0.05028601474544268,-0.023680865820960167,-0.04115666452778955,-0.002968182316204642,-0.037540031273711576,-0.010371114135598058,0.019491168271697588,-0.029406978882050728,0.005839728615500447,0.02381180587467847,-0.04152926137470259,0.0731461942705026,0.011602361918275586,-0.014946243178316098,0.03334193122485188,0.060815399091540684,0.024957014946026444
