,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
GRN,0.024466819889992292,0.05251597872223814,-0.003060923914710749,-0.0034482448258657972,-0.009932237547481461,-0.007377596953435961,-0.034354642291100995,0.05365162009398828,0.033012293111026415,0.08281433823108726,-0.0023959530980209435,-0.004731689820541432,-0.008309102382461355,0.04320139896662529,0.010866945133472541,-0.0345449782411497,-0.02899732589544524,-0.0721518038539386,0.0030284329257339467,0.0329455356626798,-0.06555143332093578
MIA,-0.03837462508963557,-0.03307813069767883,0.028013831464598998,0.01020473423622498,0.012137394666315601,-0.018586423529937075,-0.013333403649447823,,-0.023045664083159008,-0.02022412048087085,0.13439384532950702,0.08170615665309656,0.05393118987091143,0.03497077599569023,0.13010206016523265,0.1726468686484697,0.007917760657989773,-0.024358546500673563,0.051675541887238066,0.011749175795251683,
COL4A4,0.15126798894162963,0.01574747937809772,0.05369643480707182,-0.03960453368676348,-0.014470624315848696,-0.015201825105098968,-0.02239905776065567,,,-0.019618147163080645,,,0.019985985389211838,-0.024870162559168185,0.02331504822119687,-0.05092921699003302,-0.006044603827968117,-0.018540125216182028,-0.03872884145412981,0.060883282435349524,
TAC1,-0.04353572237578787,-0.01951097731651052,0.04145630283314637,0.12863506831255928,0.01136813141118695,-0.018744768979874187,-0.006044103719391422,-0.053714472199182746,,0.008153775306683642,,,,,,,,0.1315774745767302,-0.007349944766187252,-0.0621102657514357,0.006960280669779706
RARRES2,0.006035195103541413,0.0070952146578863885,-0.004311348794896581,-0.0747374561467972,-0.006670081884435397,0.07230999714756184,0.02474378633583635,0.038975836815175836,-0.0016998613107451358,0.015358769592196357,-0.05910292339667762,0.038076213723609934,-0.00304271793406319,0.04961522670535943,0.06216135132402195,0.02451012640101581,-0.07041743886760185,-0.03000968837208766,0.03829503270676021,-0.014649413755671364,0.03869976968392487
FGF7,0.133917094246578,,-0.005788234231314377,0.012288855039860918,-0.022524199291322235,-0.018222481815096846,0.03322814989779588,-0.04139182615856769,-0.037024676202778876,0.041015015348059514,0.049304611555390114,-0.07890371805758027,-0.0007066709185132037,-0.01364902947592162,0.03332704528180285,-0.003260334493926788,0.05531224419554306,0.00960364210418619,0.03833907168681998,0.031216134532186326,-0.07451159702550397
EFNA2,,,,,,,,,,,,,,,,0.025972857836771914,,,,,
HBEGF,0.024474068596263786,0.0317764416671221,0.027161737100812346,0.009011689981236382,0.10756215189080655,0.04871399402390555,0.01034693574766026,0.009881939727382154,0.00323386837342578,-0.01046532837565093,0.0014752752705685112,0.05368594943087667,-0.06345665329010589,0.1548636362129728,0.04104414828623999,0.04873616733209023,0.04841913848269848,-0.026195137656722652,0.0036644640043812272,0.06901756014604017,0.037638406383439744
CSF3,-0.03476119594795405,,-0.027968823993190846,0.005243052456319436,,,,,-0.02552914415023176,,,,,,-0.006564837707854999,0.03197246129606159,,-0.03580493382488754,0.0012424136531277122,0.132080617498333,
PI3,0.061362721995184916,0.05071070123295013,0.0005247826275853339,-0.04457866412511659,,,,,,,,0.021987466502740447,,,-0.04414312418755765,-0.04595602715137067,-0.019907884015154396,-0.02395848276888228,-0.04325883271624669,-0.04362976360765185,
