,MGH258,UKF259,UKF275,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
LAMC2,,-0.003299304205116259,-0.01220872920984473,0.049024725360969114,,0.0481207118688712,-0.01804196715077049,-0.01895084692860198,-0.012420914611446841,0.03104679176105141
IL10,-0.021587528990275256,-0.028942438801146757,-0.019672762071474646,0.04464898567172147,0.020122879622953376,0.027097264124724327,0.04992059156715309,-0.018279911802675033,-0.004044289096680812,0.05619333996953669
SEMA4D,-0.028840317442985153,-0.0036139267752141684,-0.04734350224729139,0.0450489904822451,0.0038470702486584282,0.08244501198207865,-0.03401748645181078,-0.007630339471271554,0.01460089180299769,0.06341913851022084
TRH,-0.01908306523604914,-0.027321319031415343,-0.02174792912749533,,-0.06711841804891829,,0.012088769553508927,0.04909749544539024,0.04804662735611739,-0.016190493165127228
SEMA6D,0.014769022330584755,0.013520405376523744,0.00013897174872673021,-0.019845194025653438,-0.0199664255311444,-0.04598477050152912,-0.023194362130424008,0.01840421703529995,-0.07951861943642466,-0.0342706555581653
CEL,,,,,,0.14483724688113214,0.12189401093377053,-0.03694116467869105,-0.006705841768592596,0.02969683711189628
PDCD1LG2,-0.028494214749767297,-0.025293754722525215,0.012893988855412652,0.030755145246992802,0.05277761504892956,0.04271162440384525,-0.017775051686389487,0.036049488162960205,0.021970142807972555,0.056969403293529376
SPINT1,-0.028248667959134124,0.054966163335005785,-0.008178684276607028,-0.0022845210023952458,0.008949511552164426,0.017738964358148156,-0.003949516277587548,0.0034551238115617076,-0.020772298161881867,0.041625332320181445
CTHRC1,0.023955080136281403,0.05787211135619861,0.051077877313424086,-0.07647503604558395,0.07434750388810969,-0.03662717517188427,0.011714875661422519,-0.017382969812787457,-0.0025638542292718007,0.051585944998190844
PODXL,-0.004739287557750485,-0.06282029601278084,-0.0008554813155587684,0.017368658312802248,-0.018729627027555016,0.11736839568242607,0.000977082629074837,-0.0006746181618582673,0.017539782778485512,0.00566524171781945
JAM3,-0.030195013517992638,-0.0017538225719198886,0.017115561446474113,0.026233531170501204,-0.046497593472106406,-0.04953604614390848,0.02671333558528458,0.08072538017148477,0.036508082277052725,0.04766498608273943
TGFB2,0.006588560527794161,0.033933398424848334,0.004970141818421364,0.07327814449194534,0.037903638697590156,0.009028052374311958,0.014531192184624744,0.023926008375066928,0.009099378546448954,-0.024334941595499877
COL18A1,0.02935528498024232,0.018934482756986722,0.032794137243239804,0.037149170706845945,0.02349253852017955,0.06348605918655709,0.028428094177583085,0.012343583998164449,0.06480480801015247,0.02838357312708013
NODAL,-0.030190389572878083,-0.02269860241691665,,,0.049972838658695694,-0.03327511885714616,-0.021938139227496704,0.06342104355863921,-0.014204247444002874,-0.003765202377366346
INHBB,-0.04576195172973082,-0.02838711234262809,0.016457694440300038,0.014720690148763657,0.02680387035796974,0.007134748163287182,-0.0119914753248813,-0.012529542942351639,0.016843848833834305,-0.04364635016526041
LCN1,,,,,-0.010196649469095329,,-0.0233347570934813,,,-0.016372707918813525
ARF4,0.026153782293790947,-0.03838168037781655,0.022395515333255095,0.04805485393633149,0.029839348633702634,-0.022407901536512807,-0.012071957044995345,0.020905414032571852,0.011786248555874837,0.038250176144588095
CXCL14,-0.05028730960413662,-0.015158900955672891,0.034273393776897844,-0.012025335386612528,-0.027997433783370065,0.10811986199507082,-0.00029462990473121646,0.09593697698841355,0.09804636197235667,-0.05188845776174615
LIF,-0.025775265406852228,-0.0062709605638793485,-0.018783777561705975,0.06075547203394462,0.06681076579916892,0.07533917378221977,-0.08233882317371963,0.06190033570415846,0.02303913985140086,-0.02385566832165939
IL17B,,,,0.011054317068415583,0.058591169996793306,0.0057829875867103815,-0.020306175407319535,,-0.017671403707761723,-0.027655794582514423
MMP1,,,,-0.0859174514026093,0.09429100481845602,,-0.03208217626564574,,-0.012796411820130773,0.03351131364933464
MATN1,,,0.10077211711537658,-0.014727074189781588,,-0.045411589753895386,0.029546507005338316,-0.019169697495690204,-0.01821227863533342,-0.01969109939186247
ADAM28,-0.06232911527511244,0.019923925203400642,-0.02625578613709686,0.0696338278051666,-0.05096888347560612,0.05432080588967969,0.032099668072568435,0.033974909193159576,0.01405784509859358,0.059448944342772155
TCN2,0.05948034807959479,-0.021118207541257462,0.04135266597986739,0.0643316496803833,0.047316161665225495,0.08220565502357283,0.06696183427600197,0.012158263789610147,-0.018947222759624897,0.04779818989769905
THPO,,-0.023382481856863445,0.07853779924506654,,,0.0425446020585189,,,-0.015798308163063705,-0.021316291570276178
CUBN,-0.047384290237127,-0.008249903748435962,-0.003959054057002897,0.019265345661332662,-0.010906849925239851,0.03910724722185099,0.011749664772523786,0.002276111400403297,0.10184867187894266,0.09522094677404176
