,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
SPX,0.19178949992193559,0.014839241204129409,0.0019209792055490367,0.2427356373981136,0.06200892466728603,0.162816775050994,0.11319617257783024,-0.05321349859011716,0.10720502981088054,0.2478425286080293,0.0540311988142368,0.08508572752326002,-0.014613783060582525,-0.06216801187876688,-0.017483486177888002,-0.03681216657819069
MFGE8,-0.155588611522445,-0.020362735433004465,-0.018972464026282432,0.06510034476452332,-0.1018613925147913,-0.08950828042277494,-0.07281364992414391,0.013283548983942092,0.1056555098420986,-0.06756408263229872,-0.0636875073848278,-0.04288276730638382,-0.09541505511237146,0.01845125910942167,-0.050067810893183684,0.14443378181360153
TGFA,-0.1993355267565931,0.04014940291956527,-0.007594020801329464,-0.11775554856245728,-0.06603583993529916,-0.15498273214409986,-0.10518751580447061,-0.015072343093794002,-0.1629541871614106,-0.12909301577130994,0.03860715066674248,0.10751673177957888,0.06524287668974953,-0.0747113757052029,-0.040014964200644675,-0.08572151772672965
SLIT2,0.3881964980043233,0.0676081367450065,-0.02214301715762671,0.10101313748602324,0.12939328325820143,0.15935567608956316,0.07574983132498811,-0.0049097877054193415,0.2826779701371293,0.2385600675627593,0.10244104586688954,0.0816320628775143,0.035414832658560165,-0.06653163759067336,-0.019517701518099173,0.29820834877365116
PLTP,-0.05493894904460055,-0.006551036058178864,-0.05951561397483098,-0.11999787603578876,-0.14681187936059642,-0.33967085381421663,0.0400319980536341,-0.11698048740662903,-0.4215015397720216,-0.06165565883677602,-0.07442401734782289,-0.06455372458985323,-0.10853484071341833,-0.052336670864230356,-0.044457457535020777,-0.13093286407418447
APOD,0.17269211099212056,0.010998331433867413,0.04869148543966924,-0.06580769258081004,-0.10948854659004564,-0.30257413207324296,0.0722993633024591,-0.07806219285919273,-0.28815523211599176,0.13413091323548182,0.18942557874170685,0.2807684462386766,-0.09817520702540239,-0.03219840427096472,0.07747452552594807,-0.20007405901561626
B2M,0.05047552436127133,0.017547331635688074,-0.0037705278564856832,-0.12657801267836735,-0.3145328789737781,-0.42329511266750636,0.03328819755720001,-0.14035880251180102,-0.49463637391191645,-0.2943859033303394,-0.0003677020124539786,0.07481416605599711,-0.14300714694598682,0.13524268365056133,0.1029873567797581,-0.20706965457293597
OMG,0.25414249883686174,0.028810746521597895,0.017584266857461235,0.15085864612403718,0.08093948992656459,-0.0242412939517172,0.14422186307514634,0.06935424334359962,-0.043150468378152805,0.1813294444647605,0.16089967455403287,0.2866541138293908,0.05168626389257525,-0.08571283848087877,0.22288902024548457,-0.07644717630315727
CXCL3,-0.10299603643113359,-0.02273635717507156,0.007111096241088496,-0.133892002364144,,-0.023790486427875124,-0.06480270773547911,-0.04074480624163667,-0.02528632768115094,0.023506929799566298,-0.06699369400277679,-0.18213715643097844,-0.03870247178065604,0.010962547877990942,-0.0941210886750689,
CXCL10,0.022054790759176858,0.04945711281354364,-0.0066317097502148195,-0.009422194225171824,0.0072697530508647416,-0.2937943596977447,-0.027875170400092814,0.012538132562224387,-0.05089860141489458,-0.042763157076422684,0.04733220811455513,-0.011589438441258175,0.008775198021694637,,0.015747673270088254,
RSPO3,,-0.03687014392571023,0.09525549517986355,0.1991502624103244,0.09378202075369535,0.08207435213330092,0.05992248861684221,0.02736708789285767,0.18347208885618266,0.08657326930351933,0.07872029392684889,0.12665688983117182,0.03583045222074213,0.046533977119411866,0.12524440036306206,0.22448769104990757
