,UKF248,UKF260,UKF266,UKF269,UKF275,ZH916T1,ZH916bulk
C1QTNF1,-0.014576097955986399,-0.06661221749665801,0.033272233762618154,-0.10932566789609433,-0.046192401522248544,-0.04453150978009936,-0.049809005918035464
ALB,-0.008747593206906957,-0.032748793548622784,-0.04052337701138067,-0.03674260741286029,-0.0042070104143027386,0.04304521347944797,-0.02687651703164359
EFNA3,-0.028553128586666872,-0.022709098302429804,0.1347046816949514,0.263447984818792,0.02702605031597269,-0.08328140472324978,0.0217023012309976
DRAXIN,0.03137192263759864,-0.023188397524436112,-0.020391134282619894,-0.12070543236830845,-0.06465585005095263,0.006873919133457242,0.06329859075320236
RAET1L,-0.015951076908734308,,,,,,
NPTX2,0.014813326560600307,0.19752652411822058,0.07606245373275138,0.27536089650897255,0.16401557592709864,-0.0075875124837668124,-0.026171954098217987
FGF11,0.023546303644820823,-0.05644435645786947,-0.038817039041745785,-0.174101761157878,-0.07082039859519068,-0.08501847231364083,-0.03009303022392173
CD59,0.035559644295018275,0.0810321066743232,0.06383271392916105,0.1719512116885425,0.05497602258115116,0.003466062550558957,0.0038191849721785176
COL9A2,0.036313934962348714,0.020380281182644573,0.009916365887432159,-0.07108332021182925,0.008172514775866915,0.03431309226655899,0.03643139799243176
DLL3,-0.02842438312325788,0.07151303265756263,-0.04302035629017597,-0.0551190006034892,0.011079967718232938,0.006758338948518096,0.04503126924469332
FGF5,,,,0.010079483862919347,,0.03981352546913611,-0.03208695074032165
LIN7C,-0.009097474128736939,0.060104805460618166,-0.005746675609403787,-0.061497473765849936,-0.08104879288111756,-0.004342890240147462,-0.02875612377340737
GDF7,0.011461615563526888,,-0.031195518034418737,-0.03537348025914298,0.03772932763658082,0.035911222206550075,-0.029018042797320145
PSPN,0.045329021972830646,0.030449757445944838,-0.029464976793090486,-0.07292188888084171,-0.012287359569824064,0.08237484838348116,0.03854665680278353
ANGPT1,0.01382632659951501,-0.014398037390309287,-0.02207912282201029,-0.13963249483566886,0.06631286158220094,0.04749102097378991,0.024292944841883813
PNOC,-0.03024499549677428,0.1948200043858301,0.08242023610266008,0.21904020390233436,0.09940627468914824,0.08940060542153856,0.0793815369737528
L1CAM,-0.021017461679776365,0.058026522173876396,0.10541782380495274,0.21052132825269756,0.12044634196705477,0.08034124051471461,0.05983619820618006
APOA1,-0.03822531429445258,-0.02956791539724979,-0.05440592864138644,-0.000348249092271745,-0.031248953682326393,0.0050862751344808365,-0.009261128284993803
PSEN1,0.05618599245804648,0.0489954482761027,-0.007700712670079148,-0.04452895324674055,-0.011910116606207983,-0.01120146130741181,-0.031375445048879014
CALM2,-0.0013194977791930595,0.12695913768607323,0.08323134158379612,0.2574773742886397,0.12799730705849438,-0.03767833281169768,0.10101506666649468
CLEC2B,-0.0003091333976603682,-0.042292370735016675,0.021578541520626996,-0.14436912212513076,0.03961457275772693,0.026512501702454037,-0.1058760551231877
NTNG1,0.037204141342812455,0.030949560223988076,0.04988498331367519,0.044834722729795884,-0.03205505252300575,-0.03147514053635263,-0.07193677851362332
LRIG1,0.05891780122826746,-0.1202717190964982,-0.07032856164231797,-0.22240743236853128,-0.05329421394704591,-0.0393386451878799,0.015717781634196817
CPAMD8,-0.032047362859101584,0.004324746689140525,0.02722987232049816,0.04799405693714357,-0.01645405946478232,0.050906777352831854,-0.020575967235102518
GHRL,-0.03451628421701157,0.01161655332172903,0.0666683803167544,0.017411523681504334,-0.00012036696235010647,-0.0037541350392543364,-0.018137929211588143
NPY,-0.003113681548931979,0.1032298271155118,0.03471786541928396,0.19995235639104406,0.04523944622546799,-0.027584974039815385,0.05648322655309548
MMP2,-0.032775721669596435,0.04540161760625976,-0.06546886884572004,-0.21252200590891704,-0.017739767901280006,0.02812526578338331,0.04460778630961889
PPY,-0.013531679901223162,,,,0.03828246500603412,-0.04370275948786658,-0.036833503302325786
ALKAL2,0.006361800063552601,,0.04507315296744183,-0.01658670139726984,0.023133374898919028,-0.01958643672374383,-0.052324144068737206
CSF1,0.06299856630480428,-0.10832295207972527,-0.08695501427059348,-0.1606543836628005,0.015714664852087275,-0.05685488008563256,-0.01901745359140587
SEMA4C,0.04999286359113932,0.061474998807301534,0.0020302674399968034,-0.05216750551138832,0.018236658286791708,0.029108979533554062,-0.032791690255602
BMP8A,,,,,,-0.019607121563723438,
ICAM2,0.0033301931459943147,0.04009312000212824,-0.006926872379111538,-0.06590679322189272,-0.013011243277595981,0.02110640445421038,0.010495894170388934
SYTL3,0.040246311465798774,-0.04588465199767476,0.06702827721299114,-0.1128808037993773,-0.0530105238678281,0.04752507213278183,-0.0651766866074326
IL1A,-0.0054574019096274105,-0.05657450132769762,-0.05788492052897741,-0.06627935457159934,-0.04086238894910141,0.022132286971451972,0.0004267921423150163
HLA-G,0.0032175263859856077,,0.006093918943614324,,,,
PGF,-0.0017122436669371958,-0.06919340826378396,0.04263448808885426,-0.15773275737800801,0.015329861520950033,0.038395257327580486,-0.03946474375756863
LGALS8,-0.032608448931903636,0.0631094889241025,0.052227636235338104,-0.07723837877135846,0.029359459296842614,0.007206721488642385,0.021817349886831705
DKK3,0.0035856133291340816,0.1632541099845272,0.07328305630186545,0.2780901015168019,0.06565156229598386,0.02314447704592945,0.11526273793721165
