,UKF248,UKF259
NUCB2,0.007748082317252954,0.014559270993296515
CXCL1,0.015855455341416073,-0.006259241413421661
VCAN,0.04926908764653448,-0.00678405124684056
MMP7,-0.04077013954162395,0.00576744063053218
PTPN6,-0.01725962568259188,0.00488122449840261
PTGS2,0.0006133309677305202,0.016305649462174845
XCL1,-0.016308798195955012,0.0008236095813553343
CD58,-0.02208889583977813,0.0344632807561191
TNFSF14,0.004480883766559856,0.024807487857374078
CNTN4,0.008629630139814305,0.06637171473782473
NTF4,,-0.014063662650872345
INSL3,-0.01460967324767268,-0.020019954626094603
BTLA,,0.06597996542884545
MFNG,-0.04435980792083972,0.007438944308516973
ICAM1,0.0014559005387938153,-0.014025818039224938
PROS1,0.0982951636239994,-0.04090835085416215
CLCF1,-0.053317789400350306,0.041135066285872886
PSAP,-0.030726372948885472,-0.02644145776000448
EFEMP1,0.015393730346319752,0.007428067360049428
C1QTNF1,0.014965843143323896,-0.0431149020133282
ALB,0.04132555563733061,0.030248339430689167
EFNA3,0.0005296600919877622,0.05357380397447252
DRAXIN,0.0022943542606183335,0.02235172196662727
RAET1L,-0.01138107734743244,
NPTX2,-0.01719167437705635,0.04079185610592609
FGF11,-0.021047576945091552,0.0092513733142082
CD59,0.002691584048944953,-0.07206637848068191
COL9A2,0.040218077573324164,0.017316307648228897
DLL3,-0.02612560164517694,-0.014866113758884887
LIN7C,0.041156955100383946,-0.009829153297807782
GDF7,0.02658524722960392,0.07897724288694258
PSPN,0.030078692682551204,0.11035878042370388
ANGPT1,0.036742751148820446,0.06308472371602539
PNOC,0.04953318827447856,-3.3941880930530013e-06
L1CAM,0.014230543649978302,-0.0016485704866975206
APOA1,-0.019134200125344534,-0.017228972825119915
PSEN1,0.0033362112033971498,0.01918012864953949
CALM2,0.005932392198135035,-0.0050739240546875085
CLEC2B,0.006403862340566077,0.0031062961675452556
NTNG1,-0.012191226414690406,0.004075494568915947
LRIG1,0.019539843573472875,-0.059819013352760346
CPAMD8,-0.02286576120017026,-0.009442689653637162
GHRL,0.04221851938284271,0.045210354334740036
NPY,0.01003633030653265,-0.03039130753227505
MMP2,-0.01614459100677311,0.007430136801636408
LHB,,-0.020457485841047014
PPY,-0.019190745494704915,0.06049177523763748
ALKAL2,-0.021343422816555987,0.046521167618159186
CSF1,0.02234950426525078,0.038787968359171275
SEMA4C,0.04641805329953788,-0.05151445794758586
ICAM2,-0.013726851346963652,-0.0017495691440930952
SYTL3,0.051290720370032114,-0.000884544016025209
IL1A,-0.01627834686161704,-0.017854516806707313
HLA-G,-0.017512760441602555,0.02319761348102468
PGF,-0.016126208809581672,0.00022428253007576826
LGALS8,0.03550311550891466,0.034417031241099946
DKK3,0.02928925808859387,-0.016920517795808353
COL16A1,0.0834640623052036,-0.04834430467898224
TPH1,0.039605806969987216,0.0057318719098571206
TNC,0.024849502491459632,0.05843468753403745
TNFSF9,-0.022865758826329425,-0.006540568107703519
C4A,,-0.015024637669874871
CNTN2,0.08672420322388953,0.011000901850928231
F7,-0.012544742005724733,
LUM,-0.030781890922678284,-0.04499576570707903
BTC,0.10788058720612331,-0.014313594109454469
APOC1,-0.018978678875434325,0.03385334491907399
PKM,0.019494261240769997,0.031448538132185865
TNF,-0.0292727238166611,-0.029122189890737688
GNAS,-0.004970483326261332,-0.03176321351083533
BMP8B,0.01892034251903389,-0.004738722535360099
LIPH,-0.012858810653506246,0.07633402074258262
CCL28,0.01886352240729587,
PTPN11,-0.010167573542850026,-0.03470796367186048
ADAM12,-0.0014660656071257207,-0.03635192531929396
EPO,-0.017278060657586386,0.10946868826951096
EDN3,-0.0223994386684611,0.019705759238483507
CCL2,-0.01428060149579612,-0.04148638082837772
DSCAM,0.007873019297181124,-0.017283180580617535
GPHA2,0.08208877503405616,
ANG,0.010568890287891817,0.05883016656341565
FBLN2,-0.014273377320229012,-0.02945822764538172
VTN,-0.024307633394748465,0.013593642582631137
VEGFA,0.03533753915432026,0.024044655671480286
SERPINA1,-0.02118181157035189,0.010468122246692203
VWF,-0.006900962948392887,-0.006726170861742729
GDNF,-0.020137828933400638,0.0011256058494703337
VASP,-0.03967816059772842,-0.00467116108417966
ADAM15,-0.02001396816013862,-0.053873557622708616
WNT2,-0.02249334860185216,
OLFM2,-0.00011386807978678088,0.0024215643903835273
MFAP2,8.46427678166163e-05,0.026285538254170775
HLA-C,0.020950932712196564,-0.03065149983270921
THBS1,0.011036912060737659,-0.07342777480721673
HSPA4,-0.0035958973333276574,0.02656293206123785
LMAN1,-0.03669644022945859,-0.010618640776976229
LYPD3,0.016880962719579194,-0.0347828640951316
APOE,-0.05715528692589039,-0.029098886843093582
SOSTDC1,0.02070723935886356,
ANXA1,0.016842100153523245,0.06296405132870352
WNT2B,0.012447837077467662,0.043889276109449434
AMH,0.036596281131510616,0.03126178300432002
GDF10,-0.014882719771446992,
EFNB3,-0.01630030627847014,0.061276962081750305
LTB,-0.025344613949434207,0.058310794341328666
ANGPT2,-0.02313036245255623,-0.04168717298448442
ADAM17,-0.007475277113084881,-0.020659988917238276
LRPAP1,0.007405506094067023,-0.0163690445995853
NID1,-0.013336903005118389,-0.019243848491959304
MST1,-0.03481035154849444,-0.016289246989610033
DCN,-0.052196870769047894,-0.058479060087448825
COL7A1,-0.02893266417907308,-0.015174921479748594
CALR,-0.049289554280408106,-0.03132701274804481
PIGA,-0.028229859599509494,-0.0043057505853339294
CD200,-0.012898890015217077,0.059027267960810086
GRP,0.037775830408155575,
CDH1,-0.022470738834442085,0.01996471417217657
LPL,0.04949918831093738,-0.017312762651436782
SEMA5A,0.02074124123083965,0.006676097611756945
SEMA7A,0.04768097262230551,0.005365747137850595
SEMA4G,-0.012165878042912805,0.010333862248926287
SEMA3B,0.07272379492942939,-0.017736412071719266
RPH3A,0.03729297831569802,0.0566773350722254
JAG2,-0.04948772076555287,0.03257610564769212
CGN,0.001271878798372261,-0.04406068559794081
GDF15,-0.029986041720573665,0.07156980215670188
SEMA4F,0.06396996841257539,-0.0165816798445336
NXPH1,-0.00030544719672702045,-0.026187822089263395
ARF1,0.029048488847973616,0.024868430841885367
DSC3,0.020244756848162224,
EBI3,0.006890459994419814,0.01837167068517893
TIMP1,-0.031266185112004095,0.020862877860680175
SEMA3C,-0.013317270204293182,-0.05163862141955584
GAS6,0.03023604151369296,-0.04679438756642585
MEPE,0.07071158040388528,0.015069085446896415
SERPINE1,-0.021047346369807853,0.0463112461054189
RSPO2,0.032699982310355556,0.025839171826023716
SHBG,-0.01404880338794004,0.0006549130584745284
LGALS3BP,-0.055416707967727144,0.0123509081035113
LAMB1,-0.009124199208056535,-0.022898301604530165
SPTBN2,-0.010628659454099375,0.03273921420691594
COL1A2,-0.0358664632370604,-0.007398831594404287
WNT11,0.006487761471255228,0.005187564828656831
LGALS1,-0.046960605377806795,0.046680072504867644
BCAN,0.0076451357444972355,-0.03849647846160536
ANOS1,0.011395928761742093,0.0009511850044163692
EDA,-0.011381076506360565,0.006982515988556679
FGF22,-0.016183935270611818,
SHANK1,-0.015545869642973106,0.008626343930279248
TGFB1,-0.015283799657050186,-0.005860991942734472
MSTN,-0.02680746612634346,-0.01572479768993872
WNT4,-0.010474772918945536,
TNFSF4,-0.008943717131052922,-0.03140339523472963
NTN1,-0.007741544681878406,0.013894412792016617
CXCL12,-0.03293843257223252,-0.006844097318454796
GNRH1,-0.005819569920789713,0.039447799602168473
RIMS1,0.003001172624446642,-0.033623022876787034
FGF14,-0.018623410222525675,0.06371056984630864
IGF1,0.03191436808458126,0.024430561897505393
TNFSF10,0.016712997662015616,0.05210389481204634
GDF5,-0.01605818300596946,
RGMA,0.0013472913013528604,-0.03044486423706063
WNT16,0.01015328886072438,-0.0010639425003200165
CX3CL1,-0.03614799216234303,0.02984150971138188
FGF1,0.008954325790339104,-0.0015310653724033305
ALOX5AP,0.003997348847610695,-0.00033194335290390474
IL1RN,-0.035365029177547316,0.06433349273957348
NPW,,-0.030508517471643154
CXCL9,-0.037841244259407825,-0.03292901383907524
ANGPTL4,0.04294813953004211,0.009051693174220854
UCN2,,-0.022505096673431178
COL4A3,-0.0045106851737641415,-0.013510848972116457
NRG3,-0.0397901567238916,0.025946146048360534
IL23A,-0.017159620196514055,-0.011297712922982848
COLQ,-0.028149693984123193,0.030457254354202982
TNFSF12,-0.025979640710959435,0.07260172265528682
DKK2,-0.017973881000514797,-0.038046521154963986
FYN,-0.03249575001767129,-0.001979151536214771
ACE,0.0001900106721243747,0.015648695056598546
IL18,0.000977904210565667,0.02069111949039658
CCL27,-0.011381076582821635,0.005737991843966749
SERPING1,-0.015511857073319073,0.0026545579158173656
AZGP1,-0.04221495701405818,0.016943609474128145
INHA,0.11927281154302746,0.05021082542394337
SEMA3G,0.004488557075807559,0.03642631644278045
COL6A1,-0.015660381550911578,0.017912067914111176
FGF17,0.07843309808174208,-0.010624394096962274
TNFSF8,,0.014511703107793502
FGF20,-0.007105344748158566,-0.022808055828401584
ICAM3,-0.05001917591981435,0.02818001153822638
LAMA4,-0.02405991344193377,-0.017652719181650588
DLL4,-0.00040614889783285494,-0.02628317780980178
SEMA3A,-0.00031586172381694775,-0.036805192175336086
RLN2,,-0.030395997408584143
C5,0.015280274455501456,0.0971753941428622
EDN2,-0.012858812627838086,
C1QA,-0.06908738519763907,-0.11926166792722116
UTS2B,-0.013760379045234701,0.0053143032698281635
COL9A3,0.0625001906306723,0.023914318048671734
DLK1,,-0.0052385142865910075
HGF,-0.043653253008861005,0.008769871469189476
P4HB,0.03235675397444649,0.006303164436392389
ADCYAP1,-0.036092819002538176,0.020923870622319388
GREM1,0.0011143039789497028,-0.03428628967782825
EGF,0.05963646709023581,-0.03331389199646057
VEGFB,0.060139065239280226,-0.014236130929904858
FARP2,-0.030951915736262596,-0.001210725776457898
LAMA2,-0.02749444888220297,0.0006454246893717749
NRG1,-0.008633054634854821,0.02766817602860036
SPINK1,0.008113549798771756,0.06500955182021707
EFEMP2,0.0026754617791418488,0.015050849041680959
SELPLG,-0.04378048112862466,0.013123328941385636
GDF6,-0.006307890313284569,-0.01827491183016157
HLA-E,-0.019708878101734856,-0.05482117964712305
PTN,0.026007910071203132,0.012886326152602632
CD274,-0.023490810329949194,-0.008943245568570993
CD14,-0.027435077150776387,-0.06265247503280011
SFTPD,-0.020748190757044354,
SLIT1,0.007001422820421446,-0.0349174842101851
CNTF,,-0.03804651724377273
BST1,0.03758338545013182,0.046141186073731036
AGTRAP,-0.02443889667742525,0.0194713451843868
LAMC1,-0.009688857703885476,0.033729801666322126
COL6A3,-0.05935529294685441,-0.0031851737168800136
FN1,-0.031226178922615762,0.014951639854637273
MIF,-0.004229176073538533,-0.0016692070207464608
JAG1,0.08317061043181448,-0.024447644534009126
NID2,2.073454759432662e-06,-0.02105628504226565
EFNB1,-0.014596652874079843,-0.007351084958233019
COL4A2,-0.04224184959084793,-0.06901322377214314
SPP1,-0.025495178408555204,0.031258333413369206
PODXL2,0.024490313791898814,0.0087249913706174
FGF9,0.012371099942989731,-0.012114615394070044
ITIH2,0.010897394052814553,0.044297015885246406
ADAM10,0.026472259110462536,-0.06523460736150943
CFH,-0.034359016555345304,0.005449865695533365
COL4A5,-0.005645497966901652,-0.013044366091218444
LTBP3,0.01841929696145245,0.007842387589773745
GNB3,0.002652652409622219,0.006712692592446701
COL6A2,-0.033298533782966405,0.012528313126922479
GDF9,0.037966463471748514,-0.011286262855137811
NCAM1,0.03312483294918612,-0.02887313561836338
APOC2,0.013937169881908218,-0.0035833731391262257
BST2,-0.025859121508163357,-0.002004120288343634
COL5A1,-0.05068471983959184,-0.00858370696024388
CALM3,0.04252711428594762,-0.0232275203084562
THBS2,0.03820038183985183,-0.0210638027359489
SERPINE2,0.010754580331578069,0.04292712268051255
EFNB2,-0.021216294567218203,0.030683286622286
PROK1,-0.0046414102423815865,0.024287941865727684
MMP9,0.019637321295809192,0.010952035414098537
DMP1,-0.015415348346909542,
NPPA,-0.02211630930345809,0.028843248501274905
C4B,,-0.025002910422639753
NTNG2,0.04108010057056666,0.040157767595365795
LAMA1,0.05202887813728202,0.01757087474382817
UCN,0.05376341864468697,0.023931456522819507
ARTN,-0.0032745675362164284,-0.009854585973709699
