,UKF313,ZH916T1
PTPN11,0.027053145308576488,-0.04602206798488747
ADAM12,0.06292346765309884,0.04167374082671834
EPO,-0.011999090709161187,-0.016908413469904415
EDN3,,0.02285468764800489
CCL22,,0.007605995021102005
CCL2,-0.07216908117937207,-0.10123766449210898
DSCAM,-0.017653359102798253,-0.017149470410925856
ANG,-0.021991437450014823,0.04067280433360727
FBLN2,-0.021981511328428995,0.03499179460129919
VTN,,-0.012195347723190366
VEGFA,-0.002984898754561942,-0.03512206584734448
F10,0.004431723277351849,-0.02985171493650904
SERPINA1,-0.04026864474647431,-0.048968296024439084
VWF,0.0643542109751052,0.10495943071955652
GDNF,0.002756829009134867,
VASP,-0.005983685915352517,0.0972698357969139
ADAM15,-0.0206584392668537,0.06928628566053265
WNT2,,0.0316300371714535
OLFM2,0.019785702924797845,-0.027298101685969963
MFAP2,0.045732023183373466,0.08631414121864169
HLA-C,0.028666943524463667,0.03844517141597095
THBS1,-0.027007371788895396,-0.0004920244172944064
HSPA4,0.001636757481574692,-0.021353917389047943
LMAN1,-0.07069657073579858,-0.023914278439136356
LYPD3,-0.023347053634216953,0.11144535838703563
APOE,0.026513100106368332,-0.06382432919247757
SOSTDC1,,0.030221913923821613
ANXA1,-0.04632947262469256,-0.06918361417941792
WNT2B,-0.02063313218662645,0.011525470191870552
AMH,0.053213550091754276,0.06096499958617049
GDF10,,0.06851088688921596
EFNB3,0.028858614658183884,0.050026986984813185
LTB,-0.02372730093284696,0.07376671683418601
ANGPT2,0.09557597287145045,0.059453946114815436
ADAM17,0.05036790208204105,0.020990972788157168
LRPAP1,0.03962825211720925,-0.0016236041172522486
NID1,0.05547025720001019,0.08216135888494254
MST1,-0.06151285756725395,0.01784222705983017
CCL14,-0.01850865161149701,
DCN,-0.0627318326502929,0.014554474021062889
IGFL2,,0.024409532991511194
COL7A1,0.04090211142295671,0.12178006127588095
CALR,-0.06592078459989327,0.0562022772320574
PIGA,0.05768703381126155,0.04110661217032854
CD200,0.03700172410363098,0.021018346532726977
GRP,,-0.020062923385380568
CDH1,,-0.034020704281551385
LPL,-0.004441088836333035,-0.006207892045802416
SEMA5A,0.0008807334849043326,0.05318978257028255
SEMA7A,0.006548585196996658,0.060502475756452914
SEMA4G,-0.03526663203585597,-0.02310466406642699
