,UKF266,UKF296,UKF304,UKF313,ZH881T1,ZH916bulk
OMG,-0.015334489402610885,-0.01350516956308534,-0.0684006540814597,0.03849380853775822,0.04010058868966368,0.10028800380831462
CXCL3,,-0.01573745239113619,-0.03479375753567811,0.10087730499200309,-0.05178525775046366,0.015160919741649601
CXCL10,-0.02022190601244638,0.011609074659880146,-0.060025370307937406,-0.02006149210523816,0.0773860427652456,0.01286411386152824
RSPO3,-0.0032292255283479492,0.06444238493580745,0.11927913753233313,,0.05687001739897644,0.08182375767756603
CORT,0.08311450890753623,-0.013346079498253127,-0.021090110869635838,,-0.030702231596634322,
NCAN,0.028685673223349334,-0.031437445979912465,0.17708569970568444,,0.08145112231832695,0.028346977155982857
PRG4,,,,,-0.009873807753927405,-0.03033277396234946
ZG16B,,,,0.0030553177732518914,,0.009113698727084181
TGM2,-0.0040000307013077436,-0.03606652002431997,-0.0027915273333721726,0.04061331274307718,0.006801350377908308,-0.009411131710931137
VEGFC,0.020960033051990328,0.01986669961981797,0.02988185632702357,-0.06362249852001936,-0.031506786727330774,0.01501142155407376
WNT6,-0.01517422371220107,,,-0.02932677732795551,0.06556424563929512,-0.01921069532408761
NRG4,0.0018546326421278435,0.0014990037503932487,0.004475067911037756,,-0.024377524942385303,0.007806175465424967
PMCH,,,,,-0.0140355723714019,-0.03699772497528806
COL9A1,-0.05806332645169485,0.0270560663106555,0.019555682037475312,,-0.0180843655666438,-0.03779968351045621
GDF11,-0.017552877112584145,0.03989861173324788,0.08386254289190515,-0.020132238335362374,-0.026034765128825438,0.0032714451095332887
IL24,,,,-0.016538447910644384,,0.08076885224711501
SORBS1,-0.04561609143847187,-4.168179533962568e-06,-0.017624553655132883,0.03095231110959627,0.007698533558325101,-0.0011100876845564222
DLL1,-0.03377465466556387,0.016918767959082724,-0.05790663813226469,0.0066411564465730325,0.04087025517403121,0.1478325135391892
TLN1,-0.03556900726792569,0.037405324855476485,-0.12211265844371438,0.009696612870001238,-0.03365202065250321,-0.04522319939258319
COL2A1,-0.016439382918382428,,,,-0.02956819437778414,0.04988220540518953
SHH,-0.017943652700026808,0.04917622746382794,,,0.00031859690514186243,-0.011456057725475895
