,UKF259,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
ICAM5,-0.019948705051555278,-0.011364053798313905,,0.016939213499348373,-0.017297036345883948,,0.027199858421630977
HPX,0.004385444945448291,-0.010210821004285458,0.18325014139742343,-0.029470205452348696,0.049827622614356575,-0.020212957386563004,0.06437366028152658
SFRP2,-0.0219846314200271,0.019019671457366508,-0.007743449066230439,0.0528372761647291,0.02783743914630496,-0.06272061137925114,-0.015005004065883945
CD70,0.01016420748285641,,,0.059631036388846,-0.020805687622396124,,0.03323185616080473
HP,-0.024876321367763823,0.03151683089853301,0.010870080217396574,-0.02110794923249904,-0.05182950271002898,-0.03378149567033027,0.03306039055054216
CXCL2,0.022035287073105366,-0.014190540651602926,-0.05316603683054582,0.014978978448109182,-0.045466902358553773,0.08298936515959582,0.0063704493946153806
NPPB,-0.004458087060643786,,,0.00994147479798278,0.029009080339914433,,-0.03220066948302741
CCK,0.001307145387018553,-0.04583765680259131,,0.02102713704930431,0.08571077477461854,0.028866226665849523,-0.0463788752413861
SEMA6A,0.005822214501869456,0.03685414768087302,0.02579461634792614,-0.022512138739833706,-0.023206345089346478,0.01630191714097701,-0.07975393643465378
IRAK4,0.05385383144127675,0.04103767871843686,-0.09223874972896912,-0.005180147374182543,0.014429263344587098,0.01808189384256358,-0.001977214468015706
GSTP1,-0.025588255688376336,-0.0030915272022519866,0.1733180011940419,0.025842737209111556,0.07494467900917891,-0.006311555672879663,-0.023384614582254548
VCAM1,-0.03151814643893819,0.049325916337882185,0.0016481173348013598,0.0696625131650286,-0.06920800418002031,-0.02082383450289448,0.01052333328513355
NXPH3,0.004913790637993414,0.02814186823599613,0.03175059561920202,0.02351869170674164,0.023804002230060902,-0.001703008886842129,0.01590755420373716
MTMR4,-0.002205690459250258,0.019644675081002053,-0.07828221435671837,0.018394809579735417,0.0013585983607580143,0.07127969334542812,0.009848302313554423
LAMC2,-0.02142609170205408,,,-0.019638525257669976,0.05358214222130941,0.03357679402303028,0.014836646254659459
IL10,-0.004289299267788441,,-0.0788826380423413,-0.03737957995758111,-0.00019372437003908606,0.036710237613787416,-0.03539312568677955
SEMA4D,0.01300638989303622,-0.0024532413123869324,0.006719614389608645,-0.0034030552593641186,0.05763895074728204,0.03451047833539362,-0.0045228185799714255
TRH,-0.007349155720340416,,-0.03623337524779984,-0.07502130937859353,0.04354826042728944,0.048730172892197283,0.050703304845186835
SEMA6D,-0.0029483358503341554,-0.0407139019959802,-0.011631104003129517,0.018641237377000058,0.007071619232033739,0.006400620888241633,0.00665182614772495
CEL,,,-0.001504714770785131,0.011906216228883881,-0.02687280426913836,0.1086655250182946,0.015324137815385786
PDCD1LG2,0.03577697641666329,0.02563096561649802,0.06349635099354975,0.031936495570221005,-0.02582407021937009,0.0007527374329093461,0.009195488425558295
SPINT1,-0.009501086309615643,0.05067917763549215,0.02722070857566093,-0.021969217489840497,-0.030231595849335588,0.012088686846262678,0.020793142166795335
CTHRC1,0.0018573510308341704,-0.0034224064553230573,0.06386781893757609,0.1104711573422379,-0.015093771566043707,0.05819547847198314,-0.002462607991853721
PODXL,0.0715030027286594,0.019874070894077302,0.06813283406428947,0.08229296014696974,-0.005788668715419226,0.022966587137603314,0.0011957840189463192
JAM3,0.00017379654205467538,0.01718190337375527,-0.025321406453772864,0.0923116370053056,-0.015698927952738178,0.03376564080188007,0.025568577043210947
TGFB2,0.05775984744455749,-0.04221364664215108,0.039798485816305115,0.06296787364486693,0.017586736173794415,0.05680446139715597,-0.05102852425413585
COL18A1,-0.03552364489580857,0.0004479958588967261,0.08545165504915271,0.08384939016289136,-0.05134199737003262,0.06652896339401759,0.03289855933156163
NODAL,-0.0065978428720613195,,0.10240865720798031,-0.005949385677834311,0.06102621639400518,0.05244456605775384,0.05434171917161675
INHBB,-0.05277687007027762,0.07328179730164418,-0.09937214498498691,0.05804987199702296,-0.006177159183509783,0.043090094531875914,0.057576612169073
LCN1,,,,0.02725721541343699,0.06552776304070113,,
ARF4,0.019342410249443852,-0.06513435733442248,0.02065869314484333,-0.007917038472749502,0.0463411365548561,0.06941957403433881,0.0667799640525882
CXCL14,0.001198451706210183,0.006819451009009424,0.07164190298635477,0.04672789838472024,-0.02855380738696132,0.02536468936620064,-0.032246695134027906
LIF,-0.04230877266039432,-0.012105161408926491,-0.004666705519357373,0.06196288680134639,-0.06743491265862339,0.07033889372757784,-0.006294782066347031
IL17B,,,-0.004119040805234043,0.01703786028534537,-0.030743398894314836,,0.046226517042657775
MMP1,,,0.014676867247422924,-0.034921171491380174,-0.031647646531183085,,-0.021544623750913573
MATN1,,,,-0.03196013595177084,-0.01055536931703216,0.11354376167748284,0.032962519163029336
ADAM28,-0.0449961126620519,-0.04892352460085407,0.08131382002466847,0.037565103249846916,0.0004714357925711287,-0.008836098516275545,-0.029002991068445783
TCN2,0.058406282979997726,-0.003881177576892115,0.048216352351828924,0.047175250541667005,-0.0003258001561301228,0.05448704760823671,0.06392137950432326
THPO,0.05093507399552604,-0.012596569984610619,-0.04761612317083185,,,,-0.026598753623944846
CUBN,0.05663205085341892,0.022819778618942497,0.08842520543508134,-0.008444773951376636,0.03190408560243285,0.03742608863476716,0.04780469988379715
TIMP3,-0.016562030077970368,0.008898180521714235,0.10305495985697646,0.002371309696721461,0.0009819710957912986,-0.01375657086912378,0.004169032507540334
PIGF,0.012492117991277927,-0.015759862510711733,0.02598720943434226,-0.0032151368457619856,0.005737028676134231,-0.006468697008604204,0.03400451046305727
CRH,-0.021773162757083967,0.0040039055710815626,,-0.04318287228251134,-0.02150138348975595,-0.02072383522645027,0.042130991121099234
BDNF,-0.013641549096572203,-0.020491538055650606,0.0018866159418073974,0.03267281891869324,0.006287206508307607,0.02770584108708664,-0.015866837252030246
CCL5,-0.03580291362860137,0.06491340894099816,0.060103532730240626,0.11021639830744052,-0.0349623158152734,0.013122660872399461,0.03953995602518483
GAD1,0.016604634374117175,-0.043062744448350225,0.061127569970381476,-0.03833217586383684,0.03013167845816074,0.005625977451692171,0.08023713564919274
COL14A1,-0.014274664135843954,-0.01649974386475001,-0.01827358490297295,0.018167763967254648,0.0340265761863716,-0.05138896199007459,0.08552319772343389
HLA-A,-0.030834926324460592,0.07447670124299889,0.001607473477467921,0.058885504632675535,-0.07026667759683088,0.00962802483214151,0.04578991465641065
