,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
PCSK1N,0.06272809586886356,-0.024829422042457125,-0.04004817763967042,0.003897250003617449,0.02623308227783031,-0.049311815718482116,0.007652434912938254,-0.0552017374061212,-0.07531565182999357,0.1395589099874309,-0.005431725694431686,0.0077548890920970575,0.017416577178796664,0.01448547541762513,0.04260548075963073,-0.0005739108839532238,0.0034387364573952154,-0.10078646014428568,0.062168830535781185,0.09901081394786604,-0.1324914133268207,0.0020871108749426818,0.039063811259209824
NTS,,,,,,,0.021909598799688682,0.02102238584332117,-0.02443365939314795,-0.03892591254201061,,,,,,,0.018603857246678825,-0.06754385497984355,,-0.08568231154269702,-0.09705559527805799,,
SFRP1,-0.038235342353812464,0.02843093015405076,0.03691000791351935,0.002005897492522717,,0.037320399391436936,-0.020936428255960825,-0.031072085284016268,0.0560895058410092,-0.01658567699239292,0.05510620051123331,-0.009214076306638775,0.015711333968789463,-0.02634174585519532,0.05564991822040263,0.08456477046131701,0.09819457139077105,0.08183019981408074,-0.07458748707864493,0.01830024143473803,0.12370046438482711,0.013115275742068633,-0.014940530531760508
CXCL13,,,,-0.0278616267883706,-0.026480414743027574,,-0.03936189918841889,,,,0.04552588781965324,,,,,,-0.05493232836707565,0.11151408155185437,,0.07821065250745178,,0.06034292182325555,
MICA,-0.0089256713974822,-0.003910672379592227,0.14757607992506241,0.014414016565752408,0.005071399368762763,-0.013338692944807832,0.03853925301343855,0.03379916743096038,0.04770981358446973,0.015871474329004806,0.06325434696381181,-0.03201286619496214,0.21258730044734075,0.06192963504268038,0.041523269519208435,0.14005969451071162,0.019682039362164887,0.08231261493782956,0.05913026086843412,0.07250233126776112,0.16459196583557614,-0.019943624656845505,-0.012344928469416322
TG,-0.030433285753740907,0.013790215092429217,-0.056088514831232957,-0.015667847211200184,,-0.02975235294924496,0.01787589601087633,-0.002985821619764629,-0.035470955454986665,0.029942464057295573,0.06051882545068283,0.018969482112647627,-0.003687804580358319,0.03997962732834172,0.12157339336687603,0.028268983616962257,-0.010325586464606244,0.06938421517355983,,0.0008573314965074455,0.08781178638303547,-0.0004975569652372195,
ADA,-0.0126491509763079,0.0012378420522470071,0.18103498591050637,-0.03236768627898035,0.0023106106596290617,0.01773444230358899,0.05766920026704494,0.0674727307373181,0.11441654690980872,0.07533410979727966,0.10373434687131444,0.06811554301627823,0.05272180497612772,0.027370373506401025,0.0949557045764204,0.13257855668597515,0.10589506216332559,0.10199605062505528,0.0711366134689366,0.14117653164017818,0.3167579782977062,0.11308296255967126,0.13567004396419557
LAMC3,0.09758220706048798,0.1967637889151238,0.2877960392480904,0.10216806254917211,0.1819830755992748,0.07363382036556855,0.12466307652421352,0.08819622934335403,0.18955699249073066,0.09056053312015357,0.10560091249277366,0.10123346185284524,0.32338989617198377,0.156609009796314,0.2274862778787095,0.3020184936121281,0.06237330681984283,0.08968277913553194,0.187310945871902,0.17887727205792933,0.357334006427128,0.38295229949936715,-0.053800508011767854
CCL7,,,-0.023713308062660428,,,0.08599014276940976,-0.02295996830419325,,,,,,,,,,-0.008093251660265331,,,,-0.021608934896961696,-0.05089567322136525,
NGF,,0.03469058122075796,0.12394252152176548,,,-0.037499901841216585,-0.04891154615004749,0.02975521187105138,,,0.07508000513606093,,,,-0.10810352704251927,-0.03725863511822775,0.014883863513343903,0.02126388361727793,,0.06581706664529033,0.14460753369983267,0.032213487093931556,
TNFSF15,,-0.02840748206018555,,,,0.002080741038326762,-0.0090226810248794,0.09882877593525992,,,0.04538044894908824,,0.08932227265991376,,0.10865427383450658,0.07042216455137418,0.0494472332749574,,,-0.06917106955134028,0.12294397398367331,0.0836050465546327,
HMGB1,0.00024117177200990624,0.08868958443168312,0.006689359914146868,-0.008887410643059566,0.06837958682278045,0.009199086729373768,0.06998074712903696,0.05132547777414286,0.09626725363796938,-0.14416123471680495,0.19395675861916306,0.03692654968322104,-0.12437200164790267,-0.07102653962579944,-0.0352450742035462,-0.129984280893584,-0.008422175050241766,0.04212342596545222,-0.17827180383168625,0.1000837542582712,-0.20998201249724133,0.06324697915769979,-0.01752127467648315
ITGB3BP,0.03082708214415902,-0.004039712608772038,-0.04997636766510304,0.034821283926393436,0.002121247097030862,0.019799161229048956,0.004554606720874291,0.08278811621667438,0.11519276938473241,0.053778248125660295,0.0617208131189079,-0.026460860737488778,0.14475672268588785,-0.07549772495221664,-0.05430410008012815,0.16001426877664146,0.0836437291216875,0.057453073653022844,0.04229359877166286,0.04272380763176794,0.05479477958028664,-0.044030586268624786,0.22795010364246568
AANAT,,-0.07943365213909581,0.00538392437480277,,,-0.008188686106367495,0.008609052098471431,,-0.026510466918291762,0.01878727191343415,,-0.005776728296328418,,0.04841351578186045,,0.06551952022477919,0.007961411519914759,0.03168255307390597,0.11544794978457543,,-0.020974646342675027,0.0686200455267262,
RELN,-0.025230000741758674,-0.05453584839420986,-0.018758659652226325,0.0052432457764181135,-0.013697201081005703,-0.029789868257124822,0.057566029850730116,0.027367778255083266,-0.04052722139762751,-0.1228083796203393,,-0.03253009379866498,,,0.06218304780432042,,,,0.05860069828984021,0.019703454395820403,,0.035142760481877595,-0.008364765380952566
IL15,0.009845436325938296,-0.01574054417062715,0.06108831889447683,-0.01996059764298003,,0.02165656576690751,0.018754029402932863,0.08819785234127052,0.12471384528889622,-0.036138003089402654,0.1256719608530777,-0.027251857522575248,0.10323595151183175,0.02112985075522216,0.09519797704808197,0.03848174693993984,0.037088107872686994,0.07886690270958624,0.017723169340163197,0.009745663537030404,0.1601886164111938,0.05428186899080234,
UTS2,,,,,,,,,0.02199240624417863,,,,0.06118845357461511,-0.042698220113933955,,,0.05609607323051258,,,,,,
BSG,0.05778359000282283,-0.0643546542458996,0.044722472790638595,0.0829927515483448,0.05711839289902151,0.01627554911164907,-0.050565953952216615,0.013889135681139905,0.024601561066640663,0.33891100817236597,0.06983415462399452,-0.03836985579834438,0.17834810525181416,0.027816584989700927,0.11980641750009172,0.16187312690533368,0.09915955839484206,0.1279867397697757,0.27023231451986235,0.04771494025583905,0.07274304541513014,0.16608047624324015,0.00040443951926306195
ADAMTS3,0.014718579464936193,0.090756444077801,0.025027960070723304,0.049419654441063304,,0.025169220328111124,0.03852068976767724,-0.012636627795505522,0.1486357086995408,0.05489247308051352,0.09583650713145715,-0.007420632764707749,0.2189450190082036,0.009070478214182871,,-0.007617840779855474,0.04890013452310964,0.058276990575218846,0.042659300352182884,0.019699101690870583,0.06654614485469806,0.047100132773560774,
CD34,0.09017524258134595,0.05410025292102165,0.2545565858668981,0.05686981478789164,0.14290723799990318,0.00012199727162213696,0.0751157481337966,0.1384808406939759,0.09561052998686152,-0.018565415743451545,0.10488084076117556,0.14296110188723118,0.11558081746183123,0.1943523223699732,0.2613834440786586,0.24609651051411727,0.1451002772107217,0.11844040569332771,0.21070393971652113,0.1187904525502247,0.37274340235102843,0.08434594810922043,-0.04117720734741485
CCL23,,,,,,,,,0.058806814733449085,,,,0.06135683675810836,,,,,,,,,,
PLAT,0.016896079211934527,0.017211998651602937,0.15937872073780285,0.027079225767271696,0.0552695506522925,0.03505556638761475,0.10693865478571715,0.11875626299547774,0.11662374140950328,0.34748341042001996,0.11534331516512526,0.06410238817726477,0.16697568479269306,0.07344020848348873,0.14238818144156593,0.21960620260675134,0.15389610496161527,0.0723017082469899,0.2432291900300986,0.36984037847044904,0.21049280062728654,0.2838058675701268,-0.012353164038074644
NTF3,,,,,,,,,,,-0.007375812367889528,,,,,,0.10805891366389826,0.08147317292395202,,-0.027387795369164806,,,
LTA,,,,0.016783969335256506,,-0.027569956934301584,,,,0.009780671397699427,,-0.027251860886557257,,,,,,,,,0.04166804166807495,,
CKLF,0.01989063777862316,0.07474024309885215,0.10060941960189596,0.00783258299809435,0.08622562866651368,0.0009679010575756851,0.09311168685625942,0.12021964838836582,0.1438813414777399,-0.03298154802313655,0.1591491171150271,0.003750906538100259,0.12077953733558548,0.11096697267803475,0.058768292828773175,0.16648977541814972,0.0598498441489906,0.12218262677549958,0.005946158637712967,0.1373727789295828,-0.027661705756535846,-0.014364191024344298,0.1723463879077414
APELA,,,,,,,,,,,0.09597899089674526,,,,,,,,,,,,
CD24,0.03829430118703463,-0.11907382883333265,0.009173620998466475,-0.04307330048872507,-0.02664593906045819,0.029870673487050532,0.03352520551729745,-0.003203707150273349,6.002935971361473e-05,-0.2880893307962698,0.022141838811847683,-0.017880392166134976,-0.010388808311208064,0.07906226880539305,-0.15290729913437234,0.12214154080143519,-0.0074376907659454965,-0.05381463879130656,-0.026403076910008615,-0.05504440995621699,-0.06314073856309917,0.0008847977752521872,0.04084930611643902
HSP90AA1,-0.01839599560365592,0.030249642731989174,-0.08227004136449866,0.02085041050626319,-0.04969851458611538,-0.10434960113540256,-0.02682695850874181,-0.1424828513105515,-0.1600711815834026,-0.05280898720095326,-0.09651109056675897,0.037883547943072075,0.0204685608192725,0.0011013689177383076,0.015655738061620742,-0.2677078893706285,-0.06331860965166258,-0.04615842154242558,-0.11247304016725447,-0.04434478957449867,-0.1829603454507089,-0.08830949981418962,-0.003764462292677306
BMP4,0.026768163322821642,-0.05425842507055563,0.12100838323266251,-0.012214190562667648,0.05980658584138068,0.03570591733948698,0.05924576830411997,0.05896052806095853,0.02824039768186968,-0.04919273592020573,-0.008272063226074473,-0.02322140016814145,0.2332073786197713,-0.005589230088625547,-0.025080311805932846,0.14281771045019365,0.05908894110548166,0.06548147482443302,0.09179147254161746,0.07903482622505659,0.1771547810774228,-0.008736118877933494,
SCGB3A1,,,0.08291350535863565,,0.04072384509226322,,-0.03232453200304051,0.030434944838428863,,,0.057410180783922175,0.05237709940756481,-0.01567464029300119,0.14715766192975574,0.08507251113943091,,0.018917313796758383,0.02475105963580353,,0.1141991669619289,0.13549642702134354,0.10150879476126079,
IGFBP4,0.045203217412416924,0.14207302646493086,0.3102528167063657,-0.034758254595093796,0.18851781791891653,0.05627551345338368,0.07293170779421804,0.18858462218110747,0.16156840672107758,0.10216137004745542,0.18006334917457723,0.09394720195938935,0.20737245256207243,0.16815588891865973,0.24173044816290937,0.2265092814815744,0.008043562320486135,0.004511698883232762,0.32868811035705053,0.20634360102463167,0.4369351679874401,0.40583715996855535,0.0007104890079669807
RSPO4,,-0.041158341609459234,,-0.01862692653059048,,-0.027996794139631374,0.03438822016893089,,,0.07535458237945049,,-0.03780262135995825,,,-0.042254400298202266,,,,,-0.014530607935474104,-0.010184039296439228,0.04390073068518613,
