,UKF269,UKF313,ZH916bulk
CCL8,0.008338843304837976,-0.04127945256314768,0.038689776005053286
S100A4,0.006701966637759552,0.04170600416489814,0.04303207285378201
TNFSF13B,0.025460229861808216,0.013852141262366908,-0.05176380997893171
HSPG2,0.07452443876381237,-0.07764304066570704,0.04855029191785101
FAM3C,-0.008512998245825016,-0.030120938629599654,0.01130224214358832
FLT3LG,0.03542396171961916,-0.013682404555190885,0.042046149286196835
A2M,0.012644731473677834,0.12366554736380163,0.04693563274198065
VCL,0.04499454208654533,0.04275429627140744,0.015249756037059138
FGF2,0.01493163451424485,-0.029381259339382612,0.002913165339849493
AGRP,,-0.0096006978787599,0.011537832769763327
CNTN3,0.0067945408619511215,,0.0722498485429309
RNASE2,-0.00599850584228688,0.07725851116453424,0.06624823424607017
ADM2,,0.04478153838960854,0.03484204461325454
GAL,-0.018578193444222863,0.05660007825146887,0.058423047910270344
IL36B,,,0.11286481722047514
CXCL6,,,0.12408195199377148
PDGFC,0.05619567460501332,-0.037986794430526494,-0.02859239305069318
COL8A2,-0.010967045630059825,-0.058830959842699634,0.07036749159135244
SPON2,0.021595153191784178,0.08147173337832056,0.10451047297910819
SEMA3D,0.01288465151728989,-0.041660833405847884,0.1040377805423177
BMP6,-0.013355082663331052,,-0.018982988545109714
TIMP2,-0.0037357372812503796,0.01285639547142698,-0.022466844992246392
EFNA1,-0.01379298577066271,0.022853601894173885,-0.010520132232851297
S100A12,,-0.020765589522148877,0.014196597327267867
TFPI,0.054229781019508476,0.05427863028307922,0.06476439103611813
