,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HSP90AA1,0.030233544286872166,0.0421122028318589,0.06373925826006185,0.045145027721722505,0.0029370925081655215,-0.030045170928987366,-0.07888569326431977,-0.16754724216756325,0.05523935944675341,0.024689301007172794,-0.03709499664087067,-0.06346499073991325,0.0175165585023918,-0.17122387371626452,-0.07085418869569934,-0.06239204767738739,-0.09525455011322878,-0.07017833809624123,-0.02814180803138124,-0.10621831586848479,-0.052661986186170774
BMP4,-0.046009472139645055,-0.0025259954723619487,0.08655909567252351,0.03580185486891847,-0.02835730322007353,0.014079630717944856,0.09889917572227107,0.03584234646417393,0.04109282742142001,-0.04037241040440569,-0.02322140304380571,0.07052696217854798,0.009380661115728803,-0.0036181763923412514,0.07539193621072927,-0.013674096165316703,0.024650964656967124,0.018502449810382345,0.048159364812925806,0.05495798698282377,0.0414744853481241
SCGB3A1,,0.03145589705259907,,-0.028202098340234346,,-0.014328542280646183,0.14030353234266324,,,0.09222025716350916,-0.001073464014599399,0.012708398941801603,-0.06835799558570589,-0.05267841839223777,,0.035099273392037084,-0.011404741756281664,,0.005086477441474433,0.07013675623356354,0.10368391159837882
IGFBP4,-0.04231184522354523,-0.02608864958312493,-0.004057606504990229,-0.11623933055108576,-0.011664801404622869,0.08118526219156119,0.08209420308440475,0.16566875084726565,0.026727881979295088,0.06943545429910275,-0.020405804867278506,0.06710217272679642,-0.10343566441917623,-0.02135942721110143,-0.008745457183164572,0.04903108316020225,-0.07508047157241464,0.08881284882965819,-0.07276776174581068,0.08311072279148829,0.036347366618533515
RSPO4,-0.039989255781359145,,-0.024051636925973497,,0.022832829147695875,-0.031828396603193275,,,0.07799036593504005,,-0.029063323382830696,,,0.052780096791051063,,,,,-0.0009717071835598632,0.032973774016402155,0.0987602868974274
LEFTY2,-0.002082335469810516,-0.022951881044062816,-0.015060505755612534,-0.056784874897129585,-0.04974180018177171,0.01905508624211803,0.01017899223101723,0.16638524991744252,0.024524919096176417,-0.028225421196521924,-0.013391961728287032,0.025045154334491997,0.056459564997256226,,-0.02988606677854467,-0.005755548356340651,0.08940212799996325,0.07153626117467567,0.04053356494453601,0.15003874287037527,-0.032016552269308655
PF4,,-0.03895470893311058,0.03373593512111033,,-0.018294132984837563,,,,,,,,,,,,0.011347893493380917,,,0.04655669873093845,-0.027333658609613534
ANGPTL2,-0.028013800554583315,-0.04386983253039781,0.07687977255974204,-0.11826506001217835,-0.07660746857247198,-0.03349944173885372,0.11366590233438893,0.14713790810909327,-0.036689558140346204,0.002415185059029977,0.04389122297267206,0.013232984456954006,0.031368001629786035,-0.06437778628819182,-0.0224345144615752,0.054137239747722624,0.03244238400011388,-0.12181124749060536,0.022228200029159755,0.1185219892766059,0.0032092695027900473
LRIG2,0.05853372090679653,-0.0006452565314527988,0.055110238063768587,0.025303728041986516,-0.01764744914609299,0.04137384909889563,0.07764278059843842,0.05367335348091008,-0.0033233579364147755,0.055043384872236006,-0.019163657282487288,0.033870290914012856,0.007591533242724915,-0.07399123754535605,0.030327699383626526,0.026626605708279176,0.07076095217238228,0.008930095900518784,-0.034282571415864355,0.08342967154307644,0.038693642704899264
ICOSLG,0.003422252234214104,0.028110138159175797,0.00788273898948171,-0.022639642458026552,0.03744093506547423,0.07790919429917559,0.0681430302060889,0.10111200973238237,0.002910363081388846,0.01461227970865331,0.02358408895234816,0.03834159629663109,-0.03222384048891902,-0.05744915679564697,0.07602706513483609,0.07712899212777737,0.0826302090013954,0.06212078625557087,0.04072459456151486,0.08888007547428117,0.10726770385403528
