,UKF248,UKF251,UKF259,UKF260,UKF275,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
SEMA6A,-0.02241793921172246,-0.0009056041782319604,0.05425734468570871,0.015909295061204802,-0.013405209859430871,0.06817020949011036,0.06838224259800223,-0.0034612516091757383,-0.021503152038500457,-0.058912803103150016,-0.013658887070890812,-0.006169827935509324
IRAK4,-0.0010068373087797394,-0.04734160118590129,0.029591582239275025,0.020558639057882955,0.04591115741652593,0.0481373598793446,0.04308006621947219,0.05020498386631204,0.020108048522415378,0.0005603329773367718,0.10304097601683808,-0.008101251343375953
GSTP1,0.020096973377943934,0.030941210564137542,-0.02268483042365481,-0.014460741074978191,-0.015370987200152878,0.1249580588135035,-0.053472935782902964,0.09593955553813366,-0.07164321403368026,-0.08601025421454693,0.009503786656043203,0.0510616353244407
VCAM1,0.0036203521431850292,-0.009489604703619007,-0.017202030226887245,0.030602734377515862,0.020230131659266556,0.08207371770137002,0.014187881418430371,0.016917249706950015,-0.02117397548033469,0.0342329050174552,0.11788905052458158,0.024715900929938906
NXPH3,-0.018271810635947232,-0.03156608604264501,0.03044230290051722,-0.03774644165954936,0.03927072965413518,-0.05917137920331756,0.05980585536190194,0.06525654943770455,-0.07441807934408128,0.04024147662741981,0.08252119880159926,0.06391190622294132
MTMR4,-0.05504495517099683,-0.009086382824248554,-0.0011006033097692984,-0.0313658776491468,-0.02098286213257055,-0.015263459044362456,0.02860433431043564,0.09446695551714247,-0.0037865150717294907,-0.00867173141347658,0.03496171804238885,-0.001763029044317495
LAMC2,-0.017936801373767124,,0.02682474121219362,,-0.013664485603404086,,0.01572669512018503,-0.03473731164306249,-0.02194175660541743,-0.012908453034801015,0.017443281214080817,0.03962788656068564
IL10,0.03833342158476362,-0.020074310426031944,0.006280223971411857,0.05438796319035918,-0.04272416041061521,0.1993478907182268,0.052755243499706055,0.05577387227216519,0.002372543053339442,0.055121235814560826,0.07605174999013813,0.03924343765104076
SEMA4D,-0.022798447734730002,0.04495704070161289,-0.009249963108268698,0.006241568538886989,-0.00046253834267492584,0.07154420187455564,0.023727763485113646,0.06701541630602796,-0.035563613586732996,-0.0019661613254449077,0.027316242966836275,-0.058733719182867634
TRH,0.005658445905812961,,0.054106703739395696,0.03015832995478898,0.02068918013520045,0.07347453715377258,0.0751473603181054,0.023666319603399356,0.04892783631887517,0.06833603974635212,-0.01582797788456317,-0.028893458776587343
SEMA6D,-0.05312381837016587,-0.011435913291383604,-0.018985623373221933,-0.019681576054786147,-0.020406514004134766,-0.04032745766966117,-0.00770622799824239,0.03310235315269209,-0.03396223967792737,0.004438865041809764,-0.008699054892311785,0.01636068732584265
CEL,,,,-0.00456009749819483,,,-0.00670361244860623,0.04283187531858031,-0.04277138890701165,0.07198670421665145,0.055277380078923875,-0.032811608722345224
PDCD1LG2,0.05143131707048582,0.030086148148582827,0.004924635116362335,0.059254367844716195,-0.029025741672586543,0.12796853070261427,0.040741350336282414,0.01779484259754023,-0.004803192176866139,0.02937794206721553,0.0578585587702662,0.034283005612032603
SPINT1,-0.045376987245051854,-0.014899648669472146,0.08240861016745707,0.05650318304277603,0.0005489977477113568,-0.04836285798436964,0.07119817704928677,0.06685470287538316,0.04172408947030055,0.024899753648434275,0.041817521373421714,0.016446992296224167
CTHRC1,0.05069453049837392,-0.005213805616899777,0.04605561275804482,0.07358690866278937,0.01342348926189195,0.04365353734326399,0.06714051488733745,0.06787874288947471,0.007208627437117583,0.05591568765235911,0.06207254730540304,0.008540034026774283
