,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
ICOSLG,-0.05913864265047987,0.09759565221851599,-0.012455821292769342,-0.0019274583181913313,-0.021497365894124022,-0.02673374728809462,-0.020057701301250647,0.05799945044907018,0.04618794522056358,-0.06375129471787233,0.06237681116471398,-0.037239638271099794,0.01539384413476323,-0.027879053576341413,0.0674081044047742,0.034432840232614136,0.009662184592660236,-0.005328911275388078,0.01653259176033672,0.06164696356599181,0.020577916668988356,-0.018963586575711993
WIF1,,-0.09028351368692573,0.005909442436599749,,,0.056560756572130895,-0.08444376566067659,-0.12113428330214854,-0.037469850759755174,0.029170197598602638,-0.047418668166140356,,-0.07362447642003692,,,,,,-0.026059342533206697,-0.032056676999516226,,0.03569187024404735
NPPC,-0.01653673241898559,-0.006793841373772099,0.06402467964197392,,0.028434589950352546,-0.010656331175883712,-0.03303214103932608,-0.0031324301221247303,-0.013188644233237852,-0.04913564464794405,0.017486864224379825,,-0.0029262459034902666,-0.032669647228506744,-0.025304594148710714,-0.05203455061103004,-0.028510585111911364,0.003720238644058896,-0.028739194807467377,-0.05471808979425149,,-0.042444504201473304
LYZ,-0.008590788894184331,-0.019850911604747598,0.006690084877490477,0.004166678668967657,-0.015890219747810793,-0.04659788928683893,-0.02877179969096994,0.10885774520140436,0.034244367400424094,0.002166783288289405,0.13845002374910492,-0.06363265170660132,0.03023699243687931,0.027572173616313825,-0.09308129906618702,0.05921438744418013,0.059480265434365874,-0.011310548701999797,-0.009918968527562914,0.15411318373791258,0.03917843387689801,-0.039141324274360186
EREG,,,,,,-0.055763413833425104,,,,,-0.025566721277157714,-0.019596544663907117,,,,,-0.03912856219667961,,-0.03491551210802183,,-0.012881957766175216,-0.04614143685629951
SPTAN1,0.04681613545565632,0.03512734868284708,-0.01076885912534405,-0.008015374118658459,0.03933027300695755,0.05649290020393708,-0.02907022205684971,-0.012526822782585116,0.05524690782674609,0.03271307291043983,-0.11081731831494045,0.023716009475402873,-0.025234654973088782,-0.04923611691074082,-0.06669305110250769,0.08069745313701569,0.027760372359315624,-0.03262084423722977,0.09512520877908576,0.02109650486244452,0.1006106050681756,0.009249245445075358
PTH2,,,,,,,,,,,,,,,,,,,0.03372485770835206,,,
LIPC,0.05190307082962554,0.09163947395999734,-0.02022249638862215,-0.004338911671533278,-0.015635725442496577,0.004630136494330535,0.014371370432492314,0.06092662149939138,-0.014263738332391912,,0.05078194603811209,-0.024502961742172993,0.03144182012497313,0.15715658158421045,-0.13842720313893578,0.0074674839459856444,,-0.03529781175751624,,,0.012832973913103922,0.004910972239473691
COL8A1,-0.03256823933117428,0.13141572195160506,-0.013835697728574112,-0.027818579408375038,0.05789917911398747,0.04206323508132676,0.05999680328352115,0.09448212221518403,-0.049569465681211955,-0.06261754178354462,0.06988870283998025,0.022903362891510376,0.07760291156374105,0.089391029207887,-0.025652026216495167,0.08347214862455782,0.011499978691549256,0.05577043361928831,-0.00813451428038018,0.07797079151437379,0.01794051670774086,0.14355478481942915
GSTM2,-0.021162454476376522,0.10038962741144075,0.06465249926266607,-0.030219003183282696,-0.004170507398928791,0.11341589403963805,-0.01140595505242179,0.043828670776798716,-0.02004351949527779,-0.0090289706244051,0.06523999792768533,0.04976081553254623,-0.017911370062235393,0.07892548838970459,0.0019287977147665854,0.007869561431970795,0.02665776738138437,-0.02729571112577757,0.016121468815131018,-0.05648114450344349,0.09622814186963964,0.027903038488084557
IL4,,,,,,,,,,,,,,-0.037005251813311955,,,,,,,,
SPX,-0.04894198272174882,-0.014943664005059656,0.009863908954485712,-0.01027982847443957,-0.012187776733352118,-0.06949903162935268,-0.018134551775151747,-0.05280019429616738,0.03287507535521104,0.0325280168515567,0.05258636690099546,,-0.06356622574453796,,,-0.04729789654167438,-0.018709451013448154,0.01813536622970632,0.07896994975236034,0.03919294886834941,0.19998049991771435,0.10223659835967666
MFGE8,0.037045776393161256,0.06683444768683945,-0.03304238489028376,0.02899399378584402,0.03206676459618818,-0.04502387410015933,0.03880250784493949,0.042059581240802134,-0.004266247083811531,-0.04244093560517596,-0.02673296175490351,-0.03301647967901221,0.039267524684001825,-0.018919550909016765,-0.07413185130832033,0.075291866584237,-0.019517712467864108,0.0920381596687566,-0.047351725514514977,0.060615040918696024,-0.00496766434702606,0.01630294053963628
TGFA,-0.009726904683265498,0.01730727843278176,0.04988343013117615,-0.017610853690931683,-0.014586630838313627,0.04531291889539812,0.028984677233366337,0.06767419919606778,0.0044877933823720025,0.03305374400118594,-0.06522228711190198,-0.026410099645150058,0.011190496212505535,0.004277407295502502,0.0033001183167417434,0.051370412381438774,0.07065787242283907,0.022393888085713267,0.025750790999945285,0.026406904450144687,0.06311107626540245,-0.0722652491537141
SLIT2,0.02667588724424306,-0.041960387966738975,-0.0022423490140033083,0.05058086661819699,-0.017693266027202326,-0.06528817217722548,0.07780330476603044,-0.020823757772939443,-0.04430148783726292,0.033045659488795225,0.02012556210192294,-0.03245702284503918,-0.046143039639561866,-0.03196274549075266,0.04717336706215261,0.028185300784443076,0.010828453404733469,0.007046349121412789,-0.02625689099190697,-0.032944418563940495,-0.03937537581826625,-0.03189623947393104
PLTP,0.024738600186839453,0.0044661202615923976,-0.0010882854583876957,-0.0021388795126959415,0.030186052113750417,0.039085508987128315,0.010716340638921327,0.1910225644829768,0.06026251589750524,0.09075914923192305,0.0846145239765409,0.002899348675450519,0.037205396649302086,0.04494302062806744,0.05235663346810003,0.06183159132511059,0.022030094578669137,0.045419101702572295,-0.05406230987618853,0.12039587313972022,0.06015693878048622,0.05794223115769398
