,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916inf
NXPH3,0.14753865413983494,0.008805833004693975,0.08603586448098181,-0.056473574701823265,0.1556270915690805
MTMR4,0.040970643790730926,0.07863217525548029,0.1180283675296367,0.046452758793261155,0.003044032941088106
LAMC2,0.04576941602150365,0.00044581864173134597,-0.0716510480602899,,
IL10,0.045166589295335076,0.06734144298029586,-0.03533629470264949,,
SEMA4D,0.13556491864791892,0.1498382922252911,0.06016453437392236,0.06666029740366204,-0.08363433494730958
TRH,0.11473788634879482,0.09895750280237567,0.18821874562925325,0.017634767201078365,
SEMA6D,0.007288037653963001,0.05522069460156481,0.18422664642354092,0.027798537715654926,0.018902130339087088
CEL,-0.009560789224260517,0.0609669852740978,0.05418116177647823,,
PDCD1LG2,-0.00782435884560318,0.006884026509671156,0.0344387186103808,,
SPINT1,0.058480917853966606,0.0887866773590461,0.11237019328636434,,
CTHRC1,0.05656996424557029,0.020189279413926706,-0.06882713667057218,,-0.06149737369649571
PODXL,-0.06001640545023245,0.029876923735694817,-0.00044887239860496724,0.03890006190042916,0.03776323680368734
JAM3,-0.006942992450546444,-0.08586339942700089,-0.14686499269751846,0.03902974061566611,0.022370795134335687
TGFB2,0.14683317787215117,0.05370760277122693,0.10819392218872136,0.11612019894360086,-0.09237423566430052
COL18A1,0.0036014059464728786,-0.05802137204221596,-0.13190451927121266,0.00313862601231926,0.05358940129037739
NODAL,0.04181218349591044,0.11874912405183932,-0.0058149197683881795,,
INHBB,-3.498984355843979e-05,-0.060340391160058945,-0.10784943480842689,0.11153881210058358,0.21504774645458796
LCN1,-0.009600786183064492,0.0005869922722462662,,,
ARF4,0.11540151876708944,0.10037213927138315,0.035678402366516565,0.03084842007643089,-0.03952147079529682
CXCL14,-0.11142049880658655,-0.051539701923012306,-0.11591932833860077,0.014692589482953634,0.06614135324080236
LIF,0.0005115881381693255,-0.04591249338048519,-0.08721516989527014,-0.07282976732847708,
IL17B,0.019295411147166337,0.003637001143767006,0.010070956753874696,,
MMP1,-0.04179827073237167,-0.0577561280492095,0.0032120196407952177,,
MATN1,0.06228011358272187,-0.029889172400064945,0.015999980620905865,,
ADAM28,-0.031147073995176418,-0.002799859256240915,0.062003296480560535,0.03445076277211439,-0.052531129965316226
TCN2,-0.05734584930233697,0.029799599274925297,-0.08383363043271316,-0.013683192477051557,-0.04363024697129962
THPO,,,0.024258160994445114,,
CUBN,0.023681961675598925,0.052947781707384914,-0.030205270642179156,0.10045610799777648,
TIMP3,0.033120828108463986,0.02084944886983079,-0.19618348884612785,0.011368129770591385,0.018313632823699712
PIGF,0.12688288380160612,0.11686283539734646,0.020629080074887785,-0.0017402057663620995,0.025514706097078593
CRH,0.03645275571316957,0.008303222860295967,0.05127327358979037,0.09053550507974545,-0.02408995544181336
BDNF,0.016617464404607374,-0.02225798294953445,0.09350376049205338,-0.023013987456848958,-0.023480325749536554
CCL5,-0.003538271539258803,-0.03507573096287201,0.024841992556501376,-0.03957684168645231,
GAD1,0.06983839163072433,0.1324170200099876,0.09782510138195756,0.009608633295682317,0.10253715947270244
COL14A1,-0.02728799572262444,-0.054625598724088655,-0.05350727756205218,,
HLA-A,-0.18306463460505892,-0.1865914152974688,-0.22726841252231428,0.11198500113566326,-0.0878945498155179
FGF18,-0.005709138288971954,0.008756731384805693,0.035726737406935535,,
ADM,-0.1137492030078601,-0.17858253530126125,-0.04041003375376582,0.08501821118753403,-0.03260950470129953
GNAI2,-0.03888806301737522,-0.003914195012794774,-0.17293789431190562,0.06068827571819844,-0.0927469692032775
COL11A1,0.019584393359118338,0.01631363104838452,-0.036521873136314845,,0.04885857029540662
NUCB2,-0.03673441045931961,-0.0005132187078338875,0.027043901896647918,-0.025079269279973095,-0.01718082540420086
