,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IL4,,,,,,,,,,,,,,-0.07003298502028597,,,,,,
SPX,0.010078646827310212,-0.08345114346201025,-0.0029526058996178334,0.053985263210535775,,-0.03587810827384311,-0.004530169141931529,-0.07015789361736324,0.0144611625691364,-0.03309419185766064,,-0.06366987633884554,-0.04469180768747149,,,0.009127349529877397,0.00680344737855886,-0.035866961525282993,0.006599133515204657,-0.02979614399359823
MFGE8,0.05620533056723173,0.11065761325035434,0.07424270977003139,-0.027416415255313225,-0.024309103187055568,0.0004692155202569572,-0.011706995354309755,0.025721879839579086,0.02097004618032912,0.01922340159263089,0.042957304309278896,0.06652165428490335,0.011030104633665766,0.015519320763085468,0.006282899681593994,-0.0037737327345057706,0.0548590690914625,0.011949643532484738,0.03304351002189778,0.0385608675573835
TGFA,-0.006319802213290702,0.07159136608931037,0.05220372948397987,0.015815007143182607,0.03859060876126109,-0.017709397745850904,-0.009369478995855331,0.08357370045330663,0.017933884439924174,0.005249326591379225,0.1446702933616683,0.009183399363140495,-0.006374418564851525,0.004372545850072437,0.009043493836941753,0.033086300570987597,0.014210768746430288,0.00683808428098953,0.043758996505771426,-0.05903649270531398
SLIT2,-0.022211600292068676,-0.05174866037021591,0.043015946968118536,-0.02030780300044461,-0.009970418071765,-0.025883160065835596,0.011638207059024352,-0.047893399908597,0.0007596498085781477,-0.04257781000353781,-0.018039340709015902,-0.07726931773688592,0.07884079239257573,0.0012108251951389243,0.14927262044371684,0.12081899120114167,0.001466101098418852,-0.0008552156759770412,0.04357417198093487,0.045967508264667056
PLTP,-0.048459267850886244,-0.07933744758527073,0.03658925633639524,0.04362293544901481,-0.05423228223780259,0.030437588306660667,0.04139486866166678,0.0740921558710191,0.13532776357186407,-0.03255607819595239,0.040810060891406104,0.024173172120366248,0.05780482468941186,-0.10323310028037753,-0.05368728716704626,0.07980160653602629,-0.001185373597992305,0.021702475547240307,-0.04079684236274396,0.053599643185140655
APOD,-0.05620240410322281,-0.05223671245555414,0.06234749971793975,0.04120644526099457,-0.06570353409688416,-0.03300232937976876,0.06931843780595458,-0.06487784946385265,0.02438453668094207,-0.03374910020106561,0.06431613881246265,-0.07828244154784864,-0.05096552291783269,-0.10141156435720375,0.07674888176614926,-0.06411542010588653,0.025767934945645832,0.05973558653973033,-0.06357240025621844,-1.994753876957154e-05
B2M,0.009311693498848748,-0.02945894040540445,0.05462977141755412,0.021863940979646754,-0.09244512836517726,0.06942548206051008,0.009880766212965129,0.07961231883120737,0.1837450469224353,-0.051029063001430175,0.07565992163048689,-0.004813726547148322,0.07007420426752949,0.05594576575745893,0.02251908884057142,0.15657366104976078,0.08006063897943133,-0.0014720679777231146,-0.05238411987373334,-0.023010384461379325
OMG,-0.02187472071676485,-0.12394695723911282,0.06080944029456944,0.029502605805432326,-0.027662921995368593,-0.01739722506221717,-0.02813974913062273,-0.05375485823040457,-0.04289446575767001,-0.04436673468636223,0.0714044573983325,-0.05619032126611542,-0.0537739196552196,-0.0010935558220345968,-0.02320880329689482,0.034093555297570854,0.039619329832785086,0.01675961759474071,0.05665696259552235,-0.04376410684397688
CXCL3,-0.017380516813775754,-0.029427784215337257,-0.026327622866569107,-0.029636527641929655,0.11520611150263114,-0.038691669136618645,-0.003686973002989806,,-0.015511476956522696,0.053002810686842906,0.03284275236288846,-0.0010642052360585203,-0.034743662657020793,0.007331320061278437,,0.08476097083100916,0.03090314806331232,-0.01645290828647893,-0.006938945085373106,-0.02624140619440838
CXCL10,0.01323279227074587,-0.014483444101268322,0.0487721675309508,-0.026913001537991414,,0.0710642753868335,-0.03852672752122181,0.06770458559126818,0.09533915254090466,-0.015908905315555957,-0.023717349743059564,0.05567196536200559,0.0005135584644081712,-0.010363158005384121,0.09562481321513834,0.09748304694953167,0.058530543503825715,0.05249572488355452,0.059180125494944516,0.05504723035774977
RSPO3,,,0.028382855919705987,,0.012139931841972795,-0.014149251918584758,-0.01881367859654082,-0.013466350938521514,-0.036037015444768304,-0.028498659451375908,,-0.02858960789892064,,,,-0.0001064063979235903,0.04707649142922338,-0.04189816553882367,-0.026844460552295613,-0.06786929509788678
