,UKF248,UKF259,UKF269,UKF275,UKF313,ZH1007nec,ZH916bulk
C4A,,-0.01747627089155053,,-0.012028205896668333,-0.01606864680918172,0.03492413799279696,
CNTN2,0.019595476862628195,0.003660943516936496,-0.02982664523151802,0.002591894850682287,-0.017014133418576022,0.020761498746044462,-0.10588939949990625
F7,0.007816097035973264,,-0.011089493026652467,,-0.014649417020012047,,0.03857622846446713
LUM,-0.09852744685563132,-0.011267944225291874,-0.04332791285554573,-0.023941599410378035,-0.03460353521310654,-0.0497294369467188,0.029678359974257218
BTC,-0.013636961042373878,-0.024871553652856888,,,,,-0.054567869079435026
APOC1,-0.047829615055042574,0.024062381921040137,-0.07131079616541951,-0.05930566493828756,0.029273369956003638,-0.007256077680016401,-0.030667529965075192
PKM,0.04237255362555341,0.13949852305122284,0.020837838671926727,0.008184041610249855,0.048647773284852584,0.04292135055397439,0.13972872010828585
TNF,-0.03507498880657223,-0.023446120265467454,-0.016275207043178277,-0.027441491904130925,-0.020853651857485667,0.02079160649378418,-0.026850017836917154
GNAS,0.09230320477445156,-0.13304704146737545,0.06324532153798343,-0.08310466887386644,-0.0071142016743621014,-0.030187201727251332,-0.14580667291349944
BMP8B,-0.015498706284045467,0.002783851592214903,-0.0352650712305512,-0.011679850880634843,-0.022524333009532087,0.06622082326555055,-0.020852786102996925
LIPH,0.006581570187853741,0.06946274388327921,,-0.009698022061239042,,0.006055070712674558,-0.03045662067321836
CCL28,-0.02167271657955406,,,-0.014933358550079975,,-0.041423512428464135,0.07870370500263904
PTPN11,-0.006458976892398035,-0.01345566091735858,0.02982303650819839,-0.05116225747395521,-0.01386150482355577,0.14339139439629925,-0.03579678544664561
ADAM12,-0.02625551026175502,-0.03778461452700297,-0.03315587296000145,-0.02743941070976742,-0.027993123650906074,-0.061205243827710934,-0.08184564723979933
EPO,-0.020702814946765784,0.02813705962342809,,-0.010146533410954308,-0.013319815238897624,,
EDN3,-0.0012783165995269446,-0.017933302345073475,0.019252560691587844,-0.015726626361602405,,,0.004460899741533196
CCL22,,,,-0.007143514307508341,,,
CCL2,-0.06262101339716326,-0.019480196446990113,-0.09614435013726028,-0.06768043848330997,0.037475966900175045,0.06772393986464784,0.032453391431966176
DSCAM,-0.012994227666068154,-0.016784001097936548,0.009527032968339365,-0.02844018251043481,0.060851055110144305,-0.017305138951950738,-0.014429614225580123
GPHA2,-0.017172561486984345,,,,,,
ANG,0.10065561254392284,0.17270386377904012,-0.051040528816763304,0.12367438712418827,-0.029956573455992685,-0.09787583709969218,0.18950505333246948
FBLN2,-0.031034004985259996,-0.025312880474928887,-0.03685179226194563,-0.03550466407314134,0.055754338747574135,-0.02089303523574422,-0.005737468276018564
VTN,-0.029125747729351944,-0.029023645635994015,-0.018693267264967235,-0.01666961491739063,,0.24286659716851086,0.004959205191623843
VEGFA,0.16290653284820897,0.1696467211452603,-0.0013652465857302495,0.07153965401307613,0.015349287158424653,0.00502397109193978,0.244480275562335
F10,,,-0.01803175215145907,-0.011125454583420232,0.06943808877579326,,-0.03534941032152713
SERPINA1,-0.013949330537217842,-0.009863420806458736,-0.1006482485524874,0.027023556777348502,0.022173399713544293,0.029498382137552792,0.12021394410157499
VWF,-0.10358558902551376,-0.11917533468828329,-0.032172879211643295,-0.08559928731960811,-0.02603728356041268,-0.09328495580344494,-0.1801752645430606
GDNF,0.07326544400623868,0.074828344193159,,,0.07673273192443125,,
VASP,-0.0609990915697795,-0.0028558324989792533,-0.01201993449835354,-0.0816330885311288,0.011566318767005866,-0.010226651177406204,0.09552705468897903
ADAM15,-0.0008097740199201273,-0.017831914063548417,-0.03459595441440731,-0.039237120910895415,0.00959022129616313,0.027603954835801844,0.05577358684401639
WNT2,-0.02695184620924289,,0.06264714753781082,,,-0.02823866278327952,-0.050522700165956086
CALCB,,,-0.012258540231426316,,,,0.07163635002531035
OLFM2,-0.07379706670135829,-0.05636943895337145,0.07832932037478878,-0.09361836195308545,0.0009717434763427775,0.04063589075586554,-0.10077421240953761
MFAP2,-0.015173955331961487,0.04132734345800554,-0.056687220348083864,-0.02664673748884393,-0.00037726194568857914,0.020489122464354716,-0.003163929437689693
HLA-C,0.028225511751786538,-0.039675039888900754,-0.07013774168808376,0.03547234009615713,-0.006760233140161313,-0.06121316859593637,0.012303821577507519
THBS1,-0.02600438072377956,0.0660029495349547,-0.05371825600211595,-0.014346591815644398,0.03449064556732548,-0.0802146169970739,0.0419074789979914
HSPA4,-0.05501771521268735,0.007129689805430757,0.023137154126933325,-0.05610563063383424,-0.007643795488817314,-0.020570194835276855,-0.05940833575844999
LMAN1,0.13258980895150504,0.07549698071445872,-0.03215062618379276,0.049109022558865345,0.00877317561351206,0.13007339037868226,0.18303279079932502
LYPD3,-0.023504907126404764,-0.016548938571746215,0.021756828056953784,-0.014205962910271656,0.08403904115696058,-0.050431574680911764,-0.03910510464169057
APOE,-0.09826254832201875,-0.155707289489459,-0.004385907656429974,-0.09952530929474007,0.018125288251127226,0.029946035000982987,-0.14097236543392264
SOSTDC1,-0.03470927688968652,,-0.03397759823115599,-0.024541101181886214,,,-0.05365167856843486
ANXA1,0.002809626627183669,-0.002746752632074809,-0.04249006771812897,-0.0638227910943726,0.006570069861055108,-0.1091768126716985,0.12236709115114049
WNT2B,-0.030601345055272164,-0.04433304188059925,-0.04576810527446957,-0.02115768001624608,-0.022904194591660723,-0.03368643470723121,0.020905512726118472
AMH,-0.028701886395853166,0.02746356486922927,-0.02514976323483478,-0.014625714258513195,-0.03270083610642472,,0.00179608883620907
GDF10,-0.017832683854918284,,0.05992883755543187,-0.01366448624077935,,-0.0167232024381212,0.015025880748309132
EFNB3,-0.002533925785802873,-0.018780721774352912,0.0434092106878059,-0.02169033064464584,-0.012582809835393187,0.032675499362648214,-0.0822112987454016
LTB,0.014749498544767597,-0.009937284283219272,-0.020061160070737653,-0.017654184172408487,-0.026338934524592673,-0.035348053419101584,0.032584283392526274
ANGPT2,-0.06968328453094572,-0.002155434414167705,-0.06935661214551381,0.016010663808053695,0.024171581713846337,-0.14600200309290753,-0.10480342729892611
ADAM17,0.00968552307496622,0.008511361599702099,-0.019947112434740788,-0.09340593528909062,-0.008284238269538715,0.04907154237881342,0.11954152171812221
LRPAP1,0.001505200589089754,-0.02206033273887102,-0.011342235812340836,-0.013227071273945415,0.0005782599202757472,-0.05214903390470151,-0.07907530260848666
NID1,-0.0686214832349865,-0.015714340705761033,-0.060230130278845134,0.00530854930744438,-0.006277214567189552,-0.08419069975721946,-0.05793746053631012
MST1,0.029336772196468384,0.016582353281912238,-0.03180027020849994,-0.04254362500715519,-0.008561184098248934,0.040093899923450416,0.03509556230271997
CCL14,,,,,-0.02054587516352721,,
IL13,,,-0.012417039776079738,,,-0.040805758716412205,
DCN,-0.10612440694208927,-0.06834792189581122,-0.03102057091065462,-0.049517163993335556,-0.042464389410819835,-0.10654926916650662,-0.05548049662985585
IGFL2,,,,-0.01202820716939884,,,
COL7A1,0.022855619467279455,0.07065663937717014,-0.0335281000794772,0.00971828781747614,-0.021788687138626566,-0.02771633512132571,0.03441652983678811
CALR,0.06742735051578914,-0.06705919215568965,-0.09725551249710099,0.07344767991034118,-0.038769380514982965,-0.0019763492614556697,0.10137239418867121
PIGA,-0.01109233869982465,0.049292127809083965,-0.013640636378708666,0.03233141006650718,0.0026549802966779326,-0.016866817201449388,0.10746365312210934
CD200,-0.07032762613275068,-0.018440053950913665,0.038629367028367424,-0.06642196513574017,0.03454786397620859,-0.0761225115450282,-0.08322623084020983
GRP,-0.028595116661201885,,,-0.01867524709250826,,,0.062442665788373194
CDH1,-0.03337452543770503,-0.017856554035085234,-0.029224468004126068,-0.0385128517699755,,-0.0169145545661717,-0.0202606396440641
LPL,-0.0232875736901427,-0.04760228939547589,-0.08801677599029196,0.11198891398455614,0.0047265776226169355,-0.039166204191350786,0.07775900603916529
SEMA5A,-0.027667056768075547,-0.013964427011768513,-0.056248223119722336,-0.03779116472520732,-0.03545497034175764,-0.11632152728468717,-0.056789561109004884
SEMA7A,0.04311240164127816,-0.049811895582128535,0.02500522760655949,0.025927454299162603,-0.020941479903684123,-0.1096683940023307,-0.06026890950152154
SEMA4G,-0.040880237182590116,0.029269598735633475,-0.040722057146150334,0.019171566545758585,0.004268973533207508,-0.0017346764937462992,-0.04055396153695903
SEMA3B,0.003389279402925287,-0.044726512817681315,0.022034000286556533,-0.031376961745532374,-0.034365245209460965,-0.010686079093548418,-0.04694303834588882
RPH3A,-0.07953397427522906,0.003172465512515058,0.05033216634857856,-0.03527948366821301,,0.029186314948818428,-0.1414506134704367
JAG2,-0.02873407334235267,-0.046468686601294,-0.02234124350476962,0.03273888579525079,0.004256836338840988,-0.08164463039896011,-0.06477507242768196
CGN,0.02253159370335021,-0.0214934098868093,-0.032588234317024144,-0.011551653087515037,,-0.09303676858984952,0.016066635444557338
GDF15,0.14065335261263773,0.12330813354848406,-0.034470056388156006,0.08602796843260019,-0.019751220298296224,0.030785364605499056,0.1396811212143833
SEMA4F,0.005518430819360484,0.07179930017406068,0.08028830502409835,-0.012780509543067163,0.06786024360642559,-0.05087305002702277,0.026675570220820562
NXPH1,-0.043091148170237716,0.0007665420291131412,-0.01834347875601996,-0.0542912784894062,,-0.021825873414745567,-0.025156236638165817
ARF1,0.016836927857103508,0.0785921171289434,0.10539151122782388,0.0689158087967393,-0.017149417234907517,-0.03043639548179193,0.012067314944719843
DSC3,-0.012995854839203246,,,,0.0829763391447683,,
EBI3,-0.07264293740585906,0.022173246172903966,0.03040527742951671,-0.032323201156147736,0.05685704578394214,-0.0908169511327153,-0.047967853040503425
TIMP1,0.024203145993749325,0.005360584843483987,0.005495934024137325,0.09036523614991242,0.014158576354393477,-0.01306388965806455,0.19347617696365707
SEMA3C,-0.021047602132124442,0.008183921080972306,-0.03646381427316791,-0.010424638972763694,-0.06632584263004922,-0.10199539983462606,0.0077811496749170235
GAS6,0.002762164227685195,-0.0022352260068097107,-0.05736958125811512,-0.01382214596432732,-0.05505648505730703,0.07955761478299872,-0.11563718722794919
MEPE,-0.013025554149806965,0.002125414097742678,0.02067928630521163,-0.03580726160940607,,,-0.05268771492495063
SERPINE1,0.0804170570811215,0.15629474928147738,0.10081248476615433,0.10223281326736419,-0.01128677325988517,-0.1178407300572765,0.1746417815601591
RSPO2,-0.0018599767840830471,0.04432614819502649,-0.038908200063045476,-0.02400880630411353,,,-0.05341166860607777
SHBG,-0.01683347353201435,-0.029924303031719557,-0.01097398329753795,-0.020430264837362124,,-0.01089287745304663,-0.037956030118076696
LGALS3BP,-0.10098498742883351,-0.05317544775863153,-0.07947612592948948,-0.06891865944871804,-0.0002160790548001446,0.03858430368226353,0.0028961147914785324
LAMB1,-0.03877798649965134,-0.020710067858191558,-0.08085585604910737,-0.031081145116062543,-0.04308146893881209,-0.09088940450779534,0.008752725364396051
SPTBN2,-0.013861277810866096,-0.007929907829362714,0.05588713002228959,-0.009166586176574289,-0.030990751333507108,0.051921844520685836,-0.12066215063734007
COL1A2,-0.0648964782595836,-0.08119808366101867,-0.043198876639032095,-0.03577917627667788,-0.05023494183914543,-0.11902141605489039,-0.031357055314403026
DEFB1,,,,0.01464583875582262,,,-0.003968026311425942
CEACAM16,,,,,,-0.04831006358568474,
SCT,,,,-0.009849714445228589,,,
WNT11,-0.0002893042557357566,-0.02527614686522551,-0.01209809725969866,,-0.018772047013218076,,-0.0299266434281898
LGALS1,0.044127320606166524,0.1698367025891108,-0.005997428841887625,0.07187733169852559,-0.03611744579516729,-0.01077246965142013,0.2100148278916392
BCAN,-0.14101233433637098,-0.18413645685954022,-0.05626441209180243,-0.07173157063517638,0.06071858812442666,-0.008876074460047656,-0.08025817476709993
ANOS1,-0.028669564850894846,-0.12135368189918572,-0.04236824717878135,-0.0437733212450085,-0.0335304597002997,-0.04463915778993118,-0.08350607913149062
EDA,-0.013636965714824667,-0.03471922178079864,-0.014465251608897977,-0.015433532841188239,-0.019757550923862326,-0.054475705960276316,-0.05305029590936802
FGF22,0.051921459884364196,,-0.011089498007333158,,,,-0.041608729382749454
SHANK1,-0.018627279344785863,0.007216261823373655,0.09781512399326567,-0.01441725355711171,,,-0.04514540577044121
RAET1G,,,,,,,-0.02756102307622213
TGFB1,0.019330172674018774,-0.03894239323591663,0.009637812505431543,-1.5536911738784427e-05,-0.03688366006334081,-0.013234245157208068,-0.015001531968881491
MSTN,-0.021671449411414752,-0.07834236796542313,-0.01208065241436105,-0.004776548636058334,,-0.030221896140452197,-0.03726821346023657
WNT4,-0.01255102002753453,,0.018116303574564726,-0.015135251608499116,,,0.042131108142594166
TNFSF4,-0.0030581291892355397,0.007148295140127324,0.020882098179610706,0.01938448363325818,0.03940625109342739,-0.020767187493180735,-0.02003231820598945
NTN1,0.04049727720118287,-0.05441972207175613,-0.07097918215904682,-0.01745390312550922,-0.011570339094834663,0.04581683347298423,-0.0701054834232921
CXCL12,-0.037230047619269804,-0.04305791015599794,-0.007482373155338213,0.006002278173596193,0.010279720578469308,-0.04975010810479844,-0.049083719239904004
GNRH1,0.042582484289347376,0.06550188191827166,-0.0039206575788209115,-0.022844560557901794,0.029623883080282347,-0.011731127599430536,0.10285394552767511
RIMS1,-0.029682852660429866,0.04563900680308511,0.011311445116911496,-0.041530938270279774,,,-0.07537635606246851
FGF14,-0.009239055967870669,-0.016506119620355985,0.011780057030835431,-0.01921838875447884,,0.07297058684846633,-0.013686475135487599
IGF1,0.020415851261433856,-0.020836187369474606,-0.030279660361260105,-0.025642771489936884,0.028157057324047097,-0.036857551728082694,-0.07670852614948581
TNFSF10,-0.03547757878477683,-0.012935273109232714,-0.057886140148713176,0.0026398447162933585,0.0429183730802174,-0.022912128154058534,0.10170189689565545
GDF5,-0.019241140411665022,,0.02054192934951336,,-0.02532484651264582,,-0.028298282929817047
RGMA,-0.040057389685824035,-0.07792908868092731,-0.051055384180903704,0.01141048001241985,-0.02469126712729016,0.018729849425054085,-0.13297567984621916
WNT16,-0.04009998962418026,0.012692179764934329,0.07114034338657814,-0.016943224726053197,0.004317813614958525,,-0.04185214487742044
CX3CL1,-0.07900698020410478,-0.007144799778150117,0.013417618508335892,-0.03646304682649787,-0.014327192865674925,0.08155121190843104,0.012783409464829016
FGF1,-0.06560276358337166,-0.1068383066480462,-0.056916589930648985,-0.12892614171525052,-0.001139678655480917,0.06937637135395193,-0.1426657107567839
ALOX5AP,0.07143557043662663,-0.02129997983210998,-0.05077892772583648,-0.008609608930336247,0.029752176066150188,-0.02653308520763167,0.11894819926141602
IL1RN,0.11145714931969283,0.17106252811282655,-0.011263550934893523,0.10072638107916827,0.00688206047770115,-0.004699631836308126,0.08823655391876131
PCSK9,,,,,-0.025962585459868147,,
NPW,,-0.007260189930902697,,-0.0136644875285886,-0.019434118206869168,-0.03691274464994086,0.038712292384323804
CXCL9,0.014310883261638468,-0.004810844949497545,-0.01362261592001959,0.03647696950845254,-0.02506587984560607,,-0.07662269233916903
ANGPTL4,0.12933717785430773,0.1772324790771208,-0.036142808547102424,0.0268021808347318,0.03923424399631841,-0.023268676885974414,0.21868554646120814
CCL11,,,,,-0.019596438479167356,,
UCN2,,-0.01452680410983612,-0.011935610237169788,0.020761954861257603,0.02489773347412037,-0.044977119541066944,
OBP2A,,,,,-0.015675526991086722,-0.02053514186006632,
COL4A3,-0.02521955034397115,0.004558899534288898,,-0.019964912964234735,,,0.05854160791660317
NRG3,-0.047677124631220646,0.008811255392748069,0.013623912700692088,-0.02776499877296674,,,-0.06444907465699923
IL23A,-0.020560897922836753,0.0274259402736507,-0.014601315222337227,,,0.04758978288067832,0.051804852497094225
COLQ,-0.05370851168740661,0.0035437540101310658,-0.009831243303732144,-0.03650729191904602,-0.04018014696392478,-0.0036214124169905004,0.052007511070087345
TNFSF12,0.019581903209221554,0.038858032016510224,-0.06048960798859878,-0.03638738861251219,0.05896865173565564,0.021442136992770644,-0.05953967242117889
DKK2,-0.02153655665431773,-0.014740967477134794,0.07070388181778355,-0.01582322041531207,0.030943869779954534,,0.056013553187905525
FYN,-0.020092237742498225,-0.10549510206266076,-0.0517551746105656,-0.08461132822367368,0.09277922686077215,0.10996886687640736,-0.13498638856671244
ACE,-0.06982082843132784,-0.03563578385077569,0.003488220742927163,0.012239979158149648,0.047490686834106566,-0.10526430977003265,-0.10564563835464882
IL18,0.005047850992527014,-0.03689183244884872,-0.06361547255389699,-0.09116992665546628,-0.01381404429357962,0.05633862889174699,-0.018944040250289736
PPBP,,,,,-0.014649411910184457,,-0.030889647198183236
CCL27,-0.013636965806441395,-0.017704168550300756,-0.0179194145572721,-0.022136353270267722,,-0.02743323216935578,0.03361662237890895
SERPING1,-0.08792341177504417,-0.06940387300248324,-0.04991790536675039,-0.06730708732616927,0.025261841891433507,0.02623395142110068,-0.05477240413849482
AZGP1,0.024213982041964108,0.13550805316942677,-0.022758769883249173,-0.028940608893774013,,0.021259638522006862,0.0440757487893792
INHA,0.03960898915747646,0.10978160740825205,-0.02861939228257591,-0.008502886703937845,-0.02695630409577499,-0.02278550019710307,0.06682243098107889
SEMA3G,-0.049731015782914244,-0.027386753877113857,-0.022951392074605084,-0.013222699442613594,-0.02160585154198208,-0.03396108184929663,-0.056395402544082894
COL6A1,0.046758316504904474,-0.034275423906641324,-0.0807867494313554,0.08214100510588913,-0.03312083557263592,-0.04195526042825911,-0.003498856967342641
FGF17,0.013792490290931452,0.01487361222469607,0.07048840453461788,-0.02242186231745709,-0.01664196653249167,,-0.046942321319096154
TNFSF8,,0.04427917487083212,-0.01126355103111704,-0.01263550218042022,,-0.050950828934706135,0.042424962545784616
FGF20,-0.02706398241799472,0.004137403198701118,-0.018143471555381527,-0.010033205256569967,,,-0.025749493363779703
ICAM3,-0.07586920569120052,0.030139547093986186,-0.019087390579245706,-0.040600887458121224,-0.0027485390431558707,0.024966114321430248,0.05001420709073863
LAMA4,-0.09460408382026748,-0.011378379167391522,-0.025786193828645592,-0.004610100101657371,0.00935407531596455,-0.05498107855772811,-0.044758656984157874
INHBE,,,,,0.059752828772473045,,
DLL4,-0.01065379106040514,-0.01753326573558106,-0.03711761753734522,0.007982468728634428,0.031997099195527255,-0.11095123916996237,-0.05713594680908584
SEMA3A,0.000806239033641532,1.1353784764014163e-05,-0.02623512919683226,-0.03261875608756624,0.026207546852659656,0.03382525372128723,-0.006173367845437263
RLN2,,-0.003168860084227009,-0.014465249744066596,-0.012870836773750664,,-0.012347340333855351,-0.03025073046890623
C5,-0.04953643504469024,0.023566376266247684,-0.02858518637477585,-0.04245032008129746,0.037943587603591775,-0.037726429972430656,0.021923627760671326
COMP,,,,,0.04645061428128754,,
EDN2,0.028206056930329598,,-0.015394486432619571,0.12416648246908908,-0.015272898849278729,,
C1QA,-0.055370327146568254,-0.12002889511215745,-0.07161791448282902,-0.07117755830796496,-0.016775688940729307,0.04070680021708988,-0.18759955708496773
UTS2B,0.025375465198942977,0.042505598437726014,,-0.011125454313117542,,,
COL9A3,-0.060763356458282264,-0.023111274107332005,-0.045041387047850885,0.008213874474590446,0.07707012374621876,-0.018629388321070358,-0.04825772320025306
DLK1,,-0.031126458506335632,,-0.02537052265962772,-0.024274832744332404,0.013317725247952189,-0.05520793319536975
HGF,-0.010347314042375688,-0.024219006584913823,-0.03324803570951176,0.009454401482769726,-0.008136979145673824,-0.0699019490547229,-0.03005225674981528
GIP,,,,,-0.020233878861889924,,
P4HB,0.10972447148178906,0.1177837496955112,-0.04525470685303675,0.05882064498315147,-0.03995577622510596,-0.0881037133079855,0.22781237923843894
ADCYAP1,0.0021721131519429255,-0.03776016533730686,-0.023057878579266885,-0.021334800820712607,,,-0.06233951862506683
GREM1,0.026637725513795098,-0.01616388732459262,0.012210656886205092,-0.03520044614274036,-0.006627574741442005,-0.06458916984238851,0.03873595424686156
EGF,-0.048450169278007355,-0.03107364587062225,-0.03370267330980134,-0.002083584193310702,-0.019917464954815004,0.013256528595398009,-0.0561522694536837
VEGFB,0.06647635256847964,-0.02792738582097829,-0.07337675391583705,-0.001825663644944127,-0.01307351971913699,0.050073077388771224,0.05017669250820579
FARP2,-0.053483398531134055,-0.01687059683655747,-0.03390485427724778,-0.03576134885174817,0.03793860260559556,0.013201238837719006,0.010030526387506492
LAMA2,-0.048804955593852575,-0.017359104575192418,-0.04032578061759403,0.044818847316621224,-0.011956028473050096,-0.031267839405884186,-0.013875631282173624
SERPINC1,,,,0.03354279922105291,,,
NRG1,-0.028595115581766185,0.019752520706640613,-0.007833212553364041,-0.006178262644387488,-0.03960589175482821,-0.004741475060696953,-0.03633452629151794
SPINK1,0.10876968898634003,0.13388271068509183,,,0.004753240700612154,,0.2886651037421066
EFEMP2,-0.07255554850818759,-0.04171024479008095,-0.0032068946027655277,0.029714913884870704,0.042440051831780075,-0.08236051641268664,0.046202660228603414
SELPLG,-0.012529261755296787,-0.09063161072655491,-0.002746526569297989,-0.05749967606494559,0.09982025224769984,0.0112455816262996,-0.03173404275301273
GDF6,0.0013421407024957132,-0.020950287949624842,0.011876162935248622,,,,
HLA-E,-0.012311215681527349,-0.11820411493297801,-0.06268801264272995,-0.06396241207082377,0.005787663994910683,-0.04277279136664403,-0.07191512840592311
PTN,-0.11683269039059169,-0.15725107335701452,-0.06770390769080332,0.03750003910088809,-0.010185685437425943,0.05069997591191113,-0.10268870000944016
CD274,-0.005143347304518315,0.05509222353897953,-0.019715228080755504,-0.02202614653242902,0.013369419158327416,-0.0436895227965746,0.06030027011770017
FGF10,,,,,,-0.05995954333057589,
CD14,-0.07687334597894627,-0.05904121766431814,-0.05300105061251643,-0.009378143042404662,0.037081242915740296,-0.019214570415170378,-0.042073628607427645
SFTPD,-0.024860773569207392,,,-0.020430264848436814,,0.13821873430446127,0.047430591258643046
SLIT1,-0.0818834731544365,-0.05210700137877659,0.013174155881462118,0.010681522937636634,-0.01808784079608054,-0.0046088778095217525,-0.07764335079596112
CNTF,,-0.014740965961759899,-0.015134326546973316,0.09723292652702277,,,
BST1,-0.01029866868547265,-0.03185316763102962,-0.03372689725996497,0.024271081095017445,0.05651371422984089,-0.07674375966228501,0.007428641535767768
AGTRAP,-0.02678513187878745,0.021440072180144536,-0.08075198667422046,-0.09344959471868218,0.01772906671435455,0.017677811415601492,0.10169755221689636
LAMC1,-0.03996360693290423,0.010130588991406016,-0.010931662536726575,0.02203542444320458,-0.004210107713890343,-0.1029727385414104,-0.013346108448004192
COL6A3,-0.041689222835458076,0.052081619684598505,-0.019426077593370686,0.004985958240714347,-0.012384143430990315,0.010920189914465766,0.07327523212901363
FN1,-0.023990706356156525,0.05120832167273188,-0.039759758325216464,0.005447608024513493,-0.012205243237584805,-0.1433285211027648,0.17366161694612678
MIF,0.07859935635139778,0.15628754926015123,-0.05863360026349692,0.0267431025672966,0.0015775957594918665,0.023040971754330106,0.163869535086919
JAG1,-0.016937350145420922,-0.0087943336774694,-0.0068375329855542176,0.03285180117394887,0.013818901130540647,0.058369030559783076,0.10959526978163527
NID2,-0.0648161175619845,-0.03506847674255552,-0.033941001499642014,-0.016205016271540577,-0.03523486737089566,-0.10829320490079322,-0.032463414302859775
EFNB1,-0.040032703738111367,-0.05956802158101538,0.0002801658033954045,0.015618658130234192,0.04866076214809805,0.11013896321224267,0.013144006220711086
COL4A2,-0.06546702964011891,-0.08960240418721911,-0.050019033465806204,0.049155151676533816,-0.002727736090186734,-0.20042754114408734,-0.14657826347887978
SPP1,0.119532690424303,0.17017881274119945,-0.08169052640642499,0.017137223053032273,0.009094944284451588,0.07690161970494944,0.15359683334796662
PODXL2,-0.01127826024778224,0.026860746247044362,-0.020264539684190938,-0.035706575017079405,0.09483733645139734,0.04106522552842844,-0.05235784158475121
FGF9,0.029875228052808407,-0.04036124941839729,0.07361112408969685,-0.018060066545792553,,,-0.08463328830820387
ITIH2,-0.026040155457578297,-0.019694499585904884,-0.014736229330759538,,,,0.05138325950313268
ADAM10,-0.035695356253448086,-0.028922520275017863,-0.07532574636953077,-0.05142032892003112,0.032447767082776385,0.021634828901063143,-0.020378562752442517
CFH,-0.07037901803258023,0.009434213015307953,-0.04274639051308968,-0.02884424071081473,-0.007060088105710705,-0.047211300815149924,-0.04313520509266797
COL4A5,-0.05690395170883971,-0.00794427535661271,-0.04014444326542397,0.04428817148010329,0.008253884721367039,-0.09319488455442587,-0.028545724501042147
LTBP3,-0.02714696137744191,-0.022744228316316506,-0.012733093228851572,-0.0046176650796560135,-0.02483477369441212,-0.0462070517411523,0.07367053075668542
GNB3,-0.031681336020092064,0.037728316736835,-0.05487770560869639,-0.011460550431743603,0.028029094770223105,-0.08661624230219246,-0.00947671300857524
COL6A2,0.05284358445826219,-0.0002417744353900375,-0.038480800358046754,0.052192980350578365,-0.0032822685661520632,-0.031921712936195425,0.013493649882339216
GDF9,0.020717705332682947,-0.00909533195252624,-0.019983604457145365,0.02069928737395223,-0.021307826398725895,0.18388956159200034,0.24479915238179936
NCAM1,-0.09758805352829797,-0.11882389144814365,-0.01998654906547346,-0.08385500097808492,-0.03974731521374043,-0.02793568048410477,-0.11550692766956241
APOC2,-0.03842013643163643,-0.0313649532845233,-0.060728881746997004,-0.031037390651156918,0.036754599860302946,0.14056422424387197,-0.004204246957416144
BST2,-0.11692500625998072,-0.0457826920643028,-0.06625642987474956,-0.006866275509067767,0.0025234090233809603,0.05666872387551629,0.019831659506002103
COL5A1,-0.0011337587714133688,0.018896074198650074,0.04234060160942008,0.014114727806749893,-0.04622163271478482,-0.09277628795301113,0.18829952605263436
CALM3,-0.07695450991637758,-0.06891488520171044,0.08726764324602884,-0.07424718281973763,-0.005492757540772792,-0.023605671216182574,-0.17273373641904397
THBS2,0.042002602732189934,0.017439075659632278,-0.07066402759168015,0.051292465191499326,-0.022809971298876408,0.09489960812920685,0.0004821159434921487
SERPINE2,0.04526924754326809,0.10560820232443775,-0.025030686416949836,-0.003254819507894678,-0.014522893084921294,-0.027252355586022025,0.13466711265424025
EFNB2,-0.08048213849807845,0.012950023499626468,0.08305549117326469,-0.02841785173287352,0.018402737859143856,-0.01770572893772941,0.0664013890189942
PROK1,0.0032397485418696145,0.0059586872806510266,,-0.016391890434416228,,,-0.03449861136559369
MMP9,-0.09033648586180797,0.02872581564883755,-0.06701787601925227,-0.016943221906586127,0.051689406609494726,-0.07710210961538301,0.12118496897324685
DMP1,-0.01847088689469746,,,,,,-0.029268647090403943
NPPA,0.0005707441557330011,-0.04105009343232437,-0.020061161294196588,-0.021132229419943544,,0.004131201359364714,-0.05752048552233823
APOB,,,-0.011604200421346807,-0.02058337184136075,,,-0.034498610823929694
C4B,,0.06854371531768842,,-0.013329773700889258,-0.016068647185971983,0.1511032440682083,
NTNG2,0.10562272702953286,0.015959970721582353,-0.0025712946838853364,0.0006956821387700523,0.062374398187760215,0.052331670516238875,-0.03867099194480431
LAMA1,0.07091029363805987,-0.059458135656238566,-0.070166757102169,-0.02454110228569958,-0.03593202327676269,,0.09948091573812096
UCN,0.007827541823912723,-0.010824801995669228,0.11984613489191942,-0.0029716429492233237,0.07653405221397132,-0.02399280473237323,-0.015879746247599413
ARTN,-0.024497467302926634,0.08291841015401301,-0.017578631906057667,-0.016943223551275078,-0.012460770943780322,,0.06648812940498258
PDGFD,-0.06720803917212326,-0.058165735846736996,-0.007825749661088987,-0.034619942232577104,0.008936135135712083,-0.019961275116477967,-0.03794993261572437
EDN1,0.017700577296587524,-0.008980556176441789,-0.06611173543161324,0.00046639503734383585,-0.02506589130702963,-0.04378425547818887,-0.018345324928373447
ARPC5,0.0009306883313924351,0.01908429778794897,-0.0943221939282623,0.02442741359345895,-0.030712360989230275,-0.03327855662033756,0.06627774499542219
GSTO1,-0.06911953726798911,0.08657598567772354,0.07745177585208109,0.054615579343425105,0.05031773798067669,0.02167629793939419,0.014330255146194612
