,UKF259,UKF266,UKF269,UKF304,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
CSF1,-0.026704987109903728,-0.013495536924757379,0.04893980000322565,-0.05654329991898615,0.06470391233954076,0.05802037003520204,-0.050808594702189416,-0.04588316886815607,0.03825840706320569,-0.03667380489901135,0.013119960348439756
GZMB,0.043233365754567016,-0.020562975753324983,,-0.034529206465269795,0.07029574221467329,,,,-0.027649433906362687,-0.032054272671424175,
WNT11,-0.031264911220472535,,0.05160303080887686,,-0.01590318321732381,,,,-0.018321458970773558,0.016702306420597352,
GDNF,0.016534082929005517,-0.015410747215698517,,,-0.02624277423057708,-0.014714571777736739,,-0.02917907506289055,-0.0038519324858071317,0.010688153109433482,
SHBG,0.03762867563160531,-0.01105730609477126,0.019173188569715928,-0.018359992675832153,,-0.011857960735251702,0.20267940216211647,0.10447932776101693,-0.014600851983507761,0.07597291042745011,0.040016740550251444
EFNA5,0.014022745921940288,0.03544827619086968,-0.02797619849809948,-0.021588069955359696,0.014852473054492268,-0.0015770702411484713,0.03678472311685161,-0.025785353647829932,-0.01375987752004673,0.008558277807859727,-0.016226071121860697
THBS1,0.004791439490045762,0.006869711546366422,0.09460676007906198,-0.022899088616544598,0.052007065552778585,-0.03300722383555859,-0.0450836210522803,0.046220961578789924,0.02227792286812733,0.005605157302484011,-0.04389482760426554
PODXL,-0.009628655629765599,-0.031635213176510864,0.07735905345323116,-0.04087612799866121,0.08916011300432995,-0.004648794739472798,-0.0781537467256948,0.011141942260706885,0.03730186513008747,-0.045983493264223546,0.05623490555973834
LCN2,0.057046176959952656,,,,,,,,-0.03854304946443666,-0.04558185061477985,
C5,0.031147897030569416,0.055817773120665035,0.03932218165032126,-0.025666391133440655,0.0762451620397325,0.03336740252377636,0.11168965334568674,0.015385003171413156,0.02546553121800931,-0.01569723362619478,-0.062269783049404365
DLK1,-0.00844597311920179,-0.034510920184434225,,,0.0544539276991077,,0.01793252782385893,,,,
CXCL5,-0.017699970615549166,0.032537252486257405,0.04085606765454447,-0.029868301791552837,0.19723208606222445,,-0.07025017235029392,,0.056291081135244385,0.017731818525132458,-0.042617116706449694
BCAN,-0.03769405489581839,-0.007252458282664696,0.08851927806270528,0.053062211816380905,-0.016045083218391792,-0.02348511768182291,-0.10248189331760689,-0.043777248374845326,0.014222116120586414,0.07045726495516186,-0.012546611764963309
RELN,-0.03342792879869266,-0.006033243674332334,-0.05778625896565141,0.04394180705044169,,-0.019962313339829927,,,,,0.07590573927499332
COL4A3,-0.030508031093442786,,,,,0.06876870037211956,,,,-0.020929684340488367,-0.02019261469699434
GNB3,0.054886981293487375,-0.030940068503882735,0.0011119447499620338,0.13365810469193917,0.005812768606306352,-0.012699065794249948,-0.00108553922470001,-0.01859592736292464,-0.014144777041165665,0.0341966647191016,-0.032579488759693964
PYY,,,,,-0.012229729274953026,0.10122992033200891,,,-0.025785568419355812,-0.0310579173737331,
MSTN,0.014795437524835899,0.0647383948161806,0.04955152789937706,,,0.02057437729208087,0.06336251807510632,0.09089644836370049,-0.025005811414004094,0.020008830117291414,-0.05178034935910048
COL18A1,-0.006789421749326063,-0.038305631663745225,0.07854301220062682,-0.0825424218395764,0.10765838951241785,-0.009136012828324993,0.016265883575935957,-0.04549534437381216,-0.03564472089160237,-0.020664987389959026,0.08276527224262097
FABP5,0.014633226477689545,-0.05927067104534675,0.05748207649441775,0.025988151387295357,0.0845447088529492,0.05280243719309848,9.67343487735638e-05,0.004020123470043374,0.07159850137201014,-0.07259481120539167,-0.03526452638194225
TGFB3,-0.013258425340305548,-0.00028817736831600945,0.03885529906803119,0.035581674568588934,0.005680822445615907,0.005957214957481385,0.07190888195288705,0.0031755310978527455,0.03740533276171263,-0.003237305543431728,0.051585709580171564
BSG,0.030811571050524438,-0.0133646134131096,-0.04632332814595484,0.030074422085285154,-0.04321464563430037,-0.003766521503592363,-0.03456953929828482,0.10018683691634082,-0.032360244349398805,-0.00025282674165255273,0.06734436455796891
TDGF1,,-0.01055797292905132,,0.06228846551896287,,,,,,,
S100A10,-0.012743234512532427,-0.05485196475902875,0.10794375307283367,-0.05876394734047488,-0.09865940782636919,0.012117169289437752,0.03750032479085293,0.09465163054342053,0.006566033353941671,-0.08043639452337291,0.08346265216746426
PLAT,-0.033227030912903015,-0.02198411450674736,0.07991533807178403,-0.06529833855491582,0.037039307498822206,-0.02690617817744117,-0.10787524625307786,-0.02387947047626063,0.09301786918362913,-0.03274922788924563,-0.0068637151553647595
SFTPD,,-0.021124709630084514,,,,-0.020978557800476808,-0.04810929232007131,0.07582817228435912,0.0007911456773924644,0.0012797346111281416,-0.040176661361668545
EPO,0.004705952669440795,,,,-0.011284196231552971,-0.014714572923660484,,-0.03416707188741301,-0.01951278612607618,0.026079040076576823,
FGF7,0.011107960756112317,0.0066364621524874655,0.044340379517376745,-0.0487822220954071,0.1449942062372618,0.0314896053567707,0.02493473750217512,0.04034047732702652,-0.005769500987227832,0.018351824464423665,-0.0025631865384303657
CGN,-0.03910591393045995,-0.016292449989231555,-0.003227232004071808,-0.0049133854609387725,,0.0004156066465274262,0.12124825363299281,0.06759709840205774,0.01792547765872328,-0.036157214764932374,-0.033198095106780116
FGF13,0.01944484718478407,0.023909977273934593,-0.07682535650527673,0.028791567570422446,0.010073465468622965,-0.039986365027946155,,,0.036362446179165175,0.029752474408874633,-0.018506064850461433
