,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
RSPO4,,0.05115207407265771,,0.005168561693351507,-0.03543700022367188,-0.006522272925344766,,,0.015629336633704933,-0.0022837285383243366,,,0.0036860390910060967,,,-0.01753661748872147,,,,,0.0209169342127254,0.0971064676720453,0.030387584391906548
LEFTY2,-0.027635237904124595,0.10108796292105,0.07096979677119329,-0.026964311658759454,0.03613089578683241,-0.03906265396276388,-0.04909105565169504,0.22027356494765124,0.00799319524880851,-0.029570411032165865,-0.01117985024029345,0.00019273356333807066,-0.031578970836129754,0.002302585133552119,0.08588773834961055,,0.11058327254625125,0.047892942830110474,0.031647560506014374,0.014159702715358416,-0.0382863179928447,0.16144331558986524,0.12525600572180035
PF4,,,0.03998080062680584,-0.024230123504777577,0.03816840213588994,,,,,,,,,,,,,,-0.06350728967369659,,,0.07494136835141006,0.011585187744732483
ANGPTL2,-0.0039021292153964366,-0.007444778109561578,0.028140979865694443,-0.007727742206609506,0.028963394073287525,0.02597382261546042,-0.0497951573309965,0.20359322870855223,0.03291708831090208,0.015254683434902218,0.07976790707581537,-0.03949181740474545,0.097529206377972,0.07579627779832358,0.015296676858087012,-0.005583703498450883,-0.0038034034483444864,0.11763040173947278,0.03233154334622875,-0.010183397769743944,0.0416638383526364,0.1752546201999533,0.07484578471413066
LRIG2,-0.01384735080134004,-0.0361007553454253,0.012469414950686566,0.04099342605130971,0.004808563076829604,-0.03977977756354653,-0.006037419295959304,0.13634650565009687,-0.001310164755777072,-0.0056800809606275425,0.060526771442771514,0.014488523163464285,0.046239124572374536,-0.05509777106950037,-0.09978072875550807,-0.01650056120028416,-0.02151863568268631,0.02303817651513698,0.1322020303712738,0.028432006210834124,0.026172924969740174,0.0799545025093491,0.08913202320440532
ICOSLG,-0.0426286912750369,-0.055565924594461163,0.026204537786851872,0.022368969891319875,0.006541432639651738,-0.05343428927588495,-0.028845732718690856,0.08540174583699894,0.06517293468505858,0.0019077519575411966,0.011237771294345314,0.006186264591844876,-0.015522499525501271,-0.015516663644421077,0.06557840125261524,0.0680359585744055,0.04775262581181273,0.08469757040637267,0.13293118808995305,-0.014806437004200656,0.03747110315936894,0.15468585341247876,0.00709176009674126
WIF1,,0.06404501575284834,-0.07793417629820197,,,0.05949182569237285,-0.026579813081902506,-0.1531047689965133,-0.01558546942958866,-0.035232595660767654,-0.05058320983022315,,-0.015375363360896881,,,,,,,,-0.005693134177023105,,-0.015382392448000132
NPPC,0.024713191041084354,-0.05865994030911722,-0.003459876672346567,,-0.009839395073917878,0.02300510578231774,-0.04194191362622938,-0.004529076298379411,-0.02475395425398351,-0.016142550909362743,-0.009964075872442617,,0.08481278601701889,-0.06208031909476175,-0.05289422315680031,-0.06874656705392344,-0.03590188679702332,0.13084141463462265,0.05085687740649994,0.03660142159412125,0.04200990787517325,,0.11810638562118093
LYZ,-0.013246795469278937,0.08246564724310675,0.09297979970410203,0.04398136514245035,0.005182223384672762,0.057801510837544444,-0.04899779384375605,0.16929311177099443,-0.011594319064371916,0.04590678640862974,-0.020334635270091172,0.03412734567181843,0.027802545055791255,0.07098191425876628,0.011095842726266401,0.0624011709527245,0.09565847659449504,0.07869560783857123,0.10972597106564855,0.0742478147417943,0.015530450024744956,0.11737242506152167,0.061516746646755424
EREG,,,,,,0.1312773324690037,,,,,0.07921706763763461,-0.02275983126136841,,,,,,-0.041257758615071194,0.018327931752781357,,-0.031483060260983686,0.04570078654159438,0.09406840036380026
SPTAN1,0.05459186718838378,0.0632380931175333,-0.05636742012823352,-0.011802638174946655,0.03602068894572314,-0.017038636832049786,-0.01944840040358036,-0.06024287939638734,-0.03619834107213926,-0.01803844276693628,-0.051875856522131114,0.0638233600430802,0.026142293116566982,-0.04043949235319057,-0.03383946500190561,-0.02039551375076478,-0.016665095588608108,-0.034872260094161785,0.016844868438557155,-0.026966414926461988,-0.015189962120584643,0.010376358702787084,-0.0794080444499735
PTH2,,,,,,,,,,,,,,,,,,,,,0.03818690873161825,,
LIPC,-0.021868882607993002,0.024268590717195098,0.06041283151466566,0.05641758208443886,0.04039736811374479,-0.03862866065355461,-0.026558307538391186,0.061906822216644404,-0.05910156869586267,,-0.0086511113539053,-0.014272200562791083,0.05578076022134763,0.03664915525208336,-0.038134858422234075,-0.003676097062776785,-0.007887183133963884,,,0.020030740746314685,,0.09711403901443312,0.055144297672467396
COL8A1,0.06554689629207142,-0.007143832738497187,0.06317667570810245,0.0029299013195776278,0.006976305752156391,-0.0765653004109585,-0.02109713161906416,0.05672429342468869,0.02316344434168559,0.028598526135146723,0.0011533393718082816,-0.010553693322885733,-0.02068836560215484,0.037869037719680955,0.1020587791637385,-0.02394909854198045,0.08749579108076448,0.05112715505834218,0.019500369756830584,0.0298729511683206,0.01813895145092109,0.14140685869195274,0.06382185375560666
GSTM2,-0.027385546785237257,-0.03238484972698084,0.04534364751120761,-0.021132712054855448,0.009386063550299686,-0.04313770876411785,0.010881073766065646,0.1299248766797675,-0.024493020824861447,0.016475162159650274,-0.06441970173451525,0.0007262271832478634,-0.03667452651802423,-0.07749281386724655,-0.07187481633351304,-0.014849276008592656,0.03929328616112506,0.07599660823557437,0.003721237358106192,0.0019362118684386864,0.04257764122541967,0.10148156199793297,0.06504743516569648
IL4,,,,,,,,,,,,,,,0.021947652640683584,,,,,,,,
SPX,0.0018992072584894588,0.07860827275760474,-0.03327548001803737,0.014318617418413015,0.06096584700273683,0.016525522865661887,-0.04948704216480405,-0.035454368153924345,0.04189013174762845,-0.0064894994556520934,0.037495717075928456,,-0.009340101260284363,0.0024171599554538383,,,-0.011972679969672852,0.07235423846726143,0.04169459574633401,-0.03718615149891004,-0.06209200887830147,0.03389644625135369,0.016361340601340525
MFGE8,0.04148406511135076,0.050357945895249945,0.05551773469202485,0.020265126307685604,-0.07984939413935342,0.06589471726628277,-0.036542870238830426,0.08971143723019219,-0.012658750040412845,0.05019120456041005,-0.014481433688172505,0.04437747991557952,0.014255150881791313,0.04526832065821326,0.012812429169507209,0.04728279088356778,0.18866363029361238,-0.03241514608541527,0.0071749031790182514,-0.0214305819796402,0.041766726633200905,0.20042635084373134,0.07607207399686425
